,0
2021-01-01,0.4228545
2021-01-02,0.41406924
2021-01-03,0.4112534
2021-01-04,0.41574696
2021-01-05,0.4209017
2021-01-06,0.42503563
2021-01-07,0.42916152
2021-01-08,0.44488722
2021-01-09,0.4481315
2021-01-10,0.4528622
2021-01-11,0.4643755
2021-01-12,0.47961897
2021-01-13,0.503882
2021-01-14,0.5224248
2021-01-15,0.5375064
2021-01-16,0.53997934
2021-01-17,0.5509328
2021-01-18,0.5665324
2021-01-19,0.57641786
2021-01-20,0.5906193
2021-01-21,0.63325495
2021-01-22,0.6654143
2021-01-23,0.6843818
2021-01-24,0.6973152
2021-01-25,0.7107195
2021-01-26,0.72071135
2021-01-27,0.7303006
2021-01-28,0.76546896
2021-01-29,0.784652
2021-01-30,0.8057071
2021-01-31,0.8335124
2021-02-01,0.84895647
2021-02-02,0.8651055
2021-02-03,0.87771684
2021-02-04,0.8877198
2021-02-05,0.8948206
2021-02-06,0.9011334
2021-02-07,0.9015037
2021-02-08,0.89912015
2021-02-09,0.8991636
2021-02-10,0.8841934
2021-02-11,0.8651996
2021-02-12,0.8448542
2021-02-13,0.83614784
2021-02-14,0.82624865
2021-02-15,0.8140573
2021-02-16,0.8069074
2021-02-17,0.8001239
2021-02-18,0.7904017
2021-02-19,0.7455651
2021-02-20,0.7143062
2021-02-21,0.6916134
2021-02-22,0.67405605
2021-02-23,0.6595545
2021-02-24,0.6511778
2021-02-25,0.64489836
2021-02-26,0.6117963
2021-02-27,0.59543854
2021-02-28,0.5885816
2021-03-01,0.58471566
2021-03-02,0.58770466
2021-03-03,0.57973015
2021-03-04,0.5752163
2021-03-05,0.5673916
2021-03-06,0.57867956
2021-03-07,0.5903213
2021-03-08,0.5987171
2021-03-09,0.60760766
2021-03-10,0.61737883
2021-03-11,0.6299328
2021-03-12,0.65320116
2021-03-13,0.67521816
2021-03-14,0.6813186
2021-03-15,0.6898024
2021-03-16,0.70401937
2021-03-17,0.7139641
2021-03-18,0.7196701
2021-03-19,0.728812
2021-03-20,0.73554087
2021-03-21,0.738339
2021-03-22,0.7449701
2021-03-23,0.7496823
2021-03-24,0.75162524
2021-03-25,0.77411824
2021-03-26,0.76976275
2021-03-27,0.76870203
2021-03-28,0.7621346
2021-03-29,0.75674254
2021-03-30,0.74309015
2021-03-31,0.7250919
2021-04-01,0.707221
2021-04-02,0.69639415
2021-04-03,0.69441247
2021-04-04,0.6940261
2021-04-05,0.6844519
2021-04-06,0.681389
2021-04-07,0.67242754
2021-04-08,0.6599185
2021-04-09,0.6580308
2021-04-10,0.63838667
2021-04-11,0.62129724
2021-04-12,0.6137697
2021-04-13,0.6047652
2021-04-14,0.5955738
2021-04-15,0.5910975
2021-04-16,0.59252983
2021-04-17,0.5868341
2021-04-18,0.58199894
2021-04-19,0.5780099
2021-04-20,0.576485
2021-04-21,0.5755765
2021-04-22,0.5746991
2021-04-23,0.5452716
2021-04-24,0.52316
2021-04-25,0.5106774
2021-04-26,0.49903694
2021-04-27,0.48247376
2021-04-28,0.4700722
2021-04-29,0.46615422
2021-04-30,0.49304757
