,0
2021-01-01,0.3926108
2021-01-02,0.40310434
2021-01-03,0.4113146
2021-01-04,0.41968843
2021-01-05,0.42772287
2021-01-06,0.4308846
2021-01-07,0.42886645
2021-01-08,0.45717186
2021-01-09,0.43799976
2021-01-10,0.4538613
2021-01-11,0.47332388
2021-01-12,0.49464184
2021-01-13,0.523926
2021-01-14,0.5370983
2021-01-15,0.5379998
2021-01-16,0.5340315
2021-01-17,0.54152244
2021-01-18,0.5537008
2021-01-19,0.5649633
2021-01-20,0.576582
2021-01-21,0.6574295
2021-01-22,0.69408596
2021-01-23,0.7045431
2021-01-24,0.6922611
2021-01-25,0.68351674
2021-01-26,0.6764385
2021-01-27,0.6931255
2021-01-28,0.7812365
2021-01-29,0.791727
2021-01-30,0.8194298
2021-01-31,0.8261945
2021-02-01,0.8280579
2021-02-02,0.8350847
2021-02-03,0.83334816
2021-02-04,0.8454858
2021-02-05,0.8454159
2021-02-06,0.8419577
2021-02-07,0.84000015
2021-02-08,0.84405625
2021-02-09,0.84132266
2021-02-10,0.813098
2021-02-11,0.794196
2021-02-12,0.79162663
2021-02-13,0.7906928
2021-02-14,0.79158664
2021-02-15,0.7927897
2021-02-16,0.79139084
2021-02-17,0.7927764
2021-02-18,0.76356065
2021-02-19,0.6804428
2021-02-20,0.6793557
2021-02-21,0.67884076
2021-02-22,0.6797319
2021-02-23,0.67880327
2021-02-24,0.6809706
2021-02-25,0.66412467
2021-02-26,0.6112182
2021-02-27,0.5900174
2021-02-28,0.5927297
2021-03-01,0.60671103
2021-03-02,0.61773014
2021-03-03,0.58906955
2021-03-04,0.5824242
2021-03-05,0.56123555
2021-03-06,0.60877365
2021-03-07,0.61477804
2021-03-08,0.61703604
2021-03-09,0.61606324
2021-03-10,0.6273659
2021-03-11,0.63016075
2021-03-12,0.6603928
2021-03-13,0.6656293
2021-03-14,0.6681509
2021-03-15,0.6705282
2021-03-16,0.67098486
2021-03-17,0.68179905
2021-03-18,0.6829452
2021-03-19,0.71127176
2021-03-20,0.7127965
2021-03-21,0.7130067
2021-03-22,0.7156884
2021-03-23,0.71571296
2021-03-24,0.71476984
2021-03-25,0.7878337
2021-03-26,0.7476226
2021-03-27,0.7489752
2021-03-28,0.7286339
2021-03-29,0.70874095
2021-03-30,0.68584603
2021-03-31,0.67776
2021-04-01,0.65407604
2021-04-02,0.68452084
2021-04-03,0.6857428
2021-04-04,0.68372077
2021-04-05,0.680984
2021-04-06,0.6773114
2021-04-07,0.66059506
2021-04-08,0.6540348
2021-04-09,0.6517524
2021-04-10,0.6206594
2021-04-11,0.6103263
2021-04-12,0.60677457
2021-04-13,0.6059907
2021-04-14,0.60129607
2021-04-15,0.6006729
2021-04-16,0.61712754
2021-04-17,0.5909186
2021-04-18,0.58583397
2021-04-19,0.58302784
2021-04-20,0.5794887
2021-04-21,0.57692003
2021-04-22,0.57060987
2021-04-23,0.5050805
2021-04-24,0.4970709
2021-04-25,0.49059743
2021-04-26,0.48510826
2021-04-27,0.47790432
2021-04-28,0.46511102
2021-04-29,0.4748597
2021-04-30,0.5637229
2021-05-01,0.5616139
2021-05-02,0.5455779
2021-05-03,0.5280205
2021-05-04,0.5098032
2021-05-05,0.51670974
2021-05-06,0.5111319
2021-05-07,0.5276903
2021-05-08,0.5381335
2021-05-09,0.5556799
2021-05-10,0.57314503
2021-05-11,0.58946764
2021-05-12,0.5919992
2021-05-13,0.6288234
2021-05-14,0.61833113
2021-05-15,0.66825545
2021-05-16,0.6760753
2021-05-17,0.6773928
2021-05-18,0.67471457
2021-05-19,0.680941
2021-05-20,0.67936766
2021-05-21,0.7047231
2021-05-22,0.69116074
2021-05-23,0.69906956
2021-05-24,0.7148939
2021-05-25,0.72558606
2021-05-26,0.72371155
2021-05-27,0.7181006
2021-05-28,0.63686645
2021-05-29,0.6070675
2021-05-30,0.60480356
2021-05-31,0.60372853
2021-06-01,0.59936047
2021-06-02,0.5994864
2021-06-03,0.5922049
2021-06-04,0.59711254
2021-06-05,0.60626906
2021-06-06,0.60710573
2021-06-07,0.60662764
2021-06-08,0.60524386
2021-06-09,0.5679737
2021-06-10,0.5612198
2021-06-11,0.52204823
2021-06-12,0.50318277
2021-06-13,0.48484075
2021-06-14,0.46446845
2021-06-15,0.44297805
2021-06-16,0.43214983
2021-06-17,0.4268477
2021-06-18,0.42980158
2021-06-19,0.4083009
2021-06-20,0.40835363
2021-06-21,0.41004053
2021-06-22,0.41034895
2021-06-23,0.36927676
2021-06-24,0.36328351
2021-06-25,0.36975133
2021-06-26,0.3686918
2021-06-27,0.37473977
2021-06-28,0.3797083
2021-06-29,0.3839268
2021-06-30,0.38862002
2021-07-01,0.3867248
2021-07-02,0.38903934
2021-07-03,0.36560673
2021-07-04,0.36259708
2021-07-05,0.36070183
2021-07-06,0.3584978
2021-07-07,0.35818172
2021-07-08,0.35837612
2021-07-09,0.37945065
2021-07-10,0.39253262
2021-07-11,0.39787337
2021-07-12,0.40199298
2021-07-13,0.40519804
2021-07-14,0.39914626
2021-07-15,0.39281213
2021-07-16,0.38750693
2021-07-17,0.39170384
2021-07-18,0.39820442
2021-07-19,0.4049339
2021-07-20,0.411298
2021-07-21,0.42494488
2021-07-22,0.4258135
2021-07-23,0.42696878
2021-07-24,0.47553274
2021-07-25,0.5009432
2021-07-26,0.5203874
2021-07-27,0.5323262
2021-07-28,0.53369915
2021-07-29,0.53258
2021-07-30,0.54609203
2021-07-31,0.53738135
2021-08-01,0.52709436
2021-08-02,0.5285445
2021-08-03,0.5237076
2021-08-04,0.5241865
2021-08-05,0.5242616
2021-08-06,0.518412
2021-08-07,0.50708985
2021-08-08,0.5038761
2021-08-09,0.50214225
2021-08-10,0.4980148
2021-08-11,0.49758178
2021-08-12,0.4984067
2021-08-13,0.49204367
2021-08-14,0.48624614
2021-08-15,0.47450995
2021-08-16,0.4622989
2021-08-17,0.4517812
2021-08-18,0.44420478
