,0
2021-01-01,0.40775436
2021-01-02,0.40392426
2021-01-03,0.4061785
2021-01-04,0.41495213
2021-01-05,0.4178998
2021-01-06,0.42079294
2021-01-07,0.42459813
2021-01-08,0.43311778
2021-01-09,0.4321138
2021-01-10,0.43463954
2021-01-11,0.4505048
2021-01-12,0.46535692
2021-01-13,0.49370128
2021-01-14,0.5109849
2021-01-15,0.5048664
2021-01-16,0.50257653
2021-01-17,0.5009253
2021-01-18,0.51472
2021-01-19,0.52634734
2021-01-20,0.5497745
2021-01-21,0.6234791
2021-01-22,0.6508667
2021-01-23,0.642522
2021-01-24,0.63963294
2021-01-25,0.63771576
2021-01-26,0.643014
2021-01-27,0.65395933
2021-01-28,0.70933634
2021-01-29,0.73995966
2021-01-30,0.7682753
2021-01-31,0.7760503
2021-02-01,0.8106019
2021-02-02,0.81002706
2021-02-03,0.8187462
2021-02-04,0.8371745
2021-02-05,0.86010057
2021-02-06,0.86431223
2021-02-07,0.87304235
2021-02-08,0.87797815
2021-02-09,0.8647129
2021-02-10,0.8557819
2021-02-11,0.83130586
2021-02-12,0.8320959
2021-02-13,0.83862925
2021-02-14,0.83800125
2021-02-15,0.83363813
2021-02-16,0.8206894
2021-02-17,0.8175667
2021-02-18,0.78144854
2021-02-19,0.7090207
2021-02-20,0.6931334
2021-02-21,0.69554657
2021-02-22,0.695558
2021-02-23,0.6890555
2021-02-24,0.6840904
2021-02-25,0.65938836
2021-02-26,0.6009759
2021-02-27,0.58920693
2021-02-28,0.589318
2021-03-01,0.59298086
2021-03-02,0.6044761
2021-03-03,0.59230405
2021-03-04,0.5733135
2021-03-05,0.5608344
2021-03-06,0.59116876
2021-03-07,0.6102722
2021-03-08,0.60787594
2021-03-09,0.6132456
2021-03-10,0.6362485
2021-03-11,0.64749235
2021-03-12,0.67060393
2021-03-13,0.66703856
2021-03-14,0.66498697
2021-03-15,0.64886075
2021-03-16,0.6484576
2021-03-17,0.6634865
2021-03-18,0.67159057
2021-03-19,0.69440836
2021-03-20,0.6989741
2021-03-21,0.6989251
2021-03-22,0.6932385
2021-03-23,0.69048935
2021-03-24,0.6964864
2021-03-25,0.7369238
2021-03-26,0.7285321
2021-03-27,0.7232281
2021-03-28,0.71974695
2021-03-29,0.6934765
2021-03-30,0.6820785
2021-03-31,0.6698475
2021-04-01,0.66575694
2021-04-02,0.6770243
2021-04-03,0.69176596
2021-04-04,0.70007783
2021-04-05,0.6766434
2021-04-06,0.67041147
2021-04-07,0.6520745
2021-04-08,0.6365125
2021-04-09,0.6370958
2021-04-10,0.6192805
2021-04-11,0.60940284
2021-04-12,0.57450414
2021-04-13,0.5830843
2021-04-14,0.59112823
2021-04-15,0.5818433
2021-04-16,0.5919653
2021-04-17,0.57087785
2021-04-18,0.5711504
2021-04-19,0.56349266
2021-04-20,0.55076087
2021-04-21,0.5520862
2021-04-22,0.54361504
2021-04-23,0.4874324
2021-04-24,0.47254008
2021-04-25,0.47153252
2021-04-26,0.4614894
2021-04-27,0.46784088
2021-04-28,0.4511912
2021-04-29,0.46085468
2021-04-30,0.54599756
2021-05-01,0.57657874
2021-05-02,0.56944126
2021-05-03,0.5345824
2021-05-04,0.4985766
2021-05-05,0.52339625
2021-05-06,0.52293074
2021-05-07,0.54002696
2021-05-08,0.5611678
2021-05-09,0.5755038
2021-05-10,0.5931284
2021-05-11,0.61005986
2021-05-12,0.6048168
2021-05-13,0.6363119
2021-05-14,0.64909875
2021-05-15,0.6841577
2021-05-16,0.7026324
2021-05-17,0.69875836
2021-05-18,0.70571494
2021-05-19,0.7097715
2021-05-20,0.7023475
2021-05-21,0.7205571
2021-05-22,0.72033554
2021-05-23,0.72696257
2021-05-24,0.74031585
2021-05-25,0.75605726
2021-05-26,0.7510264
2021-05-27,0.73211944
2021-05-28,0.6660359
2021-05-29,0.62887317
2021-05-30,0.6269431
2021-05-31,0.6170335
2021-06-01,0.61671066
2021-06-02,0.61676127
2021-06-03,0.6119497
2021-06-04,0.6131566
2021-06-05,0.61043125
2021-06-06,0.61212873
2021-06-07,0.60269725
2021-06-08,0.5973278
2021-06-09,0.57647306
2021-06-10,0.5594821
2021-06-11,0.51954263
2021-06-12,0.5008449
2021-06-13,0.47963688
2021-06-14,0.45072356
2021-06-15,0.44050765
2021-06-16,0.42058975
2021-06-17,0.4189705
2021-06-18,0.42655027
2021-06-19,0.40048355
2021-06-20,0.3974769
2021-06-21,0.39133027
2021-06-22,0.39411354
2021-06-23,0.38283303
2021-06-24,0.37331006
2021-06-25,0.38054448
2021-06-26,0.382646
2021-06-27,0.38014647
2021-06-28,0.38407928
2021-06-29,0.3971571
2021-06-30,0.4014159
2021-07-01,0.4034601
2021-07-02,0.4061211
2021-07-03,0.3852847
2021-07-04,0.3756749
2021-07-05,0.37484205
2021-07-06,0.37092137
2021-07-07,0.38023612
2021-07-08,0.37589234
2021-07-09,0.3945127
2021-07-10,0.41449735
2021-07-11,0.42061415
2021-07-12,0.4250691
2021-07-13,0.4270893
2021-07-14,0.42855784
2021-07-15,0.41999474
2021-07-16,0.41699734
2021-07-17,0.41938534
2021-07-18,0.4204334
2021-07-19,0.4233138
2021-07-20,0.43142486
2021-07-21,0.44209403
2021-07-22,0.44583595
2021-07-23,0.44312295
2021-07-24,0.49935478
2021-07-25,0.5225602
2021-07-26,0.5213368
2021-07-27,0.5216435
2021-07-28,0.5230476
2021-07-29,0.5309324
2021-07-30,0.5441088
2021-07-31,0.5424196
2021-08-01,0.5532441
2021-08-02,0.5431303
2021-08-03,0.5474707
2021-08-04,0.5536692
2021-08-05,0.54952663
2021-08-06,0.5435946
2021-08-07,0.5342374
2021-08-08,0.52805233
2021-08-09,0.52266276
2021-08-10,0.5218334
2021-08-11,0.52095294
2021-08-12,0.5208226
2021-08-13,0.5216081
2021-08-14,0.5083455
2021-08-15,0.49726728
2021-08-16,0.4864762
2021-08-17,0.46807817
2021-08-18,0.46609113
2021-08-19,0.44905576
2021-08-20,0.447406
2021-08-21,0.3802445
2021-08-22,0.3557177
2021-08-23,0.3579166
2021-08-24,0.3633324
2021-08-25,0.34829155
2021-08-26,0.32844216
2021-08-27,0.31851327
2021-08-28,0.33956033
2021-08-29,0.35857517
2021-08-30,0.36618614
2021-08-31,0.36472964
2021-09-01,0.36023763
2021-09-02,0.36562288
2021-09-03,0.36453462
2021-09-04,0.36888465
