,0
2021-01-01,0.3463781
2021-01-02,0.34257466
2021-01-03,0.3572776
2021-01-04,0.35822567
2021-01-05,0.35285628
2021-01-06,0.3588029
2021-01-07,0.36711457
2021-01-08,0.35906896
2021-01-09,0.3772542
2021-01-10,0.41578186
2021-01-11,0.38914967
2021-01-12,0.38384816
2021-01-13,0.40257984
2021-01-14,0.41636822
2021-01-15,0.43093017
2021-01-16,0.4204156
2021-01-17,0.43659863
2021-01-18,0.4010251
2021-01-19,0.4128622
2021-01-20,0.43542525
2021-01-21,0.41741383
2021-01-22,0.4296354
2021-01-23,0.44389212
2021-01-24,0.45197704
2021-01-25,0.40401676
2021-01-26,0.40885198
2021-01-27,0.4532844
2021-01-28,0.4363627
2021-01-29,0.4418856
2021-01-30,0.43314898
2021-01-31,0.45464954
2021-02-01,0.46594012
2021-02-02,0.47727916
2021-02-03,0.48286054
2021-02-04,0.45454368
2021-02-05,0.44977337
2021-02-06,0.41852292
2021-02-07,0.42847034
2021-02-08,0.44372064
2021-02-09,0.4293296
2021-02-10,0.43350816
2021-02-11,0.4093374
2021-02-12,0.40571934
2021-02-13,0.38732406
2021-02-14,0.41587296
2021-02-15,0.38215283
2021-02-16,0.39225614
2021-02-17,0.38530982
2021-02-18,0.38385844
2021-02-19,0.38456908
2021-02-20,0.37900525
2021-02-21,0.37266257
2021-02-22,0.37385333
2021-02-23,0.34809098
2021-02-24,0.3735582
2021-02-25,0.3946637
2021-02-26,0.40000585
2021-02-27,0.3803474
2021-02-28,0.3925515
2021-03-01,0.38808957
2021-03-02,0.37992585
2021-03-03,0.37624684
2021-03-04,0.379167
2021-03-05,0.35389465
2021-03-06,0.38609025
2021-03-07,0.3802279
2021-03-08,0.37495542
2021-03-09,0.39920676
2021-03-10,0.39459872
2021-03-11,0.4256743
2021-03-12,0.43198085
2021-03-13,0.42982796
2021-03-14,0.44324818
2021-03-15,0.4073635
2021-03-16,0.42272365
2021-03-17,0.4465595
2021-03-18,0.43766162
2021-03-19,0.43666258
2021-03-20,0.43267742
2021-03-21,0.43630296
2021-03-22,0.4628706
2021-03-23,0.4359493
2021-03-24,0.44972193
2021-03-25,0.46093664
2021-03-26,0.4336201
2021-03-27,0.45287755
2021-03-28,0.37953267
2021-03-29,0.42762506
2021-03-30,0.43027633
2021-03-31,0.41123486
2021-04-01,0.39490834
2021-04-02,0.38704708
2021-04-03,0.42669228
2021-04-04,0.41510695
2021-04-05,0.40678787
2021-04-06,0.38658044
2021-04-07,0.37931642
2021-04-08,0.3323536
2021-04-09,0.38382044
2021-04-10,0.35160542
2021-04-11,0.3584566
2021-04-12,0.37332782
2021-04-13,0.34292102
2021-04-14,0.3569128
2021-04-15,0.3315015
2021-04-16,0.30456764
2021-04-17,0.30668145
2021-04-18,0.3028399
2021-04-19,0.29803717
2021-04-20,0.29691947
2021-04-21,0.29762378
2021-04-22,0.30422235
2021-04-23,0.28517425
2021-04-24,0.29248595
2021-04-25,0.2557769
2021-04-26,0.29748276
2021-04-27,0.2698904
2021-04-28,0.28718835
2021-04-29,0.2651316
2021-04-30,0.27073926
2021-05-01,0.26638144
2021-05-02,0.26839074
2021-05-03,0.2468224
2021-05-04,0.26161504
2021-05-05,0.27268413
2021-05-06,0.286365
2021-05-07,0.26631296
2021-05-08,0.2745662
2021-05-09,0.2682907
2021-05-10,0.27379712
2021-05-11,0.274352
2021-05-12,0.28484803
2021-05-13,0.29717255
2021-05-14,0.30637985
2021-05-15,0.30720118
2021-05-16,0.32479167
2021-05-17,0.31838626
2021-05-18,0.33907655
2021-05-19,0.33181378
2021-05-20,0.33452997
2021-05-21,0.3393423
2021-05-22,0.3476204
2021-05-23,0.35586974
2021-05-24,0.3571433
2021-05-25,0.3645067
2021-05-26,0.3655319
2021-05-27,0.37629658
2021-05-28,0.3501516
2021-05-29,0.39449367
2021-05-30,0.3737407
2021-05-31,0.3797669
2021-06-01,0.35556734
2021-06-02,0.37381232
2021-06-03,0.3851017
2021-06-04,0.3611366
2021-06-05,0.37999356
2021-06-06,0.36621255
2021-06-07,0.3698694
2021-06-08,0.3548731
2021-06-09,0.37123078
2021-06-10,0.35843068
2021-06-11,0.37060955
2021-06-12,0.36416826
2021-06-13,0.33798215
2021-06-14,0.3468259
2021-06-15,0.3243351
2021-06-16,0.320909
2021-06-17,0.29464874
2021-06-18,0.28149822
2021-06-19,0.27466053
2021-06-20,0.3177491
2021-06-21,0.29400313
2021-06-22,0.30216825
2021-06-23,0.32171804
2021-06-24,0.30835906
2021-06-25,0.31868863
2021-06-26,0.3230742
2021-06-27,0.33436978
2021-06-28,0.3306334
2021-06-29,0.321656
2021-06-30,0.33539715
2021-07-01,0.3169158
2021-07-02,0.32168168
2021-07-03,0.3275694
2021-07-04,0.32979771
2021-07-05,0.3308773
2021-07-06,0.34141994
2021-07-07,0.34301966
2021-07-08,0.32733437
2021-07-09,0.33720788
2021-07-10,0.3442189
2021-07-11,0.33138984
2021-07-12,0.3453038
2021-07-13,0.32990065
2021-07-14,0.3639829
2021-07-15,0.3560186
2021-07-16,0.34286088
2021-07-17,0.3385062
2021-07-18,0.35526666
2021-07-19,0.33873352
2021-07-20,0.32699016
2021-07-21,0.3440217
2021-07-22,0.3397886
2021-07-23,0.33600345
2021-07-24,0.3231752
2021-07-25,0.32006034
2021-07-26,0.31799158
2021-07-27,0.31942528
2021-07-28,0.32446042
2021-07-29,0.30392745
2021-07-30,0.31933656
2021-07-31,0.35674724
2021-08-01,0.32634324
2021-08-02,0.31607586
2021-08-03,0.31498325
2021-08-04,0.32501382
2021-08-05,0.3494403
2021-08-06,0.32679704
2021-08-07,0.33405662
2021-08-08,0.3255196
2021-08-09,0.34956166
2021-08-10,0.33188695
2021-08-11,0.33997342
2021-08-12,0.3508522
2021-08-13,0.33469975
2021-08-14,0.32930166
2021-08-15,0.32005015
2021-08-16,0.3199402
2021-08-17,0.33638856
2021-08-18,0.2980866
2021-08-19,0.30216214
2021-08-20,0.28899878
2021-08-21,0.30598113
2021-08-22,0.2903737
2021-08-23,0.30069312
2021-08-24,0.3076066
2021-08-25,0.2959213
2021-08-26,0.28809845
2021-08-27,0.27535734
2021-08-28,0.29286394
2021-08-29,0.2772918
2021-08-30,0.2776846
2021-08-31,0.2808716
2021-09-01,0.27661946
2021-09-02,0.26532894
2021-09-03,0.24166705
2021-09-04,0.2561878
2021-09-05,0.27367774
2021-09-06,0.25519177
2021-09-07,0.27683422
2021-09-08,0.2583248
2021-09-09,0.28483537
2021-09-10,0.289207
2021-09-11,0.27601236
2021-09-12,0.2863056
