,0
2021-01-01,0.4980502
2021-01-02,0.5031159
2021-01-03,0.5117645
2021-01-04,0.52405804
2021-01-05,0.5379577
2021-01-06,0.54746026
2021-01-07,0.57405615
2021-01-08,0.6047759
2021-01-09,0.6282878
2021-01-10,0.6458246
2021-01-11,0.658953
2021-01-12,0.6743456
2021-01-13,0.6823456
2021-01-14,0.6992857
2021-01-15,0.7034446
2021-01-16,0.70225537
2021-01-17,0.6985069
2021-01-18,0.69610506
2021-01-19,0.6939982
2021-01-20,0.68922406
2021-01-21,0.68555915
2021-01-22,0.66692096
2021-01-23,0.651741
2021-01-24,0.64112
2021-01-25,0.6383861
2021-01-26,0.638624
2021-01-27,0.6417393
2021-01-28,0.66093194
2021-01-29,0.6846404
2021-01-30,0.70719385
2021-01-31,0.7259655
2021-02-01,0.740728
2021-02-02,0.7464994
2021-02-03,0.73663074
2021-02-04,0.7226329
2021-02-05,0.70199627
2021-02-06,0.6734975
2021-02-07,0.6470845
2021-02-08,0.6280976
2021-02-09,0.6121824
2021-02-10,0.59458464
2021-02-11,0.5831489
2021-02-12,0.5695126
2021-02-13,0.5580791
2021-02-14,0.54521084
2021-02-15,0.5395817
2021-02-16,0.53390914
2021-02-17,0.53145635
2021-02-18,0.5279536
2021-02-19,0.5289419
2021-02-20,0.53687894
2021-02-21,0.5466866
2021-02-22,0.56102276
2021-02-23,0.57304287
2021-02-24,0.580609
2021-02-25,0.5819766
2021-02-26,0.5694812
2021-02-27,0.55589163
2021-02-28,0.551127
2021-03-01,0.5476112
2021-03-02,0.55102885
2021-03-03,0.55814373
2021-03-04,0.56654704
2021-03-05,0.5764751
2021-03-06,0.58962476
2021-03-07,0.59720725
2021-03-08,0.6099508
2021-03-09,0.6157637
2021-03-10,0.6268445
2021-03-11,0.64008546
2021-03-12,0.64785755
2021-03-13,0.6575259
2021-03-14,0.6652041
2021-03-15,0.6719462
2021-03-16,0.6784251
2021-03-17,0.6811057
2021-03-18,0.6905458
2021-03-19,0.70062935
2021-03-20,0.6960618
2021-03-21,0.68853563
2021-03-22,0.6802585
2021-03-23,0.6665483
2021-03-24,0.66300935
2021-03-25,0.6523247
2021-03-26,0.6478931
2021-03-27,0.63228214
2021-03-28,0.61391455
2021-03-29,0.5997928
2021-03-30,0.58080244
2021-03-31,0.5662119
2021-04-01,0.5529708
2021-04-02,0.5456407
2021-04-03,0.539137
2021-04-04,0.53553754
2021-04-05,0.53093517
2021-04-06,0.528965
2021-04-07,0.5203255
2021-04-08,0.50624764
2021-04-09,0.49483034
2021-04-10,0.48518455
2021-04-11,0.47746992
2021-04-12,0.46824753
2021-04-13,0.4588022
2021-04-14,0.44997787
2021-04-15,0.44320145
2021-04-16,0.434498
2021-04-17,0.4299274
2021-04-18,0.4268155
2021-04-19,0.4230123
2021-04-20,0.42258173
2021-04-21,0.4230406
2021-04-22,0.4216957
2021-04-23,0.4187432
2021-04-24,0.41552234
2021-04-25,0.41088212
2021-04-26,0.40807664
2021-04-27,0.40401134
2021-04-28,0.40173557
2021-04-29,0.397345
2021-04-30,0.39252725
2021-05-01,0.39088207
2021-05-02,0.38939142
2021-05-03,0.3849498
2021-05-04,0.3813836
2021-05-05,0.37601808
2021-05-06,0.3831638
2021-05-07,0.39656585
2021-05-08,0.40529725
2021-05-09,0.41705152
2021-05-10,0.42753288
2021-05-11,0.43733853
2021-05-12,0.44678953
2021-05-13,0.47055662
2021-05-14,0.5022392
2021-05-15,0.5257865
2021-05-16,0.5458765
2021-05-17,0.5650452
2021-05-18,0.5796818
2021-05-19,0.581774
2021-05-20,0.58325946
2021-05-21,0.5776843
2021-05-22,0.5745678
2021-05-23,0.5678592
2021-05-24,0.56687486
2021-05-25,0.56680024
2021-05-26,0.5625316
2021-05-27,0.5594249
2021-05-28,0.5567616
2021-05-29,0.5551274
2021-05-30,0.55184025
2021-05-31,0.5492534
2021-06-01,0.55
2021-06-02,0.55018514
2021-06-03,0.5436688
2021-06-04,0.5363549
2021-06-05,0.52876633
2021-06-06,0.5227614
2021-06-07,0.5151466
2021-06-08,0.5085992
2021-06-09,0.50643003
2021-06-10,0.4992246
2021-06-11,0.47525263
2021-06-12,0.44020617
2021-06-13,0.40886053
2021-06-14,0.38390812
2021-06-15,0.35967302
2021-06-16,0.33972174
2021-06-17,0.336078
2021-06-18,0.34054735
2021-06-19,0.36598122
2021-06-20,0.39521965
2021-06-21,0.41878864
2021-06-22,0.4365765
2021-06-23,0.44871682
2021-06-24,0.46230817
2021-06-25,0.47318417
2021-06-26,0.48540553
2021-06-27,0.48951745
2021-06-28,0.49837288
2021-06-29,0.5002125
2021-06-30,0.5124171
2021-07-01,0.521882
2021-07-02,0.53357077
2021-07-03,0.54510504
2021-07-04,0.54666066
2021-07-05,0.5484593
2021-07-06,0.5495131
2021-07-07,0.55130994
2021-07-08,0.54788816
2021-07-09,0.54208547
2021-07-10,0.53151464
2021-07-11,0.52761245
2021-07-12,0.5255489
2021-07-13,0.5209272
2021-07-14,0.5223775
2021-07-15,0.521688
2021-07-16,0.5244826
2021-07-17,0.5204827
2021-07-18,0.5201913
2021-07-19,0.51152587
2021-07-20,0.49784726
2021-07-21,0.48308104
2021-07-22,0.47622332
2021-07-23,0.46640396
2021-07-24,0.46331733
2021-07-25,0.46357352
2021-07-26,0.46211725
2021-07-27,0.46043268
2021-07-28,0.46634895
2021-07-29,0.469751
2021-07-30,0.4664025
2021-07-31,0.46688136
2021-08-01,0.46385828
2021-08-02,0.46636063
2021-08-03,0.46440035
2021-08-04,0.46688694
2021-08-05,0.46705854
2021-08-06,0.470891
2021-08-07,0.47342739
2021-08-08,0.47949493
2021-08-09,0.48296925
2021-08-10,0.4847691
2021-08-11,0.48411536
2021-08-12,0.48147964
2021-08-13,0.47856212
2021-08-14,0.46782598
2021-08-15,0.46034732
2021-08-16,0.4494202
2021-08-17,0.43645227
2021-08-18,0.4235408
2021-08-19,0.41049263
2021-08-20,0.40172645
2021-08-21,0.3945763
2021-08-22,0.39218998
2021-08-23,0.3922043
2021-08-24,0.39589685
2021-08-25,0.39024806
2021-08-26,0.3837716
2021-08-27,0.3763851
2021-08-28,0.36782885
2021-08-29,0.35951337
2021-08-30,0.35119748
2021-08-31,0.34526023
2021-09-01,0.33880007
2021-09-02,0.34159294
2021-09-03,0.34530652
2021-09-04,0.35109505
2021-09-05,0.35612255
2021-09-06,0.36342525
2021-09-07,0.37246677
2021-09-08,0.38118246
2021-09-09,0.40233994
2021-09-10,0.42063168
2021-09-11,0.44009617
2021-09-12,0.45760503
2021-09-13,0.4698979
2021-09-14,0.4808573
2021-09-15,0.4874013
2021-09-16,0.4929341
2021-09-17,0.492851
2021-09-18,0.50331014
2021-09-19,0.50832886
2021-09-20,0.51560974
2021-09-21,0.51746684
2021-09-22,0.5145484
2021-09-23,0.5066545
2021-09-24,0.4991145
2021-09-25,0.49399891
2021-09-26,0.4881225
2021-09-27,0.48722288
2021-09-28,0.488259
2021-09-29,0.49638772
2021-09-30,0.50571764
2021-10-01,0.51462716
2021-10-02,0.5179434
2021-10-03,0.5216032
2021-10-04,0.5259053
2021-10-05,0.529864
2021-10-06,0.5291166
2021-10-07,0.5216638
2021-10-08,0.5177621
2021-10-09,0.5044271
2021-10-10,0.49783137
2021-10-11,0.49595457
2021-10-12,0.4947435
2021-10-13,0.49648646
2021-10-14,0.50290334
2021-10-15,0.51255524
2021-10-16,0.51256937
2021-10-17,0.5114374
2021-10-18,0.5110305
2021-10-19,0.50996894
2021-10-20,0.51034874
2021-10-21,0.5202343
2021-10-22,0.53278166
2021-10-23,0.54288656
2021-10-24,0.5504089
2021-10-25,0.5533921
2021-10-26,0.5570093
2021-10-27,0.55234754
2021-10-28,0.5424746
2021-10-29,0.534216
2021-10-30,0.52710575
2021-10-31,0.51782984
2021-11-01,0.50982636
2021-11-02,0.50016004
2021-11-03,0.49250153
2021-11-04,0.47733706
2021-11-05,0.46303496
2021-11-06,0.45843518
2021-11-07,0.45037192
2021-11-08,0.44762093
2021-11-09,0.4471456
2021-11-10,0.44603118
2021-11-11,0.4423929
2021-11-12,0.43631563
2021-11-13,0.43205002
2021-11-14,0.42977884
2021-11-15,0.42656654
2021-11-16,0.4265292
2021-11-17,0.4245966
2021-11-18,0.4122942
2021-11-19,0.4012547
2021-11-20,0.39169788
2021-11-21,0.38448566
2021-11-22,0.3786188
2021-11-23,0.3734507
2021-11-24,0.3712326
2021-11-25,0.3696092
2021-11-26,0.3707082
2021-11-27,0.37642148
2021-11-28,0.38325152
2021-11-29,0.38903514
2021-11-30,0.40045545
2021-12-01,0.4391919
2021-12-02,0.4808267
2021-12-03,0.5148155
2021-12-04,0.55038005
2021-12-05,0.5776238
2021-12-06,0.5992828
2021-12-07,0.6148694
2021-12-08,0.6273442
2021-12-09,0.62971336
2021-12-10,0.62870914
2021-12-11,0.61890936
2021-12-12,0.62097245
2021-12-13,0.6176985
2021-12-14,0.6135014
2021-12-15,0.6103849
2021-12-16,0.6121298
