,0
2021-01-01,0.5114352
2021-01-02,0.529146
2021-01-03,0.5497084
2021-01-04,0.5779004
2021-01-05,0.59446114
2021-01-06,0.58287483
2021-01-07,0.6259476
2021-01-08,0.647174
2021-01-09,0.663978
2021-01-10,0.67574346
2021-01-11,0.6943761
2021-01-12,0.69973636
2021-01-13,0.69922614
2021-01-14,0.72364414
2021-01-15,0.69364697
2021-01-16,0.67603225
2021-01-17,0.6683393
2021-01-18,0.68041897
2021-01-19,0.6784897
2021-01-20,0.6760458
2021-01-21,0.66985613
2021-01-22,0.6225486
2021-01-23,0.6156449
2021-01-24,0.62841713
2021-01-25,0.656962
2021-01-26,0.672738
2021-01-27,0.67868006
2021-01-28,0.7408878
2021-01-29,0.76898676
2021-01-30,0.7749899
2021-01-31,0.7676775
2021-02-01,0.77154875
2021-02-02,0.760793
2021-02-03,0.69529456
2021-02-04,0.68692625
2021-02-05,0.62823045
2021-02-06,0.6072507
2021-02-07,0.60202366
2021-02-08,0.6056814
2021-02-09,0.6056036
2021-02-10,0.5969489
2021-02-11,0.59271026
2021-02-12,0.5591816
2021-02-13,0.55014765
2021-02-14,0.5470603
2021-02-15,0.55349
2021-02-16,0.5541705
2021-02-17,0.5546773
2021-02-18,0.5524024
2021-02-19,0.55105495
2021-02-20,0.57208395
2021-02-21,0.5880146
2021-02-22,0.61884356
2021-02-23,0.6368251
2021-02-24,0.59380007
2021-02-25,0.59443337
2021-02-26,0.51334465
2021-02-27,0.526807
2021-02-28,0.54678994
2021-03-01,0.5738723
2021-03-02,0.5961316
2021-03-03,0.5929899
2021-03-04,0.6020555
2021-03-05,0.59936255
2021-03-06,0.62045866
2021-03-07,0.6294318
2021-03-08,0.6432878
2021-03-09,0.65061426
2021-03-10,0.66267025
2021-03-11,0.6697285
2021-03-12,0.66859674
2021-03-13,0.6793239
2021-03-14,0.6837341
2021-03-15,0.6955437
2021-03-16,0.69806236
2021-03-17,0.68322915
2021-03-18,0.7037408
2021-03-19,0.70530164
2021-03-20,0.6806774
2021-03-21,0.66349846
2021-03-22,0.658521
2021-03-23,0.644533
2021-03-24,0.6606778
2021-03-25,0.64499134
2021-03-26,0.64652085
2021-03-27,0.60519385
2021-03-28,0.5912363
2021-03-29,0.5845659
2021-03-30,0.5728887
2021-03-31,0.5769113
2021-04-01,0.56705415
2021-04-02,0.5628356
2021-04-03,0.55698353
2021-04-04,0.5505026
2021-04-05,0.5487627
2021-04-06,0.54237765
2021-04-07,0.5232663
2021-04-08,0.49995935
2021-04-09,0.48455524
2021-04-10,0.4762527
2021-04-11,0.46531922
2021-04-12,0.46119717
2021-04-13,0.45005965
2021-04-14,0.44294816
2021-04-15,0.4422469
2021-04-16,0.42146167
2021-04-17,0.42199033
2021-04-18,0.4219206
2021-04-19,0.43231463
2021-04-20,0.43349627
2021-04-21,0.44537607
2021-04-22,0.4247221
2021-04-23,0.42891836
2021-04-24,0.41248375
2021-04-25,0.4105721
2021-04-26,0.4196804
2021-04-27,0.42098358
2021-04-28,0.41253787
2021-04-29,0.39818022
2021-04-30,0.39956897
2021-05-01,0.40174964
2021-05-02,0.39407334
2021-05-03,0.3923357
2021-05-04,0.38414243
2021-05-05,0.37990788
2021-05-06,0.43491295
2021-05-07,0.44679925
2021-05-08,0.44650298
2021-05-09,0.44922575
2021-05-10,0.45875826
2021-05-11,0.46439946
2021-05-12,0.46741027
2021-05-13,0.50361866
2021-05-14,0.53626835
2021-05-15,0.5561657
2021-05-16,0.5706371
2021-05-17,0.5900434
2021-05-18,0.5952489
2021-05-19,0.5711477
2021-05-20,0.55166274
2021-05-21,0.54812837
2021-05-22,0.5473851
2021-05-23,0.5432014
2021-05-24,0.5553423
2021-05-25,0.5535905
2021-05-26,0.5624647
