,0
2021-01-01,0.51591706
2021-01-02,0.5162004
2021-01-03,0.5191767
2021-01-04,0.53773534
2021-01-05,0.54915094
2021-01-06,0.5523265
2021-01-07,0.57500505
2021-01-08,0.59318376
2021-01-09,0.598645
2021-01-10,0.6021348
2021-01-11,0.61239797
2021-01-12,0.61487985
2021-01-13,0.62683547
2021-01-14,0.64710695
2021-01-15,0.64662826
2021-01-16,0.6370963
2021-01-17,0.63319963
2021-01-18,0.64443773
2021-01-19,0.6474727
2021-01-20,0.6398899
2021-01-21,0.63996595
2021-01-22,0.6275648
2021-01-23,0.6130771
2021-01-24,0.61260307
2021-01-25,0.63510054
2021-01-26,0.64222604
2021-01-27,0.646176
2021-01-28,0.67386
2021-01-29,0.6909722
2021-01-30,0.7015055
2021-01-31,0.697139
2021-02-01,0.7100365
2021-02-02,0.710778
2021-02-03,0.6898507
2021-02-04,0.6724107
2021-02-05,0.6410793
2021-02-06,0.622915
2021-02-07,0.6100628
2021-02-08,0.61717
2021-02-09,0.6119875
2021-02-10,0.60321975
2021-02-11,0.59258425
2021-02-12,0.580779
2021-02-13,0.5710432
2021-02-14,0.5609336
2021-02-15,0.5675776
2021-02-16,0.56031394
2021-02-17,0.5554141
2021-02-18,0.5559464
2021-02-19,0.5522578
2021-02-20,0.5533608
2021-02-21,0.5584143
2021-02-22,0.57483816
2021-02-23,0.5772887
2021-02-24,0.56312525
2021-02-25,0.55574465
2021-02-26,0.5294262
2021-02-27,0.5105349
2021-02-28,0.51488733
2021-03-01,0.52960473
2021-03-02,0.5425303
2021-03-03,0.557986
2021-03-04,0.56185025
2021-03-05,0.55878097
2021-03-06,0.56540555
2021-03-07,0.57097065
2021-03-08,0.58319014
2021-03-09,0.5838082
2021-03-10,0.5886624
2021-03-11,0.6046935
2021-03-12,0.610634
2021-03-13,0.6116034
2021-03-14,0.6132554
2021-03-15,0.61898535
2021-03-16,0.62638354
2021-03-17,0.6305372
2021-03-18,0.6365636
2021-03-19,0.6487377
2021-03-20,0.6313722
2021-03-21,0.61940086
2021-03-22,0.61424166
2021-03-23,0.6076361
2021-03-24,0.61689043
2021-03-25,0.6118683
2021-03-26,0.6175654
2021-03-27,0.5983424
2021-03-28,0.5805652
2021-03-29,0.5802361
2021-03-30,0.57208
2021-03-31,0.5666426
2021-04-01,0.56303
2021-04-02,0.5609626
2021-04-03,0.54969895
2021-04-04,0.54962575
2021-04-05,0.54464525
2021-04-06,0.53855914
2021-04-07,0.5286373
2021-04-08,0.5033186
2021-04-09,0.49187768
2021-04-10,0.48578438
2021-04-11,0.47625697
2021-04-12,0.4800976
2021-04-13,0.4738324
2021-04-14,0.45318875
2021-04-15,0.45238033
2021-04-16,0.43643063
2021-04-17,0.43846974
2021-04-18,0.43524978
2021-04-19,0.43924367
2021-04-20,0.44164047
2021-04-21,0.44058967
2021-04-22,0.42346722
2021-04-23,0.42662495
2021-04-24,0.4148817
2021-04-25,0.4095472
2021-04-26,0.4100486
2021-04-27,0.40707138
2021-04-28,0.40566897
2021-04-29,0.3952551
2021-04-30,0.39216998
2021-05-01,0.39000168
2021-05-02,0.38711756
2021-05-03,0.38568673
2021-05-04,0.36939433
2021-05-05,0.3763264
2021-05-06,0.39423057
2021-05-07,0.40632248
2021-05-08,0.4092289
2021-05-09,0.41366702
2021-05-10,0.4220445
2021-05-11,0.42066807
2021-05-12,0.4215023
2021-05-13,0.45032066
2021-05-14,0.47640598
2021-05-15,0.4875203
2021-05-16,0.4905968
2021-05-17,0.50163114
2021-05-18,0.50147456
2021-05-19,0.4926099
2021-05-20,0.4877042
2021-05-21,0.49444047
2021-05-22,0.4954833
2021-05-23,0.49824044
2021-05-24,0.50936866
2021-05-25,0.50473803
2021-05-26,0.50762117
2021-05-27,0.5034208
2021-05-28,0.50333416
2021-05-29,0.51001525
2021-05-30,0.5040604
2021-05-31,0.5183948
2021-06-01,0.5193533
2021-06-02,0.5196549
2021-06-03,0.522504
2021-06-04,0.5099837
2021-06-05,0.5051582
2021-06-06,0.5006231
2021-06-07,0.50962275
2021-06-08,0.5000947
2021-06-09,0.4958976
2021-06-10,0.4871483
2021-06-11,0.45881134
2021-06-12,0.4235811
2021-06-13,0.4051061
2021-06-14,0.40491906
2021-06-15,0.39982906
2021-06-16,0.39292866
2021-06-17,0.40123978
2021-06-18,0.4049102
2021-06-19,0.43251428
2021-06-20,0.4405512
2021-06-21,0.4496793
2021-06-22,0.44730777
2021-06-23,0.4489608
2021-06-24,0.4482671
2021-06-25,0.44853485
2021-06-26,0.44907176
2021-06-27,0.4497773
2021-06-28,0.4528103
2021-06-29,0.45191428
2021-06-30,0.4776013
2021-07-01,0.49219036
2021-07-02,0.4875973
2021-07-03,0.48003513
2021-07-04,0.47177887
2021-07-05,0.47632626
2021-07-06,0.47562745
2021-07-07,0.4839802
2021-07-08,0.48457095
2021-07-09,0.48503387
2021-07-10,0.48087662
2021-07-11,0.48118937
2021-07-12,0.48473966
2021-07-13,0.490389
2021-07-14,0.49212974
2021-07-15,0.49138612
2021-07-16,0.48891285
2021-07-17,0.4923603
2021-07-18,0.48687932
2021-07-19,0.48524147
2021-07-20,0.47355655
2021-07-21,0.46561897
2021-07-22,0.46566305
2021-07-23,0.45959964
2021-07-24,0.465144
2021-07-25,0.46335757
2021-07-26,0.47035384
2021-07-27,0.46215808
2021-07-28,0.47500393
2021-07-29,0.46446937
2021-07-30,0.46355012
2021-07-31,0.46734607
2021-08-01,0.4714956
2021-08-02,0.47399205
2021-08-03,0.47219276
2021-08-04,0.47662276
2021-08-05,0.46783084
2021-08-06,0.47229588
2021-08-07,0.47496375
2021-08-08,0.47576687
2021-08-09,0.47754517
2021-08-10,0.47074983
2021-08-11,0.47193372
2021-08-12,0.46657044
2021-08-13,0.46159843
2021-08-14,0.4520185
2021-08-15,0.44668987
2021-08-16,0.44076392
2021-08-17,0.4331828
2021-08-18,0.4266265
2021-08-19,0.41981134
2021-08-20,0.4099263
2021-08-21,0.41065302
2021-08-22,0.40964633
2021-08-23,0.4195931
2021-08-24,0.42592037
2021-08-25,0.40894252
2021-08-26,0.39864823
2021-08-27,0.39152062
2021-08-28,0.38154918
2021-08-29,0.3741672
2021-08-30,0.37426224
2021-08-31,0.3684303
2021-09-01,0.36043784
2021-09-02,0.36967838
2021-09-03,0.36585784
2021-09-04,0.3715526
2021-09-05,0.37166142
2021-09-06,0.37936836
2021-09-07,0.38480994
2021-09-08,0.38813838
2021-09-09,0.40668473
2021-09-10,0.41531682
2021-09-11,0.42665923
2021-09-12,0.427945
2021-09-13,0.4381308
2021-09-14,0.43057373
2021-09-15,0.4243351
2021-09-16,0.42800587
2021-09-17,0.42915484
2021-09-18,0.44413418
2021-09-19,0.44725168
2021-09-20,0.45766383
2021-09-21,0.4527248
2021-09-22,0.44583255
2021-09-23,0.43976533
2021-09-24,0.43545902
2021-09-25,0.44290942
2021-09-26,0.4473509
2021-09-27,0.45291555
2021-09-28,0.45706666
2021-09-29,0.46726868
2021-09-30,0.4748324
2021-10-01,0.47642654
2021-10-02,0.47488618
2021-10-03,0.47535792
2021-10-04,0.48426968
2021-10-05,0.4860438
2021-10-06,0.48094997
2021-10-07,0.46766523
2021-10-08,0.46627793
2021-10-09,0.45744228
2021-10-10,0.4584788
2021-10-11,0.46644813
2021-10-12,0.47108087
2021-10-13,0.4843407
2021-10-14,0.48301452
2021-10-15,0.4843516
2021-10-16,0.4773182
2021-10-17,0.47236726
2021-10-18,0.48198327
2021-10-19,0.47841045
2021-10-20,0.47351554
2021-10-21,0.49471942
2021-10-22,0.49919808
2021-10-23,0.502718
2021-10-24,0.49814293
2021-10-25,0.5039967
2021-10-26,0.4989494
2021-10-27,0.48935744
2021-10-28,0.4891389
2021-10-29,0.48661897
2021-10-30,0.47891465
2021-10-31,0.48352346
2021-11-01,0.48121393
2021-11-02,0.474127
2021-11-03,0.47432134
2021-11-04,0.4697812
2021-11-05,0.4565472
2021-11-06,0.45625308
2021-11-07,0.46049774
2021-11-08,0.45630783
2021-11-09,0.4578
2021-11-10,0.45353
2021-11-11,0.45056
2021-11-12,0.44197628
2021-11-13,0.43640685
2021-11-14,0.43249032
2021-11-15,0.437347
2021-11-16,0.43673286
2021-11-17,0.43359768
2021-11-18,0.41244733
2021-11-19,0.40001294
2021-11-20,0.39903104
2021-11-21,0.39431763
2021-11-22,0.39571312
2021-11-23,0.39786842
2021-11-24,0.39801654
2021-11-25,0.3847469
2021-11-26,0.3807607
2021-11-27,0.39232856
2021-11-28,0.3939319
2021-11-29,0.40131143
2021-11-30,0.41589686
2021-12-01,0.4589001
2021-12-02,0.48343998
2021-12-03,0.4986117
2021-12-04,0.5048931
2021-12-05,0.5098104
2021-12-06,0.5155382
2021-12-07,0.5228038
2021-12-08,0.52459556
2021-12-09,0.5244216
2021-12-10,0.51827663
2021-12-11,0.50909656
2021-12-12,0.5028736
2021-12-13,0.5163567
2021-12-14,0.52787966
2021-12-15,0.5292605
2021-12-16,0.536362
2021-12-17,0.53747565
2021-12-18,0.53946865
2021-12-19,0.5431379
2021-12-20,0.54729265
2021-12-21,0.5557915
2021-12-22,0.55695397
2021-12-23,0.56057566
2021-12-24,0.5637302
2021-12-25,0.56503165
2021-12-26,0.56722957
2021-12-27,0.57101035
2021-12-28,0.561274
