,0
2021-01-01,0.47929573
2021-01-02,0.4875743
2021-01-03,0.44035873
2021-01-04,0.4682702
2021-01-05,0.5010457
2021-01-06,0.5203726
2021-01-07,0.5239979
2021-01-08,0.47953147
2021-01-09,0.4761561
2021-01-10,0.48273373
2021-01-11,0.4073706
2021-01-12,0.42527145
2021-01-13,0.42952675
2021-01-14,0.3950733
2021-01-15,0.40701285
2021-01-16,0.41082084
2021-01-17,0.41378248
2021-01-18,0.44002238
2021-01-19,0.49678895
2021-01-20,0.36762145
2021-01-21,0.34607753
2021-01-22,0.35413155
2021-01-23,0.38006392
2021-01-24,0.36301762
2021-01-25,0.3376113
2021-01-26,0.34380394
2021-01-27,0.34477192
2021-01-28,0.3276858
2021-01-29,0.3630365
2021-01-30,0.38509217
2021-01-31,0.3417791
2021-02-01,0.36668313
2021-02-02,0.33962157
2021-02-03,0.34231177
2021-02-04,0.35257077
2021-02-05,0.34316003
2021-02-06,0.34939793
2021-02-07,0.38003945
2021-02-08,0.3305507
2021-02-09,0.3400202
2021-02-10,0.37553665
2021-02-11,0.37753692
2021-02-12,0.37741035
2021-02-13,0.44187847
2021-02-14,0.38183975
2021-02-15,0.38172418
2021-02-16,0.40816775
2021-02-17,0.4653481
2021-02-18,0.40734988
2021-02-19,0.4100838
2021-02-20,0.4639489
2021-02-21,0.44838575
2021-02-22,0.4359576
2021-02-23,0.4173367
2021-02-24,0.42595813
2021-02-25,0.40275997
2021-02-26,0.4963965
2021-02-27,0.4472576
2021-02-28,0.41183558
2021-03-01,0.43262005
2021-03-02,0.46209148
2021-03-03,0.48719844
2021-03-04,0.45169526
2021-03-05,0.52988905
2021-03-06,0.47243252
2021-03-07,0.5030017
2021-03-08,0.5168364
2021-03-09,0.4504336
2021-03-10,0.5137522
2021-03-11,0.4912856
2021-03-12,0.52974325
2021-03-13,0.55333006
2021-03-14,0.56835824
2021-03-15,0.5726417
2021-03-16,0.5780504
2021-03-17,0.57418287
2021-03-18,0.5863741
2021-03-19,0.5148237
2021-03-20,0.547897
2021-03-21,0.50612646
2021-03-22,0.55239654
2021-03-23,0.58693355
2021-03-24,0.6064221
2021-03-25,0.58235246
2021-03-26,0.61233705
2021-03-27,0.6312463
2021-03-28,0.552108
2021-03-29,0.57874566
2021-03-30,0.5689833
2021-03-31,0.587035
2021-04-01,0.5449303
2021-04-02,0.5982337
2021-04-03,0.5484101
2021-04-04,0.6037769
2021-04-05,0.567363
2021-04-06,0.5251974
2021-04-07,0.5421471
2021-04-08,0.4900613
2021-04-09,0.5739771
2021-04-10,0.59436643
2021-04-11,0.542028
2021-04-12,0.5647753
2021-04-13,0.545817
2021-04-14,0.5477879
2021-04-15,0.5359581
2021-04-16,0.53977907
2021-04-17,0.55013657
2021-04-18,0.5502651
2021-04-19,0.53576106
2021-04-20,0.5157208
2021-04-21,0.4666679
2021-04-22,0.54021305
2021-04-23,0.5075262
2021-04-24,0.5270501
2021-04-25,0.49546182
2021-04-26,0.5366237
2021-04-27,0.4971328
2021-04-28,0.57846975
2021-04-29,0.50091034
2021-04-30,0.5355473
2021-05-01,0.4901288
2021-05-02,0.48800254
2021-05-03,0.4456724
2021-05-04,0.4670726
2021-05-05,0.47230405
2021-05-06,0.5262193
2021-05-07,0.456655
2021-05-08,0.47580987
2021-05-09,0.47604188
2021-05-10,0.48559707
2021-05-11,0.40597865
2021-05-12,0.43812695
2021-05-13,0.43334305
2021-05-14,0.42539185
2021-05-15,0.4375725
2021-05-16,0.3768544
2021-05-17,0.42496768
2021-05-18,0.412701
2021-05-19,0.409562
2021-05-20,0.4579088
2021-05-21,0.39925635
2021-05-22,0.42720994
2021-05-23,0.37973362
2021-05-24,0.42964393
2021-05-25,0.4107315
2021-05-26,0.45609352
2021-05-27,0.45849177
2021-05-28,0.363087
2021-05-29,0.3890913
2021-05-30,0.41318902
2021-05-31,0.35071498
2021-06-01,0.40824145
2021-06-02,0.4007116
2021-06-03,0.41692054
2021-06-04,0.38573727
2021-06-05,0.395036
2021-06-06,0.43039212
2021-06-07,0.41077435
2021-06-08,0.40878907
2021-06-09,0.3793507
2021-06-10,0.42968303
2021-06-11,0.4713422
2021-06-12,0.42880118
2021-06-13,0.43856347
2021-06-14,0.37447748
2021-06-15,0.38043153
2021-06-16,0.4239763
2021-06-17,0.42967224
2021-06-18,0.4425306
2021-06-19,0.39252838
2021-06-20,0.42932642
2021-06-21,0.39301667
2021-06-22,0.38565093
2021-06-23,0.35944644
2021-06-24,0.40189275
2021-06-25,0.36075252
2021-06-26,0.34185258
2021-06-27,0.3690203
2021-06-28,0.35534424
2021-06-29,0.3575698
2021-06-30,0.3871092
2021-07-01,0.40126845
2021-07-02,0.404321
2021-07-03,0.41221523
2021-07-04,0.40301967
2021-07-05,0.38199878
2021-07-06,0.40385878
