,0
2021-01-01,0.31525967
2021-01-02,0.31485376
2021-01-03,0.31735858
2021-01-04,0.31169608
2021-01-05,0.31705004
2021-01-06,0.31260633
2021-01-07,0.3086916
2021-01-08,0.29981872
2021-01-09,0.29137513
2021-01-10,0.29344988
2021-01-11,0.40993372
2021-01-12,0.4106923
2021-01-13,0.4101419
2021-01-14,0.40694663
2021-01-15,0.40813032
2021-01-16,0.40437406
2021-01-17,0.39690194
2021-01-18,0.39591137
2021-01-19,0.39121792
2021-01-20,0.38836896
2021-01-21,0.4208174
2021-01-22,0.4220868
2021-01-23,0.42153162
2021-01-24,0.41997918
2021-01-25,0.4192597
2021-01-26,0.41404897
2021-01-27,0.40897518
2021-01-28,0.40714392
2021-01-29,0.39875734
2021-01-30,0.39403713
2021-01-31,0.61454827
2021-02-01,0.6248315
2021-02-02,0.6282536
2021-02-03,0.6322495
2021-02-04,0.63029
2021-02-05,0.6254393
2021-02-06,0.6139506
2021-02-07,0.61579347
2021-02-08,0.6139722
2021-02-09,0.61053497
2021-02-10,0.61105907
2021-02-11,0.61565083
2021-02-12,0.617153
2021-02-13,0.62000644
2021-02-14,0.62050945
2021-02-15,0.6151554
2021-02-16,0.6102538
2021-02-17,0.6095062
2021-02-18,0.5969676
2021-02-19,0.5922953
2021-02-20,0.5580209
2021-02-21,0.55399185
2021-02-22,0.54958653
2021-02-23,0.536918
2021-02-24,0.5260073
2021-02-25,0.5064693
2021-02-26,0.48837426
2021-02-27,0.4713474
2021-02-28,0.45299506
2021-03-01,0.44147798
2021-03-02,0.58878684
2021-03-03,0.5893883
2021-03-04,0.5870728
2021-03-05,0.5840859
2021-03-06,0.58256614
2021-03-07,0.5757864
2021-03-08,0.564397
2021-03-09,0.55926025
2021-03-10,0.5479959
2021-03-11,0.5432083
2021-03-12,0.6557913
2021-03-13,0.66222024
2021-03-14,0.6664625
2021-03-15,0.6672461
2021-03-16,0.67054325
2021-03-17,0.6675289
2021-03-18,0.664219
2021-03-19,0.6567155
2021-03-20,0.64363784
2021-03-21,0.63997906
2021-03-22,0.69165945
2021-03-23,0.6931299
2021-03-24,0.6933296
2021-03-25,0.68760437
2021-03-26,0.68556553
2021-03-27,0.67513716
2021-03-28,0.6642597
2021-03-29,0.6556968
2021-03-30,0.64079213
2021-03-31,0.6320162
2021-04-01,0.5326012
2021-04-02,0.52517885
2021-04-03,0.51816833
2021-04-04,0.5023408
2021-04-05,0.49388975
2021-04-06,0.47603157
2021-04-07,0.45911026
2021-04-08,0.44184223
2021-04-09,0.4229718
2021-04-10,0.41373876
2021-04-11,0.44113412
2021-04-12,0.4341766
2021-04-13,0.42968845
2021-04-14,0.4180809
2021-04-15,0.4124953
2021-04-16,0.4003148
2021-04-17,0.38550213
2021-04-18,0.37406158
2021-04-19,0.36081043
2021-04-20,0.3563114
2021-04-21,0.43161607
2021-04-22,0.43244493
2021-04-23,0.43508303
2021-04-24,0.4319091
2021-04-25,0.4372576
2021-04-26,0.435849
2021-04-27,0.43257073
2021-04-28,0.4266004
2021-04-29,0.41716665
2021-04-30,0.41686046
2021-05-01,0.4011439
2021-05-02,0.40063512
2021-05-03,0.40282398
2021-05-04,0.39539045
2021-05-05,0.39769524
2021-05-06,0.3920214
2021-05-07,0.3871035
2021-05-08,0.3764766
2021-05-09,0.3650433
2021-05-10,0.36202708
2021-05-11,0.39546818
2021-05-12,0.39353383
2021-05-13,0.39216852
2021-05-14,0.38394576
2021-05-15,0.38067424
2021-05-16,0.37204897
2021-05-17,0.35980666
2021-05-18,0.35156673
2021-05-19,0.34279943
2021-05-20,0.3391322
2021-05-21,0.5247411
2021-05-22,0.52757543
2021-05-23,0.5302998
2021-05-24,0.53090465
2021-05-25,0.53425753
2021-05-26,0.5318294
2021-05-27,0.52927685
2021-05-28,0.52913153
2021-05-29,0.52050996
2021-05-30,0.51650286
2021-05-31,0.5057257
2021-06-01,0.5058225
2021-06-02,0.5065129
2021-06-03,0.5019494
2021-06-04,0.49913067
2021-06-05,0.48815307
2021-06-06,0.4792878
2021-06-07,0.47032294
2021-06-08,0.45572603
2021-06-09,0.44778404
2021-06-10,0.44759944
2021-06-11,0.44077075
2021-06-12,0.43351516
2021-06-13,0.42060485
2021-06-14,0.412424
2021-06-15,0.39851215
2021-06-16,0.38125813
2021-06-17,0.3710487
2021-06-18,0.36045524
2021-06-19,0.35147694
2021-06-20,0.28213632
2021-06-21,0.27826265
2021-06-22,0.27568
2021-06-23,0.26887453
2021-06-24,0.26484096
2021-06-25,0.2586202
2021-06-26,0.25080487
2021-06-27,0.24477738
2021-06-28,0.23647308
2021-06-29,0.2358015
2021-06-30,0.32379267
2021-07-01,0.3237866
2021-07-02,0.3238074
2021-07-03,0.31996384
2021-07-04,0.32337496
2021-07-05,0.3216597
2021-07-06,0.31751084
2021-07-07,0.31549436
2021-07-08,0.31152645
2021-07-09,0.31165326
2021-07-10,0.37755057
2021-07-11,0.38464358
2021-07-12,0.39119303
2021-07-13,0.39381713
2021-07-14,0.39903957
2021-07-15,0.39839512
2021-07-16,0.39895514
2021-07-17,0.3949857
2021-07-18,0.3852344
2021-07-19,0.38493073
2021-07-20,0.39243305
2021-07-21,0.39098305
2021-07-22,0.3892392
2021-07-23,0.3842125
2021-07-24,0.38296852
2021-07-25,0.37503594
2021-07-26,0.36542517
2021-07-27,0.36352277
2021-07-28,0.3587415
2021-07-29,0.3520445
2021-07-30,0.4314235
2021-07-31,0.43362722
2021-08-01,0.434322
2021-08-02,0.43285882
2021-08-03,0.43098074
2021-08-04,0.42556664
2021-08-05,0.41867277
2021-08-06,0.41448018
2021-08-07,0.40505695
2021-08-08,0.40130767
2021-08-09,0.39901683
2021-08-10,0.39731172
2021-08-11,0.3953489
2021-08-12,0.38907552
2021-08-13,0.3862003
2021-08-14,0.3774228
2021-08-15,0.3685906
2021-08-16,0.3598174
2021-08-17,0.34845686
2021-08-18,0.3426056
2021-08-19,0.28073028
2021-08-20,0.2746476
2021-08-21,0.27045378
2021-08-22,0.26096922
2021-08-23,0.25724542
2021-08-24,0.24822293
2021-08-25,0.23993468
2021-08-26,0.23012696
2021-08-27,0.21833959
2021-08-28,0.21373807
2021-08-29,0.31524312
2021-08-30,0.31441146
2021-08-31,0.31392476
2021-09-01,0.30986947
2021-09-02,0.30908608
2021-09-03,0.30457735
2021-09-04,0.29701355
2021-09-05,0.292533
2021-09-06,0.28667182
2021-09-07,0.28450105
2021-09-08,0.29154915
2021-09-09,0.292701
2021-09-10,0.294499
2021-09-11,0.29200146
2021-09-12,0.29567897
2021-09-13,0.2954082
2021-09-14,0.29403695
2021-09-15,0.2899703
2021-09-16,0.28369293
2021-09-17,0.2829434
2021-09-18,0.30677146
2021-09-19,0.30631796
2021-09-20,0.30624685
2021-09-21,0.30052504
2021-09-22,0.29839104
2021-09-23,0.2915019
2021-09-24,0.2849201
2021-09-25,0.27725688
2021-09-26,0.2682906
2021-09-27,0.26456326
2021-09-28,0.39178982
2021-09-29,0.3933153
2021-09-30,0.39484167
