,0
2021-01-01,0.29159454
2021-01-02,0.2846526
2021-01-03,0.27941257
2021-01-04,0.26713973
2021-01-05,0.26170507
2021-01-06,0.25955573
2021-01-07,0.2598167
2021-01-08,0.26195416
2021-01-09,0.26543164
2021-01-10,0.26976788
2021-01-11,0.37634113
2021-01-12,0.3725018
2021-01-13,0.3712307
2021-01-14,0.37341955
2021-01-15,0.37797168
2021-01-16,0.3847834
2021-01-17,0.3920672
2021-01-18,0.38347352
2021-01-19,0.37999713
2021-01-20,0.37724382
2021-01-21,0.40569228
2021-01-22,0.40811604
2021-01-23,0.41688588
2021-01-24,0.43444833
2021-01-25,0.44872004
2021-01-26,0.46246928
2021-01-27,0.48031506
2021-01-28,0.5034292
2021-01-29,0.5317878
2021-01-30,0.564168
2021-01-31,0.62071276
2021-02-01,0.620559
2021-02-02,0.62848586
2021-02-03,0.6450408
2021-02-04,0.6704309
2021-02-05,0.7056236
2021-02-06,0.74591434
2021-02-07,0.7806103
2021-02-08,0.7793885
2021-02-09,0.79356897
2021-02-10,0.5968521
2021-02-11,0.6112058
2021-02-12,0.62809414
2021-02-13,0.64992297
2021-02-14,0.67683244
2021-02-15,0.68176687
2021-02-16,0.69453835
2021-02-17,0.70650035
2021-02-18,0.7140713
2021-02-19,0.7190588
2021-02-20,0.51332045
2021-02-21,0.50698894
2021-02-22,0.49096873
2021-02-23,0.47413376
2021-02-24,0.46216607
2021-02-25,0.45361334
2021-02-26,0.44773206
2021-02-27,0.44352663
2021-02-28,0.4398508
2021-03-01,0.4242408
2021-03-02,0.53059834
2021-03-03,0.5168989
2021-03-04,0.50249743
2021-03-05,0.49156433
2021-03-06,0.48511901
2021-03-07,0.48161086
2021-03-08,0.46892732
2021-03-09,0.45959488
2021-03-10,0.4533807
2021-03-11,0.44950518
2021-03-12,0.611217
2021-03-13,0.602999
2021-03-14,0.59199226
2021-03-15,0.57249075
2021-03-16,0.5540578
2021-03-17,0.5403669
2021-03-18,0.53006303
2021-03-19,0.52147174
2021-03-20,0.5139834
2021-03-21,0.5067991
2021-03-22,0.64809483
2021-03-23,0.63975596
2021-03-24,0.6237795
2021-03-25,0.6090025
2021-03-26,0.5986526
2021-03-27,0.5916148
2021-03-28,0.5853685
2021-03-29,0.57250786
2021-03-30,0.55458504
2021-03-31,0.5398381
2021-04-01,0.49863628
2021-04-02,0.4951603
2021-04-03,0.4921153
2021-04-04,0.49150056
2021-04-05,0.4882994
2021-04-06,0.48319015
2021-04-07,0.48089656
2021-04-08,0.48069647
2021-04-09,0.48142374
2021-04-10,0.48190144
2021-04-11,0.41159916
2021-04-12,0.40655816
2021-04-13,0.40185732
2021-04-14,0.3973551
2021-04-15,0.39237666
2021-04-16,0.38775513
2021-04-17,0.3841051
2021-04-18,0.38122624
2021-04-19,0.37540424
2021-04-20,0.37091917
2021-04-21,0.3980078
2021-04-22,0.3922012
2021-04-23,0.38796073
2021-04-24,0.38585198
2021-04-25,0.384672
2021-04-26,0.38308394
2021-04-27,0.38067567
2021-04-28,0.37915152
2021-04-29,0.37829065
2021-04-30,0.37795734
2021-05-01,0.38021982
2021-05-02,0.37997717
2021-05-03,0.3775983
2021-05-04,0.3798778
2021-05-05,0.38058418
2021-05-06,0.3809251
2021-05-07,0.3814605
2021-05-08,0.38207933
2021-05-09,0.38243735
2021-05-10,0.37818515
2021-05-11,0.36669943
2021-05-12,0.36724108
2021-05-13,0.36858416
2021-05-14,0.37091678
2021-05-15,0.3733892
2021-05-16,0.37624896
2021-05-17,0.3732169
2021-05-18,0.372434
2021-05-19,0.37182558
2021-05-20,0.37123442
2021-05-21,0.50070375
2021-05-22,0.49875715
2021-05-23,0.5010225
2021-05-24,0.50327367
2021-05-25,0.5024406
2021-05-26,0.5027071
2021-05-27,0.504899
2021-05-28,0.50962025
2021-05-29,0.51675993
2021-05-30,0.5256011
2021-05-31,0.47552714
2021-06-01,0.46303123
2021-06-02,0.46016613
2021-06-03,0.45699912
2021-06-04,0.45297125
2021-06-05,0.44835886
2021-06-06,0.4440493
2021-06-07,0.43450496
2021-06-08,0.42669713
2021-06-09,0.42166895
2021-06-10,0.42359686
2021-06-11,0.4199785
2021-06-12,0.4171758
2021-06-13,0.41419232
2021-06-14,0.40571082
2021-06-15,0.39804462
2021-06-16,0.39309558
2021-06-17,0.3911522
2021-06-18,0.39128983
2021-06-19,0.39218545
2021-06-20,0.26154786
2021-06-21,0.25182858
2021-06-22,0.24290045
2021-06-23,0.23715746
2021-06-24,0.23327103
2021-06-25,0.23069397
2021-06-26,0.22906213
2021-06-27,0.22816513
2021-06-28,0.22860104
2021-06-29,0.22648184
2021-06-30,0.29320818
2021-07-01,0.32590264
2021-07-02,0.33095977
2021-07-03,0.33552194
2021-07-04,0.33855355
2021-07-05,0.3338065
2021-07-06,0.33693594
2021-07-07,0.33980164
2021-07-08,0.34223133
2021-07-09,0.34388745
2021-07-10,0.3348895
2021-07-11,0.33739334
2021-07-12,0.33548337
2021-07-13,0.33703133
2021-07-14,0.33845782
2021-07-15,0.33933643
2021-07-16,0.33972532
2021-07-17,0.3395573
2021-07-18,0.3389833
2021-07-19,0.33613324
2021-07-20,0.3756339
2021-07-21,0.37024945
2021-07-22,0.3673457
2021-07-23,0.3665384
2021-07-24,0.36677402
2021-07-25,0.36803284
2021-07-26,0.3676257
2021-07-27,0.3657877
2021-07-28,0.36563766
2021-07-29,0.36668053
2021-07-30,0.41097215
2021-07-31,0.41638368
2021-08-01,0.4190558
2021-08-02,0.41614884
2021-08-03,0.4121063
2021-08-04,0.41043404
2021-08-05,0.41106176
2021-08-06,0.4136833
2021-08-07,0.41765326
2021-08-08,0.42190158
2021-08-09,0.36980897
2021-08-10,0.3665462
2021-08-11,0.36267304
2021-08-12,0.35770613
2021-08-13,0.3525003
2021-08-14,0.34793842
2021-08-15,0.34442404
2021-08-16,0.33739248
2021-08-17,0.3315432
2021-08-18,0.32648218
2021-08-19,0.27179864
2021-08-20,0.26661268
2021-08-21,0.26375288
2021-08-22,0.26119304
2021-08-23,0.25572008
2021-08-24,0.24764584
2021-08-25,0.23985967
2021-08-26,0.23280607
2021-08-27,0.22632857
2021-08-28,0.22045337
2021-08-29,0.29807058
2021-08-30,0.29595733
2021-08-31,0.29100895
2021-09-01,0.31136346
2021-09-02,0.32022253
2021-09-03,0.326183
2021-09-04,0.33060983
2021-09-05,0.3347314
2021-09-06,0.33278888
2021-09-07,0.33623156
2021-09-08,0.2841662
2021-09-09,0.29019642
2021-09-10,0.29513177
2021-09-11,0.29987034
2021-09-12,0.30421788
2021-09-13,0.30435675
2021-09-14,0.30467123
2021-09-15,0.30466434
2021-09-16,0.3033615
2021-09-17,0.30050692
2021-09-18,0.29724896
