,0
2021-01-01,0.3995057
2021-01-02,0.35306844
2021-01-03,0.39464992
2021-01-04,0.3610467
2021-01-05,0.3392455
2021-01-06,0.3487579
2021-01-07,0.35521805
2021-01-08,0.34456098
2021-01-09,0.34142554
2021-01-10,0.34785166
2021-01-11,0.34091145
2021-01-12,0.34270683
2021-01-13,0.3499783
2021-01-14,0.31235358
2021-01-15,0.344814
2021-01-16,0.3148862
2021-01-17,0.32576874
2021-01-18,0.3361203
2021-01-19,0.34342435
2021-01-20,0.34459037
2021-01-21,0.3556222
2021-01-22,0.32786712
2021-01-23,0.3574592
2021-01-24,0.35405707
2021-01-25,0.35236335
2021-01-26,0.35788614
2021-01-27,0.35544977
2021-01-28,0.36167842
2021-01-29,0.3869051
2021-01-30,0.39689854
2021-01-31,0.40663826
2021-02-01,0.4035784
2021-02-02,0.43090427
2021-02-03,0.42970425
2021-02-04,0.44593534
2021-02-05,0.45696625
2021-02-06,0.44643366
2021-02-07,0.45450637
2021-02-08,0.44441846
2021-02-09,0.44609767
2021-02-10,0.46929923
2021-02-11,0.48483068
2021-02-12,0.47776204
2021-02-13,0.48279065
2021-02-14,0.51897657
2021-02-15,0.5099014
2021-02-16,0.46838406
2021-02-17,0.5384875
2021-02-18,0.5637284
2021-02-19,0.52630335
2021-02-20,0.5248612
2021-02-21,0.517185
2021-02-22,0.5222647
2021-02-23,0.53330743
2021-02-24,0.5512946
2021-02-25,0.5558342
2021-02-26,0.54444945
2021-02-27,0.58214617
2021-02-28,0.5746675
2021-03-01,0.57238394
2021-03-02,0.55358124
2021-03-03,0.5408455
2021-03-04,0.54484
2021-03-05,0.5617677
2021-03-06,0.5628975
2021-03-07,0.5370648
2021-03-08,0.557248
2021-03-09,0.53088063
2021-03-10,0.55259675
2021-03-11,0.5664506
2021-03-12,0.5808996
2021-03-13,0.500364
2021-03-14,0.560017
2021-03-15,0.5613223
2021-03-16,0.5363228
2021-03-17,0.5915293
2021-03-18,0.58641756
2021-03-19,0.60298765
2021-03-20,0.5732463
2021-03-21,0.55754775
2021-03-22,0.57954186
2021-03-23,0.6123412
