,0
2021-01-01,0.29597655
2021-01-02,0.28529158
2021-01-03,0.27356857
2021-01-04,0.26646197
2021-01-05,0.25717747
2021-01-06,0.25029525
2021-01-07,0.24441536
2021-01-08,0.24238591
2021-01-09,0.24119256
2021-01-10,0.24384195
2021-01-11,0.24986608
2021-01-12,0.24453047
2021-01-13,0.24650773
2021-01-14,0.25012833
2021-01-15,0.25581706
2021-01-16,0.26133668
2021-01-17,0.26634476
2021-01-18,0.26866063
2021-01-19,0.2731032
2021-01-20,0.27370042
2021-01-21,0.27177596
2021-01-22,0.28714666
2021-01-23,0.41415244
2021-01-24,0.43569943
2021-01-25,0.44535965
2021-01-26,0.45991352
2021-01-27,0.4829253
2021-01-28,0.45701036
2021-01-29,0.4717058
2021-01-30,0.48397046
2021-01-31,0.5233046
2021-02-01,0.51232713
2021-02-02,0.5373247
2021-02-03,0.5543681
2021-02-04,0.5494043
2021-02-05,0.5532899
2021-02-06,0.537083
2021-02-07,0.5353188
2021-02-08,0.54208004
2021-02-09,0.57101464
2021-02-10,0.6055684
2021-02-11,0.60609746
2021-02-12,0.6086296
2021-02-13,0.61997855
2021-02-14,0.6271845
2021-02-15,0.6319962
2021-02-16,0.6467457
2021-02-17,0.66591096
2021-02-18,0.66152
2021-02-19,0.67170405
2021-02-20,0.68366075
2021-02-21,0.68186516
2021-02-22,0.6950463
2021-02-23,0.6965506
2021-02-24,0.72853506
2021-02-25,0.7061381
2021-02-26,0.7401169
2021-02-27,0.72581655
2021-02-28,0.71298075
2021-03-01,0.7417079
2021-03-02,0.7437389
2021-03-03,0.7405079
2021-03-04,0.7324401
2021-03-05,0.6963729
2021-03-06,0.73509824
2021-03-07,0.7479079
2021-03-08,0.6738821
2021-03-09,0.75692976
2021-03-10,0.73971456
2021-03-11,0.7380932
2021-03-12,0.7343368
2021-03-13,0.707601
2021-03-14,0.7536394
2021-03-15,0.7612172
2021-03-16,0.75279915
2021-03-17,0.75768435
2021-03-18,0.7880751
2021-03-19,0.7772505
2021-03-20,0.7841065
2021-03-21,0.79178476
2021-03-22,0.76560855
2021-03-23,0.8517137
2021-03-24,0.8063327
