,0
2021-01-01,0.34919125
2021-01-02,0.3455386
2021-01-03,0.34703752
2021-01-04,0.35323724
2021-01-05,0.35871854
2021-01-06,0.36946127
2021-01-07,0.39067563
2021-01-08,0.4527234
2021-01-09,0.5304048
2021-01-10,0.56724787
2021-01-11,0.5865163
2021-01-12,0.59777683
2021-01-13,0.62037367
2021-01-14,0.6277922
2021-01-15,0.61014265
2021-01-16,0.6024438
2021-01-17,0.5997241
2021-01-18,0.6007994
2021-01-19,0.60059565
2021-01-20,0.59853035
2021-01-21,0.63161784
2021-01-22,0.62542003
2021-01-23,0.61915874
2021-01-24,0.61529434
2021-01-25,0.61233807
2021-01-26,0.61800367
2021-01-27,0.6157228
2021-01-28,0.6961684
2021-01-29,0.7323727
2021-01-30,0.78447616
2021-01-31,0.8159204
2021-02-01,0.8326731
2021-02-02,0.85799545
2021-02-03,0.88471705
2021-02-04,0.88993275
2021-02-05,0.8903161
2021-02-06,0.86651736
2021-02-07,0.8494792
2021-02-08,0.83222663
2021-02-09,0.81488377
2021-02-10,0.78792393
2021-02-11,0.7660936
2021-02-12,0.7643644
2021-02-13,0.7581881
2021-02-14,0.7609796
2021-02-15,0.7577235
2021-02-16,0.7553996
2021-02-17,0.755025
2021-02-18,0.75434184
2021-02-19,0.72824347
2021-02-20,0.71709883
2021-02-21,0.7287311
2021-02-22,0.7482602
2021-02-23,0.76995724
2021-02-24,0.77393603
2021-02-25,0.78133935
2021-02-26,0.8255865
2021-02-27,0.83759004
2021-02-28,0.8413273
2021-03-01,0.8383993
2021-03-02,0.83470213
2021-03-03,0.7956927
2021-03-04,0.7889004
2021-03-05,0.82335347
2021-03-06,0.83620274
2021-03-07,0.83815664
2021-03-08,0.8282465
2021-03-09,0.82158417
2021-03-10,0.921586
2021-03-11,0.9576084
2021-03-12,0.97337955
2021-03-13,0.9729846
2021-03-14,0.96548307
2021-03-15,0.97587854
2021-03-16,0.97681195
2021-03-17,0.9829102
2021-03-18,0.9986191
2021-03-19,1.0426471
2021-03-20,1.0550427
2021-03-21,1.0438114
2021-03-22,1.0271411
2021-03-23,1.0096644
2021-03-24,1.0070115
2021-03-25,1.0163467
2021-03-26,0.9268874
2021-03-27,0.90096486
2021-03-28,0.88158876
2021-03-29,0.8667652
2021-03-30,0.8587519
2021-03-31,0.84502923
2021-04-01,0.8065864
2021-04-02,0.76183826
2021-04-03,0.7576591
2021-04-04,0.7689733
2021-04-05,0.78998315
2021-04-06,0.8046613
2021-04-07,0.8070057
2021-04-08,0.6971178
2021-04-09,0.6481659
2021-04-10,0.6214028
2021-04-11,0.62792677
2021-04-12,0.6417153
2021-04-13,0.6401759
2021-04-14,0.64021903
2021-04-15,0.6364123
2021-04-16,0.61653036
2021-04-17,0.5517329
2021-04-18,0.5317499
2021-04-19,0.5344724
2021-04-20,0.5506471
2021-04-21,0.57439744
2021-04-22,0.59238005
2021-04-23,0.5865642
2021-04-24,0.5810565
2021-04-25,0.57396346
2021-04-26,0.5735071
2021-04-27,0.57682467
2021-04-28,0.5738022
2021-04-29,0.5649088
2021-04-30,0.5476595
2021-05-01,0.53466827
2021-05-02,0.5097548
2021-05-03,0.48469892
2021-05-04,0.45570418
2021-05-05,0.4652828
2021-05-06,0.4773354
2021-05-07,0.46920976
2021-05-08,0.46758264
2021-05-09,0.47589934
2021-05-10,0.49407896
2021-05-11,0.51325744
2021-05-12,0.5225913
2021-05-13,0.6428579
2021-05-14,0.6934975
2021-05-15,0.72468984
2021-05-16,0.71658856
2021-05-17,0.6977884
2021-05-18,0.69647455
2021-05-19,0.6789515
2021-05-20,0.6654713
2021-05-21,0.66219956
2021-05-22,0.65176576
2021-05-23,0.6517822
2021-05-24,0.65185827
2021-05-25,0.652744
2021-05-26,0.6572593
2021-05-27,0.6637718
2021-05-28,0.67217445
2021-05-29,0.66964835
2021-05-30,0.67164576
2021-05-31,0.66875744
2021-06-01,0.6644642
2021-06-02,0.66273975
2021-06-03,0.65444237
2021-06-04,0.6658154
2021-06-05,0.67548573
2021-06-06,0.67600006
2021-06-07,0.67154044
2021-06-08,0.664094
2021-06-09,0.63486737
2021-06-10,0.61185247
2021-06-11,0.47367263
2021-06-12,0.41683495
2021-06-13,0.39821193
2021-06-14,0.38937613
2021-06-15,0.38341615
2021-06-16,0.37545153
2021-06-17,0.37052166
2021-06-18,0.36032894
2021-06-19,0.3413787
2021-06-20,0.33280152
2021-06-21,0.33717805
2021-06-22,0.33987507
2021-06-23,0.34241587
2021-06-24,0.3476826
2021-06-25,0.33979812
2021-06-26,0.3356589
2021-06-27,0.33783683
2021-06-28,0.3360526
2021-06-29,0.33917812
2021-06-30,0.34194922
2021-07-01,0.33780912
2021-07-02,0.3122297
2021-07-03,0.30396187
2021-07-04,0.30460483
2021-07-05,0.30689666
2021-07-06,0.31230414
2021-07-07,0.3144317
2021-07-08,0.30376005
2021-07-09,0.29587838
2021-07-10,0.29400864
2021-07-11,0.30282772
2021-07-12,0.3074036
2021-07-13,0.30810407
2021-07-14,0.33600482
2021-07-15,0.3446995
2021-07-16,0.3499594
2021-07-17,0.37300795
2021-07-18,0.3866121
2021-07-19,0.39824876
2021-07-20,0.40446064
2021-07-21,0.44878396
2021-07-22,0.4678611
2021-07-23,0.4644371
2021-07-24,0.46545187
2021-07-25,0.46495065
2021-07-26,0.46797937
2021-07-27,0.46894577
2021-07-28,0.48027912
2021-07-29,0.48902127
2021-07-30,0.50524515
2021-07-31,0.5564572
2021-08-01,0.5731844
2021-08-02,0.57110083
2021-08-03,0.56327707
2021-08-04,0.56211317
2021-08-05,0.5786868
2021-08-06,0.5893117
2021-08-07,0.58863264
2021-08-08,0.58679056
2021-08-09,0.5800221
2021-08-10,0.5756813
2021-08-11,0.55815244
2021-08-12,0.55430925
2021-08-13,0.5492224
2021-08-14,0.5314098
2021-08-15,0.5227618
2021-08-16,0.51206607
2021-08-17,0.50693
2021-08-18,0.53524286
2021-08-19,0.54136884
2021-08-20,0.5442816
2021-08-21,0.54520637
2021-08-22,0.5484911
2021-08-23,0.5570177
2021-08-24,0.5608915
2021-08-25,0.5552454
2021-08-26,0.5543199
2021-08-27,0.5474798
2021-08-28,0.5028034
2021-08-29,0.4905819
2021-08-30,0.48958877
2021-08-31,0.49577188
2021-09-01,0.49400502
2021-09-02,0.47766373
2021-09-03,0.46000555
2021-09-04,0.44983858
2021-09-05,0.44608873
2021-09-06,0.44762033
2021-09-07,0.45080355
2021-09-08,0.45377234
2021-09-09,0.45226184
2021-09-10,0.45056382
2021-09-11,0.4559961
2021-09-12,0.45548764
2021-09-13,0.45760792
2021-09-14,0.45593107
2021-09-15,0.45371556
2021-09-16,0.37054175
2021-09-17,0.33473092
2021-09-18,0.32302913
2021-09-19,0.35340455
2021-09-20,0.40336388
2021-09-21,0.44251084
2021-09-22,0.43489453
2021-09-23,0.44343305
2021-09-24,0.4566113
2021-09-25,0.45231232
2021-09-26,0.4455013
2021-09-27,0.43893263
2021-09-28,0.43900135
2021-09-29,0.484757
2021-09-30,0.5015525
2021-10-01,0.53671527
2021-10-02,0.55661845
2021-10-03,0.55632883
2021-10-04,0.56107193
2021-10-05,0.5595997
2021-10-06,0.56233716
2021-10-07,0.56336117
2021-10-08,0.58782077
2021-10-09,0.5957981
2021-10-10,0.5959532
2021-10-11,0.59613353
2021-10-12,0.59435433
2021-10-13,0.60233784
2021-10-14,0.6046982
2021-10-15,0.6036883
2021-10-16,0.63087314
