,0
2021-01-01,0.33614323
2021-01-02,0.33725858
2021-01-03,0.3431622
2021-01-04,0.34667134
2021-01-05,0.34764293
2021-01-06,0.36387563
2021-01-07,0.3815242
2021-01-08,0.47609848
2021-01-09,0.5092578
2021-01-10,0.5374427
2021-01-11,0.5609376
2021-01-12,0.5841768
2021-01-13,0.6153784
2021-01-14,0.60392463
2021-01-15,0.57427365
2021-01-16,0.57865095
2021-01-17,0.57970667
2021-01-18,0.5798621
2021-01-19,0.5804684
2021-01-20,0.5811117
2021-01-21,0.62848806
2021-01-22,0.60360396
2021-01-23,0.60432565
2021-01-24,0.60846704
2021-01-25,0.60838145
2021-01-26,0.6055748
2021-01-27,0.6072154
2021-01-28,0.7344358
2021-01-29,0.7137114
2021-01-30,0.78455865
2021-01-31,0.7965776
2021-02-01,0.82309866
2021-02-02,0.84565604
2021-02-03,0.8820771
2021-02-04,0.8582475
2021-02-05,0.85479325
2021-02-06,0.82540137
2021-02-07,0.8166497
2021-02-08,0.80597055
2021-02-09,0.79259574
2021-02-10,0.7635392
2021-02-11,0.75216
2021-02-12,0.75473565
2021-02-13,0.75344133
2021-02-14,0.75439984
2021-02-15,0.7487945
2021-02-16,0.7466603
2021-02-17,0.7477422
2021-02-18,0.7480382
2021-02-19,0.708709
2021-02-20,0.715103
2021-02-21,0.7339108
2021-02-22,0.7438421
2021-02-23,0.75782037
2021-02-24,0.7591062
2021-02-25,0.7733107
2021-02-26,0.816105
2021-02-27,0.8199549
2021-02-28,0.8195617
2021-03-01,0.8172712
2021-03-02,0.81391263
2021-03-03,0.7591322
2021-03-04,0.78056455
2021-03-05,0.8175489
2021-03-06,0.81317216
2021-03-07,0.8098055
2021-03-08,0.8060446
2021-03-09,0.8032719
2021-03-10,0.92566335
2021-03-11,0.9486453
2021-03-12,0.94805837
2021-03-13,0.9387913
2021-03-14,0.9417585
2021-03-15,0.9465014
2021-03-16,0.95194244
2021-03-17,0.9593204
2021-03-18,0.9750523
2021-03-19,1.0487202
2021-03-20,1.0258933
2021-03-21,1.0072469
2021-03-22,0.9964313
2021-03-23,0.98690057
2021-03-24,0.9918377
2021-03-25,1.0023414
2021-03-26,0.8853362
2021-03-27,0.90193576
2021-03-28,0.88535124
2021-03-29,0.861861
2021-03-30,0.8375885
2021-03-31,0.8351101
2021-04-01,0.79156387
2021-04-02,0.74197704
2021-04-03,0.7591209
2021-04-04,0.77506995
2021-04-05,0.7834258
2021-04-06,0.790933
2021-04-07,0.7928218
2021-04-08,0.63113075
2021-04-09,0.6398039
2021-04-10,0.63947845
2021-04-11,0.6445807
2021-04-12,0.6414696
2021-04-13,0.63698107
2021-04-14,0.63072693
2021-04-15,0.6259593
2021-04-16,0.6155787
2021-04-17,0.542394
