,0
2021-01-01,0.3976756
2021-01-02,0.38839036
2021-01-03,0.3721277
2021-01-04,0.37695044
2021-01-05,0.3814314
2021-01-06,0.36412194
2021-01-07,0.36373025
2021-01-08,0.37070823
2021-01-09,0.36598516
2021-01-10,0.35606933
2021-01-11,0.3693049
2021-01-12,0.3704501
2021-01-13,0.3739155
2021-01-14,0.36262742
2021-01-15,0.38444152
2021-01-16,0.37470013
2021-01-17,0.3761504
2021-01-18,0.38112924
2021-01-19,0.38671592
2021-01-20,0.38067883
2021-01-21,0.41298616
2021-01-22,0.37794408
2021-01-23,0.3435238
2021-01-24,0.34703743
2021-01-25,0.36439002
2021-01-26,0.3804562
2021-01-27,0.3578841
2021-01-28,0.3587179
2021-01-29,0.36334255
2021-01-30,0.34860656
2021-01-31,0.37764558
2021-02-01,0.35306594
2021-02-02,0.37266627
2021-02-03,0.3879411
2021-02-04,0.36868998
2021-02-05,0.36663496
2021-02-06,0.39164653
2021-02-07,0.40669796
2021-02-08,0.40044653
2021-02-09,0.40380713
2021-02-10,0.4044816
2021-02-11,0.40548947
2021-02-12,0.40202606
2021-02-13,0.41383868
2021-02-14,0.42155033
2021-02-15,0.41575885
2021-02-16,0.4053501
2021-02-17,0.414509
2021-02-18,0.4112513
2021-02-19,0.42942524
2021-02-20,0.42204478
2021-02-21,0.43825248
2021-02-22,0.43804514
2021-02-23,0.4550349
2021-02-24,0.44360572
2021-02-25,0.45376462
2021-02-26,0.4541337
2021-02-27,0.45438632
2021-02-28,0.46583274
2021-03-01,0.44513902
2021-03-02,0.4535863
2021-03-03,0.43765208
2021-03-04,0.45399323
2021-03-05,0.43050689
2021-03-06,0.45218998
2021-03-07,0.4437937
2021-03-08,0.43044767
2021-03-09,0.4147916
2021-03-10,0.45704278
2021-03-11,0.4356
2021-03-12,0.45393944
2021-03-13,0.45983246
2021-03-14,0.41415465
2021-03-15,0.43808606
2021-03-16,0.4660038
2021-03-17,0.45970017
2021-03-18,0.48471135
2021-03-19,0.45589602
2021-03-20,0.45134026
2021-03-21,0.45121947
2021-03-22,0.46929413
2021-03-23,0.43433556
2021-03-24,0.4567103
2021-03-25,0.44328222
2021-03-26,0.45229614
2021-03-27,0.47553694
2021-03-28,0.45212772
2021-03-29,0.44376045
2021-03-30,0.44940025
2021-03-31,0.45405874
2021-04-01,0.46930644
2021-04-02,0.4801615
2021-04-03,0.47371045
2021-04-04,0.482458
2021-04-05,0.5040135
2021-04-06,0.47459525
2021-04-07,0.47358978
2021-04-08,0.46392506
2021-04-09,0.4855958
2021-04-10,0.47643825
2021-04-11,0.45345923
2021-04-12,0.4334447
2021-04-13,0.46818122
2021-04-14,0.46505192
2021-04-15,0.450647
2021-04-16,0.46255004
2021-04-17,0.47807065
2021-04-18,0.43621203
2021-04-19,0.44579133
2021-04-20,0.46017534
2021-04-21,0.4271905
2021-04-22,0.44357467
2021-04-23,0.44690633
2021-04-24,0.43431777
2021-04-25,0.44452167
2021-04-26,0.42570382
2021-04-27,0.4207437
2021-04-28,0.4222942
2021-04-29,0.4269011
2021-04-30,0.4177581
2021-05-01,0.41843936
2021-05-02,0.41452682
2021-05-03,0.40323746
2021-05-04,0.39756432
2021-05-05,0.40372995
2021-05-06,0.39844406
2021-05-07,0.37274507
2021-05-08,0.38791916
2021-05-09,0.3781835
2021-05-10,0.39904174
2021-05-11,0.36341506
2021-05-12,0.38565773
2021-05-13,0.41352284
2021-05-14,0.388722
2021-05-15,0.38369742
2021-05-16,0.38586384
2021-05-17,0.39566344
2021-05-18,0.3807987
2021-05-19,0.38784105
2021-05-20,0.37482524
2021-05-21,0.36777896
2021-05-22,0.38008484
2021-05-23,0.3838625
2021-05-24,0.3912994
2021-05-25,0.3942551
2021-05-26,0.3745055
2021-05-27,0.37674314
2021-05-28,0.38753062
2021-05-29,0.4018636
2021-05-30,0.4023466
2021-05-31,0.38869664
2021-06-01,0.41137722
2021-06-02,0.38953334
2021-06-03,0.42104152
2021-06-04,0.41835934
2021-06-05,0.4145561
2021-06-06,0.41658753
2021-06-07,0.39543653
2021-06-08,0.4109887
2021-06-09,0.38327175
2021-06-10,0.41718686
2021-06-11,0.39611635
2021-06-12,0.4036395
2021-06-13,0.39378822
2021-06-14,0.39427647
2021-06-15,0.3722357
2021-06-16,0.37745994
2021-06-17,0.37935588
2021-06-18,0.36643833
2021-06-19,0.3497866
2021-06-20,0.3573454
2021-06-21,0.35318616
2021-06-22,0.34637624
2021-06-23,0.34201977
2021-06-24,0.34849617
2021-06-25,0.35999477
2021-06-26,0.36334392
2021-06-27,0.35555622
2021-06-28,0.34919333
2021-06-29,0.31866878
2021-06-30,0.35742483
2021-07-01,0.34668678
2021-07-02,0.36394322
2021-07-03,0.33127686
2021-07-04,0.341412
2021-07-05,0.33968785
2021-07-06,0.3546536
2021-07-07,0.32244408
2021-07-08,0.3521844
2021-07-09,0.35327828
2021-07-10,0.3470911
2021-07-11,0.36034977
2021-07-12,0.37052232
2021-07-13,0.35028663
2021-07-14,0.36855578
2021-07-15,0.35441077
2021-07-16,0.36852443
2021-07-17,0.37910587
2021-07-18,0.36972156
2021-07-19,0.36535922
2021-07-20,0.37495953
2021-07-21,0.36907274
2021-07-22,0.38012052
2021-07-23,0.35946912
2021-07-24,0.36809093
2021-07-25,0.35717267
2021-07-26,0.337607
2021-07-27,0.33519387
2021-07-28,0.3628671
2021-07-29,0.3390639
2021-07-30,0.34043542
2021-07-31,0.33806288
2021-08-01,0.32373685
2021-08-02,0.3346186
2021-08-03,0.33026734
2021-08-04,0.33549896
2021-08-05,0.30009824
2021-08-06,0.32379806
2021-08-07,0.30457082
2021-08-08,0.3113313
2021-08-09,0.2933299
2021-08-10,0.29444924
2021-08-11,0.29715833
2021-08-12,0.29074275
2021-08-13,0.30649784
2021-08-14,0.30143297
2021-08-15,0.29901388
2021-08-16,0.29287905
2021-08-17,0.29081586
2021-08-18,0.31150946
2021-08-19,0.29598913
2021-08-20,0.2855644
2021-08-21,0.30537793
2021-08-22,0.31816015
2021-08-23,0.32813203
2021-08-24,0.32005185
2021-08-25,0.33497444
2021-08-26,0.33220947
2021-08-27,0.3393448
2021-08-28,0.31770292
2021-08-29,0.34515664
2021-08-30,0.31986213
2021-08-31,0.3403574
2021-09-01,0.328502
2021-09-02,0.34834117
2021-09-03,0.3277725
2021-09-04,0.32668588
2021-09-05,0.34118992
2021-09-06,0.34475935
2021-09-07,0.34223983
2021-09-08,0.33455715
2021-09-09,0.34140366
2021-09-10,0.3465458
2021-09-11,0.33008495
2021-09-12,0.3369762
2021-09-13,0.35114983
2021-09-14,0.34160152
2021-09-15,0.3338517
