,0
2021-01-01,0.35554442
2021-01-02,0.35389096
2021-01-03,0.3630661
2021-01-04,0.37122118
2021-01-05,0.3779964
2021-01-06,0.37502015
2021-01-07,0.36914194
2021-01-08,0.35723716
2021-01-09,0.35699388
2021-01-10,0.35959238
2021-01-11,0.36535344
2021-01-12,0.3715919
2021-01-13,0.37423804
2021-01-14,0.3745614
2021-01-15,0.37542897
2021-01-16,0.37308732
2021-01-17,0.37129396
2021-01-18,0.36987716
2021-01-19,0.36969942
2021-01-20,0.3702617
2021-01-21,0.36975452
2021-01-22,0.3033989
2021-01-23,0.26896653
2021-01-24,0.2648017
2021-01-25,0.27807823
2021-01-26,0.2905755
2021-01-27,0.30730754
2021-01-28,0.3595257
2021-01-29,0.37493378
2021-01-30,0.4408111
2021-01-31,0.45354748
2021-02-01,0.45640287
2021-02-02,0.4499507
2021-02-03,0.43258953
2021-02-04,0.42725384
2021-02-05,0.42987478
2021-02-06,0.44378757
2021-02-07,0.45302278
2021-02-08,0.4559363
2021-02-09,0.4552435
2021-02-10,0.44419292
2021-02-11,0.43486723
2021-02-12,0.4373622
2021-02-13,0.43304706
2021-02-14,0.43459892
2021-02-15,0.42965126
2021-02-16,0.43030626
2021-02-17,0.4319302
2021-02-18,0.43186674
2021-02-19,0.43679807
2021-02-20,0.44956145
2021-02-21,0.45579848
2021-02-22,0.4592577
2021-02-23,0.45518968
2021-02-24,0.4395313
2021-02-25,0.42163426
2021-02-26,0.38871095
2021-02-27,0.41449574
2021-02-28,0.4165963
2021-03-01,0.40312573
2021-03-02,0.37737685
2021-03-03,0.3705301
2021-03-04,0.36745745
2021-03-05,0.3644699
2021-03-06,0.42958593
2021-03-07,0.45401317
2021-03-08,0.45985287
2021-03-09,0.44940978
2021-03-10,0.44127363
2021-03-11,0.4602949
2021-03-12,0.4661759
2021-03-13,0.4742864
2021-03-14,0.48003012
2021-03-15,0.48269948
2021-03-16,0.48269713
2021-03-17,0.4782619
2021-03-18,0.47679362
2021-03-19,0.47991425
2021-03-20,0.45892245
2021-03-21,0.4567215
2021-03-22,0.45286235
2021-03-23,0.45847568
2021-03-24,0.46224082
2021-03-25,0.4635461
2021-03-26,0.4643458
2021-03-27,0.46206072
2021-03-28,0.4686669
2021-03-29,0.4694393
2021-03-30,0.46712694
2021-03-31,0.4816929
2021-04-01,0.4834131
2021-04-02,0.48136148
2021-04-03,0.4699006
2021-04-04,0.45984915
2021-04-05,0.44567707
2021-04-06,0.42855045
2021-04-07,0.4230898
2021-04-08,0.42402545
2021-04-09,0.40370825
2021-04-10,0.395929
2021-04-11,0.39233765
2021-04-12,0.3908613
2021-04-13,0.38878435
2021-04-14,0.38934553
2021-04-15,0.39237943
2021-04-16,0.40275574
2021-04-17,0.40929237
2021-04-18,0.40742227
2021-04-19,0.40787274
2021-04-20,0.4087675
2021-04-21,0.4080817
2021-04-22,0.40925577
2021-04-23,0.41599253
2021-04-24,0.40421018
2021-04-25,0.39320382
2021-04-26,0.37697348
2021-04-27,0.36297747
2021-04-28,0.34231248
2021-04-29,0.314807
2021-04-30,0.32790798
2021-05-01,0.33280203
2021-05-02,0.32993266
2021-05-03,0.3208293
2021-05-04,0.31202778
2021-05-05,0.31206718
2021-05-06,0.31091914
2021-05-07,0.34103608
2021-05-08,0.35005602
2021-05-09,0.35724714
2021-05-10,0.3578313
2021-05-11,0.35724568
2021-05-12,0.36535785
2021-05-13,0.39413974
2021-05-14,0.423872
2021-05-15,0.4350232
2021-05-16,0.43403462
2021-05-17,0.43031526
2021-05-18,0.42651543
2021-05-19,0.4198276
2021-05-20,0.41740078
2021-05-21,0.4208465
2021-05-22,0.42591467
2021-05-23,0.4194368
2021-05-24,0.41014585
2021-05-25,0.40190056
2021-05-26,0.3995652
2021-05-27,0.3987665
2021-05-28,0.38539344
2021-05-29,0.384276
2021-05-30,0.3823105
2021-05-31,0.3802262
2021-06-01,0.37588257
2021-06-02,0.37234408
2021-06-03,0.3686895
2021-06-04,0.37282437
2021-06-05,0.35336393
2021-06-06,0.34446776
2021-06-07,0.3414026
2021-06-08,0.34325
2021-06-09,0.34437972
2021-06-10,0.3350294
2021-06-11,0.30959857
2021-06-12,0.25653315
2021-06-13,0.23953193
2021-06-14,0.23487043
2021-06-15,0.23351552
2021-06-16,0.23823473
2021-06-17,0.27914718
2021-06-18,0.29821524
2021-06-19,0.34755066
2021-06-20,0.3585971
2021-06-21,0.36408302
2021-06-22,0.36178643
2021-06-23,0.35599014
2021-06-24,0.36210153
2021-06-25,0.3627354
2021-06-26,0.3710468
2021-06-27,0.37255114
2021-06-28,0.37501106
2021-06-29,0.37456527
2021-06-30,0.37436602
2021-07-01,0.38186693
2021-07-02,0.38207847
2021-07-03,0.38010803
2021-07-04,0.37877527
2021-07-05,0.37517744
2021-07-06,0.37600076
2021-07-07,0.378036
2021-07-08,0.37173057
2021-07-09,0.37266362
2021-07-10,0.3681897
2021-07-11,0.3638473
2021-07-12,0.36535007
2021-07-13,0.3647664
2021-07-14,0.36355123
2021-07-15,0.37358624
2021-07-16,0.35166854
2021-07-17,0.33907542
2021-07-18,0.31766316
2021-07-19,0.2909365
2021-07-20,0.2610493
2021-07-21,0.24904752
2021-07-22,0.24761161
2021-07-23,0.24206433
2021-07-24,0.27118298
2021-07-25,0.27689257
2021-07-26,0.27674353
2021-07-27,0.26836357
2021-07-28,0.264007
2021-07-29,0.27700895
2021-07-30,0.27402148
2021-07-31,0.2696899
2021-08-01,0.27030754
2021-08-02,0.2722106
2021-08-03,0.27412614
2021-08-04,0.27455252
2021-08-05,0.3049925
2021-08-06,0.31987625
2021-08-07,0.31693792
2021-08-08,0.3130159
2021-08-09,0.30994278
2021-08-10,0.31189963
2021-08-11,0.3189244
2021-08-12,0.30947927
2021-08-13,0.3082936
2021-08-14,0.31627446
2021-08-15,0.32433078
2021-08-16,0.3278095
2021-08-17,0.32759288
2021-08-18,0.32871568
2021-08-19,0.3537322
2021-08-20,0.37259373
2021-08-21,0.35212457
2021-08-22,0.3453783
2021-08-23,0.3424293
2021-08-24,0.3427263
2021-08-25,0.35012633
2021-08-26,0.34001702
2021-08-27,0.3388852
2021-08-28,0.34080067
2021-08-29,0.34161505
2021-08-30,0.33894572
2021-08-31,0.3393718
