,0
2021-01-01,0.35388952
2021-01-02,0.36249718
2021-01-03,0.3684032
2021-01-04,0.375379
2021-01-05,0.3800995
2021-01-06,0.3651996
2021-01-07,0.36289796
2021-01-08,0.35734084
2021-01-09,0.35979226
2021-01-10,0.36416337
2021-01-11,0.36839378
2021-01-12,0.37236348
2021-01-13,0.37324178
2021-01-14,0.37011024
2021-01-15,0.37602925
2021-01-16,0.3770091
2021-01-17,0.3749833
2021-01-18,0.3741705
2021-01-19,0.37331596
2021-01-20,0.37316698
2021-01-21,0.37315038
2021-01-22,0.31317118
2021-01-23,0.28675643
2021-01-24,0.27310193
2021-01-25,0.28436208
2021-01-26,0.29439563
2021-01-27,0.3129074
2021-01-28,0.37310565
2021-01-29,0.3699011
2021-01-30,0.48467338
2021-01-31,0.44845223
2021-02-01,0.44699508
2021-02-02,0.44525224
2021-02-03,0.4268224
2021-02-04,0.42871535
2021-02-05,0.44028103
2021-02-06,0.4549987
2021-02-07,0.45132533
2021-02-08,0.45155704
2021-02-09,0.4527229
2021-02-10,0.43693697
2021-02-11,0.43691686
2021-02-12,0.44104296
2021-02-13,0.43607008
2021-02-14,0.43626973
2021-02-15,0.43615654
2021-02-16,0.4346388
2021-02-17,0.43393576
2021-02-18,0.43243814
2021-02-19,0.43275332
2021-02-20,0.4638561
2021-02-21,0.4595679
2021-02-22,0.45845065
2021-02-23,0.4570514
2021-02-24,0.4343868
2021-02-25,0.42018807
2021-02-26,0.3879125
2021-02-27,0.44374907
2021-02-28,0.4194364
2021-03-01,0.3906744
2021-03-02,0.3727693
2021-03-03,0.3700151
2021-03-04,0.3690401
2021-03-05,0.37236777
2021-03-06,0.46304765
2021-03-07,0.45398042
2021-03-08,0.44971365
2021-03-09,0.4442202
2021-03-10,0.44136286
2021-03-11,0.47814655
2021-03-12,0.47220027
2021-03-13,0.48151493
2021-03-14,0.47989017
2021-03-15,0.48095068
2021-03-16,0.48306248
2021-03-17,0.48214146
2021-03-18,0.48041618
2021-03-19,0.4840665
2021-03-20,0.45586482
2021-03-21,0.4587774
2021-03-22,0.46088007
2021-03-23,0.4615434
2021-03-24,0.46535742
2021-03-25,0.46843687
2021-03-26,0.46314377
2021-03-27,0.4719024
2021-03-28,0.47060615
2021-03-29,0.4705429
2021-03-30,0.469269
2021-03-31,0.49120712
2021-04-01,0.4850889
2021-04-02,0.48738185
2021-04-03,0.47044298
2021-04-04,0.4602951
2021-04-05,0.44599998
2021-04-06,0.42862412
2021-04-07,0.4309992
