,0
2021-01-01,1.8387892
2021-01-02,1.844951
2021-01-03,1.7894697
2021-01-04,1.7060192
2021-01-05,1.662749
2021-01-06,1.6169195
2021-01-07,1.568029
2021-01-08,1.5434484
2021-01-09,1.5189445
2021-01-10,1.4754857
2021-01-11,1.440689
2021-01-12,1.4280969
2021-01-13,1.3551823
2021-01-14,1.402395
2021-01-15,1.3572142
2021-01-16,1.3025173
2021-01-17,1.3377538
2021-01-18,1.2757732
2021-01-19,1.2413484
2021-01-20,1.2680582
2021-01-21,1.2219396
2021-01-22,1.2565933
2021-01-23,1.249768
2021-01-24,1.2248101
2021-01-25,1.1851441
2021-01-26,1.1788155
2021-01-27,1.2008278
2021-01-28,1.197288
2021-01-29,1.1737812
2021-01-30,1.183805
2021-01-31,1.1962694
2021-02-01,1.2008461
2021-02-02,1.1838975
2021-02-03,1.2225844
2021-02-04,1.1923603
2021-02-05,1.2199266
2021-02-06,1.2167224
2021-02-07,1.2151005
2021-02-08,1.2028707
2021-02-09,1.2251368
2021-02-10,1.2199636
2021-02-11,1.2467207
2021-02-12,1.2188765
2021-02-13,1.262429
2021-02-14,1.2614037
2021-02-15,1.2636701
2021-02-16,1.2508799
2021-02-17,1.2474258
2021-02-18,1.2580144
2021-02-19,1.2408351
2021-02-20,1.2787454
2021-02-21,1.2691365
2021-02-22,1.2873392
2021-02-23,1.2509815
2021-02-24,1.2267705
2021-02-25,1.2545644
2021-02-26,1.2345017
2021-02-27,1.2344012
2021-02-28,1.2340206
2021-03-01,1.2720392
2021-03-02,1.2771441
2021-03-03,1.2107553
2021-03-04,1.2745696
2021-03-05,1.2508807
2021-03-06,1.2201164
2021-03-07,1.2522317
2021-03-08,1.2584691
2021-03-09,1.2365204
2021-03-10,1.3017164
2021-03-11,1.2617025
2021-03-12,1.2392594
2021-03-13,1.2407405
2021-03-14,1.2152841
2021-03-15,1.2480488
2021-03-16,1.2640175
2021-03-17,1.2387086
2021-03-18,1.2544425
2021-03-19,1.252593
2021-03-20,1.2734978
2021-03-21,1.2413799
2021-03-22,1.2393085
2021-03-23,1.2757349
2021-03-24,1.2633039
2021-03-25,1.278129
2021-03-26,1.2531053
2021-03-27,1.2574232
2021-03-28,1.2298454
2021-03-29,1.255423
2021-03-30,1.196753
2021-03-31,1.1956542
2021-04-01,1.2414653
2021-04-02,1.2128038
2021-04-03,1.2240282
2021-04-04,1.1909223
2021-04-05,1.2111118
2021-04-06,1.1844245
2021-04-07,1.2195536
2021-04-08,1.1900566
2021-04-09,1.1991184
2021-04-10,1.1638166
2021-04-11,1.1621364
2021-04-12,1.149757
2021-04-13,1.1445256
2021-04-14,1.1352863
2021-04-15,1.1317424
2021-04-16,1.1249734
2021-04-17,1.1119661
2021-04-18,1.1220242
2021-04-19,1.1158342
2021-04-20,1.1017044
2021-04-21,1.0637523
2021-04-22,1.0566032
2021-04-23,1.0067743
2021-04-24,1.0198958
2021-04-25,1.0102963
2021-04-26,0.97683495
2021-04-27,0.983793
2021-04-28,0.98117256
2021-04-29,0.9603445
2021-04-30,0.95691544
2021-05-01,0.9427059
2021-05-02,0.9302719
2021-05-03,0.9200837
2021-05-04,0.93153274
2021-05-05,0.9312295
2021-05-06,0.9201955
2021-05-07,0.93385345
2021-05-08,0.89690816
2021-05-09,0.9126631
2021-05-10,0.90841395
2021-05-11,0.9078743
2021-05-12,0.91241163
2021-05-13,0.9129129
2021-05-14,0.9211949
2021-05-15,0.9162603
2021-05-16,0.900711
2021-05-17,0.9046399
2021-05-18,0.9287542
2021-05-19,0.95087135
2021-05-20,0.92266136
2021-05-21,0.95123446
2021-05-22,0.9627759
2021-05-23,0.9628206
2021-05-24,0.98296076
2021-05-25,1.0099257
2021-05-26,0.9960062
2021-05-27,0.9646946
2021-05-28,1.0010877
2021-05-29,1.0465163
2021-05-30,1.0020931
2021-05-31,1.0255189
2021-06-01,1.0442669
2021-06-02,1.0437185
2021-06-03,1.0471251
2021-06-04,1.0456146
2021-06-05,1.0294738
2021-06-06,1.0735365
2021-06-07,1.043739
2021-06-08,1.0547141
2021-06-09,1.0377033
2021-06-10,1.0458676
2021-06-11,1.0250416
2021-06-12,1.0500566
2021-06-13,1.0026429
2021-06-14,1.0255482
2021-06-15,1.0123447
2021-06-16,1.024876
2021-06-17,1.0034299
2021-06-18,0.9872172
2021-06-19,0.9678059
2021-06-20,0.9703352
2021-06-21,0.94314545
2021-06-22,0.9659982
2021-06-23,0.9426602
2021-06-24,0.9467052
2021-06-25,0.9425381
2021-06-26,0.95673364
2021-06-27,0.92428553
2021-06-28,0.92848176
2021-06-29,0.9608683
2021-06-30,0.9368826
2021-07-01,0.933134
2021-07-02,0.9400524
2021-07-03,0.91785026
2021-07-04,0.92555773
2021-07-05,0.93164474
2021-07-06,0.9241396
2021-07-07,0.94319326
2021-07-08,0.90952545
2021-07-09,0.93203986
2021-07-10,0.92676455
2021-07-11,0.95986485
2021-07-12,0.947728
2021-07-13,0.9421046
2021-07-14,0.9739658
2021-07-15,0.9623585
2021-07-16,0.9720282
2021-07-17,0.9793923
2021-07-18,0.9922196
2021-07-19,0.98986703
2021-07-20,1.0016813
2021-07-21,1.0374255
2021-07-22,1.0254985
2021-07-23,1.0354719
2021-07-24,1.0490125
2021-07-25,1.060706
2021-07-26,1.067162
2021-07-27,1.0256826
2021-07-28,1.0489348
2021-07-29,1.0512019
2021-07-30,1.0244426
2021-07-31,1.0724028
2021-08-01,1.0728552
2021-08-02,1.0385699
2021-08-03,1.0868548
2021-08-04,1.1000602
2021-08-05,1.0985314
2021-08-06,1.1021817
2021-08-07,1.1478794
2021-08-08,1.0779022
2021-08-09,1.1186666
2021-08-10,1.1158814
2021-08-11,1.0933411
2021-08-12,1.1198038
2021-08-13,1.0829107
2021-08-14,1.0553226
2021-08-15,1.0812807
2021-08-16,1.0781065
2021-08-17,1.1106371
2021-08-18,1.0731764
2021-08-19,1.0591583
2021-08-20,1.0384932
2021-08-21,1.0318996
2021-08-22,1.075668
2021-08-23,1.0307457
2021-08-24,1.038872
2021-08-25,1.0158279
2021-08-26,1.0282437
2021-08-27,0.9810491
2021-08-28,0.97645456
2021-08-29,0.9851794
2021-08-30,0.97757363
2021-08-31,0.9774578
2021-09-01,1.0122625
2021-09-02,0.966087
2021-09-03,0.98745054
2021-09-04,0.9618832
2021-09-05,0.9801633
2021-09-06,0.9712198
2021-09-07,0.9636031
2021-09-08,0.9492901
2021-09-09,0.9452512
2021-09-10,0.9339948
2021-09-11,0.9439533
2021-09-12,0.9254148
2021-09-13,0.934182
2021-09-14,0.9299851
2021-09-15,0.94142145
2021-09-16,0.96223235
2021-09-17,0.93758416
2021-09-18,0.9783958
2021-09-19,0.9508253
2021-09-20,0.956865
2021-09-21,0.99487376
2021-09-22,0.9889276
2021-09-23,0.9922007
2021-09-24,1.0014606
2021-09-25,1.0072718
2021-09-26,1.0231316
2021-09-27,1.0123292
2021-09-28,1.0326562
2021-09-29,1.0114167
2021-09-30,1.0428264
2021-10-01,1.0597879
2021-10-02,1.0571616
2021-10-03,1.0649636
2021-10-04,1.0638198
2021-10-05,1.064065
2021-10-06,1.0683877
2021-10-07,1.1127064
2021-10-08,1.1024209
2021-10-09,1.1428216
2021-10-10,1.1193151
2021-10-11,1.1380415
2021-10-12,1.1708536
2021-10-13,1.1953319
2021-10-14,1.1663274
2021-10-15,1.1781135
2021-10-16,1.1911358
2021-10-17,1.1708803
2021-10-18,1.1833813
2021-10-19,1.1762121
2021-10-20,1.1879994
2021-10-21,1.1722245
2021-10-22,1.1529357
2021-10-23,1.1368264
2021-10-24,1.1800364
2021-10-25,1.1324707
2021-10-26,1.0837067
2021-10-27,1.1095926
2021-10-28,1.0771356
2021-10-29,1.0956659
2021-10-30,1.0451741
2021-10-31,1.0364628
2021-11-01,1.0253761
2021-11-02,1.0128877
2021-11-03,0.989117
2021-11-04,0.98308945
2021-11-05,0.9711115
2021-11-06,0.93682235
2021-11-07,0.90780675
2021-11-08,0.8879384
2021-11-09,0.8885399
2021-11-10,0.86062604
2021-11-11,0.8280117
2021-11-12,0.8415301
2021-11-13,0.8167667
2021-11-14,0.7807067
2021-11-15,0.8076989
2021-11-16,0.75971866
2021-11-17,0.76106733
2021-11-18,0.7780877
2021-11-19,0.75418425
2021-11-20,0.7444431
2021-11-21,0.73324996
2021-11-22,0.72575307
2021-11-23,0.73119116
2021-11-24,0.73529273
2021-11-25,0.7457206
2021-11-26,0.7556251
2021-11-27,0.753348
2021-11-28,0.7684187
2021-11-29,0.781548
2021-11-30,0.77140343
2021-12-01,0.7921699
2021-12-02,0.7877893
2021-12-03,0.8193452
2021-12-04,0.8200167
2021-12-05,0.8428712
2021-12-06,0.84132737
2021-12-07,0.8781382
2021-12-08,0.8839738
2021-12-09,0.8682268
2021-12-10,0.9178196
2021-12-11,0.9232581
2021-12-12,0.96678436
2021-12-13,0.925014
2021-12-14,0.9946559
2021-12-15,0.98736274
2021-12-16,0.98294485
2021-12-17,1.0216701
2021-12-18,1.0383245
2021-12-19,1.0638593
2021-12-20,1.0409526
2021-12-21,1.0624188
2021-12-22,1.0397348
2021-12-23,1.0703504
2021-12-24,1.1063925
2021-12-25,1.0740957
2021-12-26,1.0613021
2021-12-27,1.0523772
2021-12-28,1.0949173
