,0
2021-01-01,1.1919528
2021-01-02,1.1946061
2021-01-03,1.1844952
2021-01-04,1.1949077
2021-01-05,1.230031
2021-01-06,1.1599046
2021-01-07,1.1350255
2021-01-08,1.1341178
2021-01-09,1.1452355
2021-01-10,1.1380641
2021-01-11,1.1280919
2021-01-12,1.1121819
2021-01-13,1.1472716
2021-01-14,1.1001747
2021-01-15,1.113888
2021-01-16,1.1962786
2021-01-17,1.2350309
2021-01-18,1.2496667
2021-01-19,1.2646958
2021-01-20,1.2745314
2021-01-21,1.2518473
2021-01-22,1.2446373
2021-01-23,1.2321533
2021-01-24,1.229702
2021-01-25,1.2224833
2021-01-26,1.2176248
2021-01-27,1.2309753
2021-01-28,1.2457132
2021-01-29,1.2555765
2021-01-30,1.2920327
2021-01-31,1.3091301
2021-02-01,1.3142202
2021-02-02,1.3164926
2021-02-03,1.315839
2021-02-04,1.3032202
2021-02-05,1.2721393
2021-02-06,1.2551497
2021-02-07,1.2697628
2021-02-08,1.3015288
2021-02-09,1.3330363
2021-02-10,1.344913
2021-02-11,1.3108586
2021-02-12,1.2960821
2021-02-13,1.2649741
2021-02-14,1.2463624
2021-02-15,1.2292724
2021-02-16,1.2170384
2021-02-17,1.2011503
2021-02-18,1.1857578
2021-02-19,1.209523
2021-02-20,1.1747605
2021-02-21,1.1796304
2021-02-22,1.1983093
2021-02-23,1.2260923
2021-02-24,1.2394708
2021-02-25,1.2775183
2021-02-26,1.2956654
2021-02-27,1.3250299
2021-02-28,1.3300191
2021-03-01,1.3217067
2021-03-02,1.310294
2021-03-03,1.3032984
2021-03-04,1.305914
2021-03-05,1.2508386
2021-03-06,1.2852151
2021-03-07,1.2962399
2021-03-08,1.302492
2021-03-09,1.3034384
2021-03-10,1.2495637
2021-03-11,1.2510456
2021-03-12,1.2302469
2021-03-13,1.2155689
2021-03-14,1.2086439
2021-03-15,1.2137243
2021-03-16,1.208313
2021-03-17,1.2159973
2021-03-18,1.2126466
2021-03-19,1.2887821
2021-03-20,1.2995106
2021-03-21,1.2855523
2021-03-22,1.2678148
2021-03-23,1.2539698
2021-03-24,1.2403356
2021-03-25,1.2041017
2021-03-26,1.1808324
2021-03-27,1.1817834
2021-03-28,1.1732221
2021-03-29,1.1568592
2021-03-30,1.1431941
2021-03-31,1.145887
2021-04-01,1.1435276
2021-04-02,1.1371286
2021-04-03,1.1260127
2021-04-04,1.121478
2021-04-05,1.1062106
2021-04-06,1.0946324
2021-04-07,1.0861064
2021-04-08,1.0718917
2021-04-09,1.0452236
2021-04-10,1.0313942
2021-04-11,1.0291768
2021-04-12,1.0321137
2021-04-13,1.0327185
2021-04-14,1.027294
2021-04-15,1.0153164
2021-04-16,1.0174466
2021-04-17,0.89513016
2021-04-18,0.8506631
2021-04-19,0.8365909
2021-04-20,0.83780307
2021-04-21,0.85764027
2021-04-22,0.86976707
2021-04-23,0.8422046
2021-04-24,0.83238786
2021-04-25,0.8153741
2021-04-26,0.79652697
2021-04-27,0.7807529
2021-04-28,0.7774645
2021-04-29,0.8469217
2021-04-30,0.8786725
2021-05-01,0.8948255
2021-05-02,0.90011
2021-05-03,0.9061037
2021-05-04,0.90804607
2021-05-05,0.9075449
2021-05-06,0.9725089
2021-05-07,0.978062
2021-05-08,0.9932891
2021-05-09,0.9984606
2021-05-10,1.0036067
2021-05-11,1.001307
2021-05-12,1.0401632
2021-05-13,1.0102326
2021-05-14,1.0149162
2021-05-15,1.0593091
2021-05-16,1.0743495
2021-05-17,1.0874741
2021-05-18,1.1027011
2021-05-19,1.1077768
2021-05-20,1.13284
2021-05-21,1.1254793
2021-05-22,1.1187793
2021-05-23,1.1189173
2021-05-24,1.1197498
2021-05-25,1.1136352
2021-05-26,1.123576
2021-05-27,1.0772749
2021-05-28,1.0555415
2021-05-29,1.0068516
2021-05-30,1.0027369
2021-05-31,1.009584
2021-06-01,1.0284945
2021-06-02,1.038311
2021-06-03,1.0630336
2021-06-04,1.0206457
2021-06-05,1.0048746
2021-06-06,0.99123013
2021-06-07,0.98273903
2021-06-08,0.969194
2021-06-09,0.97751987
2021-06-10,0.941182
2021-06-11,0.91863173
2021-06-12,0.9041665
2021-06-13,0.88461375
2021-06-14,0.8583831
2021-06-15,0.83431876
2021-06-16,0.8092014
2021-06-17,0.7621128
2021-06-18,0.791846
2021-06-19,0.86430335
2021-06-20,0.91432774
2021-06-21,0.9521773
2021-06-22,0.9850785
2021-06-23,0.99779207
2021-06-24,0.9652805
