,0
2021-01-01,1.1470239
2021-01-02,1.2000713
2021-01-03,1.192491
2021-01-04,1.2060422
2021-01-05,1.183867
2021-01-06,1.1187043
2021-01-07,1.1354878
2021-01-08,1.1462586
2021-01-09,1.1566126
2021-01-10,1.1333222
2021-01-11,1.1284885
2021-01-12,1.1061628
2021-01-13,1.1793108
2021-01-14,1.0929251
2021-01-15,1.1333011
2021-01-16,1.2421669
2021-01-17,1.2364299
2021-01-18,1.2544588
2021-01-19,1.2589982
2021-01-20,1.2641035
2021-01-21,1.2408875
2021-01-22,1.248413
2021-01-23,1.2273896
2021-01-24,1.2173684
2021-01-25,1.2154012
2021-01-26,1.209021
2021-01-27,1.2906307
2021-01-28,1.241288
2021-01-29,1.2449018
2021-01-30,1.3017085
2021-01-31,1.2964349
2021-02-01,1.2989876
2021-02-02,1.2988477
2021-02-03,1.3065823
2021-02-04,1.2948292
2021-02-05,1.2409724
2021-02-06,1.2330859
2021-02-07,1.2731277
2021-02-08,1.3076838
2021-02-09,1.3401363
2021-02-10,1.3323898
2021-02-11,1.2791604
2021-02-12,1.2867659
2021-02-13,1.2399436
2021-02-14,1.2387769
2021-02-15,1.2246333
2021-02-16,1.2059253
2021-02-17,1.1890988
2021-02-18,1.1769834
2021-02-19,1.2189982
2021-02-20,1.1556013
2021-02-21,1.1791168
2021-02-22,1.2074897
2021-02-23,1.232444
2021-02-24,1.2434667
2021-02-25,1.2947552
2021-02-26,1.3021297
2021-02-27,1.324899
2021-02-28,1.3143891
2021-03-01,1.305938
2021-03-02,1.2982979
2021-03-03,1.2973394
2021-03-04,1.3042439
2021-03-05,1.2261543
2021-03-06,1.3056271
2021-03-07,1.3005872
2021-03-08,1.3013192
2021-03-09,1.303744
2021-03-10,1.2176745
2021-03-11,1.2492156
2021-03-12,1.2220469
2021-03-13,1.2083721
2021-03-14,1.2034386
2021-03-15,1.2023821
2021-03-16,1.1987282
2021-03-17,1.2157487
2021-03-18,1.2034253
2021-03-19,1.3104225
2021-03-20,1.2893298
2021-03-21,1.2701716
2021-03-22,1.2592473
2021-03-23,1.2443871
2021-03-24,1.2389799
2021-03-25,1.1962446
2021-03-26,1.1728489
2021-03-27,1.1765189
2021-03-28,1.166111
2021-03-29,1.1536677
2021-03-30,1.1396575
2021-03-31,1.1408958
2021-04-01,1.1291702
2021-04-02,1.1392016
2021-04-03,1.1224707
2021-04-04,1.1125808
2021-04-05,1.0990441
2021-04-06,1.0830868
2021-04-07,1.0827104
2021-04-08,1.0578163
2021-04-09,1.029689
2021-04-10,1.0297425
2021-04-11,1.0318356
2021-04-12,1.0326838
2021-04-13,1.0291828
2021-04-14,1.0200125
2021-04-15,1.0135396
2021-04-16,1.0189857
2021-04-17,0.87982893
2021-04-18,0.862269
2021-04-19,0.85923177
2021-04-20,0.8532146
2021-04-21,0.8792868
2021-04-22,0.86884385
2021-04-23,0.82006085
2021-04-24,0.8309567
2021-04-25,0.811935
2021-04-26,0.79293317
2021-04-27,0.76650757
2021-04-28,0.76855487
2021-04-29,0.8996333
2021-04-30,0.8871992
2021-05-01,0.887769
2021-05-02,0.8901626
2021-05-03,0.9012776
2021-05-04,0.908281
2021-05-05,0.909858
2021-05-06,0.9975081
2021-05-07,0.9751223
2021-05-08,0.99625045
2021-05-09,0.9924758
2021-05-10,0.99492526
2021-05-11,0.9977201
2021-05-12,1.0458429
2021-05-13,0.99259466
2021-05-14,0.99685615
2021-05-15,1.0648546
2021-05-16,1.0746615
2021-05-17,1.0899851
2021-05-18,1.1004031
2021-05-19,1.0910808
2021-05-20,1.1219087
2021-05-21,1.1106842
2021-05-22,1.1058773
2021-05-23,1.1070912
2021-05-24,1.1106402
2021-05-25,1.113522
2021-05-26,1.1290752
2021-05-27,1.0423052
2021-05-28,1.0434855
2021-05-29,0.9899563
2021-05-30,1.0042775
2021-05-31,1.0213733
2021-06-01,1.0355633
2021-06-02,1.0480355
2021-06-03,1.0716746
2021-06-04,0.99219126
2021-06-05,0.99182403
2021-06-06,0.9826027
2021-06-07,0.9728129
2021-06-08,0.9619474
2021-06-09,0.9704982
2021-06-10,0.92278004
2021-06-11,0.9151812
2021-06-12,0.9073477
2021-06-13,0.8840851
2021-06-14,0.8567183
2021-06-15,0.8323188
2021-06-16,0.81395435
2021-06-17,0.77102023
2021-06-18,0.82410336
2021-06-19,0.9287586
2021-06-20,0.933254
