,0
2021-01-01,0.77511024
2021-01-02,0.73270845
2021-01-03,0.70615906
2021-01-04,0.7206362
2021-01-05,0.6727295
2021-01-06,0.6621943
2021-01-07,0.6330327
2021-01-08,0.62982047
2021-01-09,0.6326289
2021-01-10,0.64156157
2021-01-11,0.62235886
2021-01-12,0.6337898
2021-01-13,0.6383503
2021-01-14,0.64291596
2021-01-15,0.61100304
2021-01-16,0.62902933
2021-01-17,0.630125
2021-01-18,0.65017354
2021-01-19,0.63113314
2021-01-20,0.62231797
2021-01-21,0.6135042
2021-01-22,0.63557863
2021-01-23,0.6334221
2021-01-24,0.6726336
2021-01-25,0.6552557
2021-01-26,0.6451408
2021-01-27,0.6571652
2021-01-28,0.6735759
2021-01-29,0.64855146
2021-01-30,0.6891961
2021-01-31,0.708714
2021-02-01,0.6986455
2021-02-02,0.7308666
2021-02-03,0.7555567
2021-02-04,0.76448005
2021-02-05,0.77806014
2021-02-06,0.74082816
2021-02-07,0.76044625
2021-02-08,0.7489234
2021-02-09,0.7660642
2021-02-10,0.74820465
2021-02-11,0.76594406
2021-02-12,0.76986885
2021-02-13,0.7623514
2021-02-14,0.7719208
2021-02-15,0.7543699
2021-02-16,0.76180613
2021-02-17,0.77677345
2021-02-18,0.7990835
2021-02-19,0.78421926
2021-02-20,0.7901077
2021-02-21,0.78676206
2021-02-22,0.79219365
2021-02-23,0.8002943
2021-02-24,0.7712475
2021-02-25,0.80177283
2021-02-26,0.8063652
2021-02-27,0.7611689
2021-02-28,0.79698163
2021-03-01,0.78653497
2021-03-02,0.7919743
2021-03-03,0.801965
2021-03-04,0.7623123
2021-03-05,0.77614176
2021-03-06,0.760789
2021-03-07,0.7566449
2021-03-08,0.75687784
2021-03-09,0.755973
2021-03-10,0.7780002
2021-03-11,0.74927527
2021-03-12,0.7824443
2021-03-13,0.76748663
2021-03-14,0.7960177
2021-03-15,0.7687353
2021-03-16,0.7686042
2021-03-17,0.77938783
2021-03-18,0.7702829
2021-03-19,0.7827601
2021-03-20,0.76293397
2021-03-21,0.774796
2021-03-22,0.8023417
2021-03-23,0.77080506
2021-03-24,0.8034407
2021-03-25,0.767519
2021-03-26,0.7717715
2021-03-27,0.77586365
2021-03-28,0.7813103
2021-03-29,0.7622767
2021-03-30,0.77879107
2021-03-31,0.74987465
2021-04-01,0.78472304
2021-04-02,0.755018
2021-04-03,0.72715354
2021-04-04,0.7178381
2021-04-05,0.7476261
2021-04-06,0.74832
2021-04-07,0.73518825
2021-04-08,0.7252173
2021-04-09,0.7219015
2021-04-10,0.70409936
2021-04-11,0.704329
2021-04-12,0.69613767
2021-04-13,0.6972492
2021-04-14,0.7034955
2021-04-15,0.6413791
2021-04-16,0.66229224
2021-04-17,0.6583206
2021-04-18,0.65541434
2021-04-19,0.6445024
2021-04-20,0.6320381
2021-04-21,0.6239473
2021-04-22,0.6019424
2021-04-23,0.5983435
2021-04-24,0.59443605
2021-04-25,0.59954375
2021-04-26,0.5945721
2021-04-27,0.60577464
2021-04-28,0.5657017
2021-04-29,0.5764816
2021-04-30,0.5703563
2021-05-01,0.5532966
2021-05-02,0.56265986
2021-05-03,0.54505455
2021-05-04,0.54007834
2021-05-05,0.5294682
2021-05-06,0.5253359
2021-05-07,0.5560424
2021-05-08,0.51359063
2021-05-09,0.5437574
