,0
2021-01-01,0.48291337
2021-01-02,0.47516757
2021-01-03,0.49274504
2021-01-04,0.5049479
2021-01-05,0.5310909
2021-01-06,0.51729935
2021-01-07,0.66672087
2021-01-08,0.7632747
2021-01-09,0.79362386
2021-01-10,0.79029804
2021-01-11,0.7755326
2021-01-12,0.7712428
2021-01-13,0.77780175
2021-01-14,0.7553795
2021-01-15,0.7257171
2021-01-16,0.73647183
2021-01-17,0.74177444
2021-01-18,0.73936385
2021-01-19,0.7422333
2021-01-20,0.74864167
2021-01-21,0.74538386
2021-01-22,0.74102163
2021-01-23,0.7356993
2021-01-24,0.72846687
2021-01-25,0.7191985
2021-01-26,0.720548
2021-01-27,0.7099547
2021-01-28,0.7786834
2021-01-29,0.83897275
2021-01-30,0.8820332
2021-01-31,0.901151
2021-02-01,0.89398617
2021-02-02,0.8924264
2021-02-03,0.90763265
2021-02-04,0.917987
2021-02-05,0.8315581
2021-02-06,0.76930636
2021-02-07,0.7512123
2021-02-08,0.7556534
2021-02-09,0.7715974
2021-02-10,0.7741765
2021-02-11,0.76736176
2021-02-12,0.76635
2021-02-13,0.7719786
2021-02-14,0.7748055
2021-02-15,0.7773801
2021-02-16,0.7835254
2021-02-17,0.78025717
2021-02-18,0.78015953
2021-02-19,0.7796804
2021-02-20,0.783982
2021-02-21,0.78935534
2021-02-22,0.79079276
2021-02-23,0.79064894
2021-02-24,0.7817936
2021-02-25,0.8102816
2021-02-26,0.7798242
2021-02-27,0.76505256
2021-02-28,0.77507806
2021-03-01,0.79167724
2021-03-02,0.8170068
2021-03-03,0.8138224
2021-03-04,0.774177
2021-03-05,0.76273465
2021-03-06,0.74582607
2021-03-07,0.74795413
2021-03-08,0.7542734
2021-03-09,0.7625752
2021-03-10,0.7596453
2021-03-11,0.78865254
2021-03-12,0.7988536
2021-03-13,0.8114528
2021-03-14,0.8131628
2021-03-15,0.811084
2021-03-16,0.80788356
2021-03-17,0.7895263
2021-03-18,0.78590417
2021-03-19,0.7850597
2021-03-20,0.78234893
2021-03-21,0.7912242
2021-03-22,0.79450125
2021-03-23,0.80455667
2021-03-24,0.8219685
2021-03-25,0.8018347
2021-03-26,0.7870734
2021-03-27,0.7678898
2021-03-28,0.7371516
2021-03-29,0.7043063
2021-03-30,0.66912085
2021-03-31,0.6599178
2021-04-01,0.6620941
2021-04-02,0.66643643
2021-04-03,0.66211593
2021-04-04,0.6546133
2021-04-05,0.64490205
2021-04-06,0.63862
2021-04-07,0.6190804
2021-04-08,0.606632
2021-04-09,0.5649289
2021-04-10,0.55346256
2021-04-11,0.550055
2021-04-12,0.5495888
2021-04-13,0.5471444
