,0
2021-01-01,0.47485104
2021-01-02,0.48818663
2021-01-03,0.49793828
2021-01-04,0.5030738
2021-01-05,0.5054667
2021-01-06,0.4873575
2021-01-07,0.7419479
2021-01-08,0.7722491
2021-01-09,0.7623594
2021-01-10,0.75638497
2021-01-11,0.75512904
2021-01-12,0.75335115
2021-01-13,0.7519818
2021-01-14,0.7355508
2021-01-15,0.7034805
2021-01-16,0.73318285
2021-01-17,0.7346607
2021-01-18,0.73591113
2021-01-19,0.7351908
2021-01-20,0.7347916
2021-01-21,0.7278498
2021-01-22,0.7328557
2021-01-23,0.7280654
2021-01-24,0.7194882
2021-01-25,0.7116493
2021-01-26,0.69984716
2021-01-27,0.7094957
2021-01-28,0.8175035
2021-01-29,0.85229176
2021-01-30,0.8876337
2021-01-31,0.879074
2021-02-01,0.88043785
2021-02-02,0.87568533
2021-02-03,0.9176417
2021-02-04,0.91610634
2021-02-05,0.7856909
2021-02-06,0.7454538
2021-02-07,0.75980717
2021-02-08,0.76668596
2021-02-09,0.7696599
2021-02-10,0.7685259
2021-02-11,0.75662684
2021-02-12,0.7606821
2021-02-13,0.7713844
2021-02-14,0.77126575
2021-02-15,0.771921
2021-02-16,0.7697514
2021-02-17,0.7708524
2021-02-18,0.77350944
2021-02-19,0.77604103
2021-02-20,0.7794537
2021-02-21,0.78117424
2021-02-22,0.7826293
2021-02-23,0.781541
2021-02-24,0.7802298
2021-02-25,0.81715596
2021-02-26,0.75351125
2021-02-27,0.75901175
2021-02-28,0.78094393
2021-03-01,0.7971288
2021-03-02,0.8140537
2021-03-03,0.7944082
2021-03-04,0.7437646
2021-03-05,0.7540614
2021-03-06,0.7393112
2021-03-07,0.7470779
2021-03-08,0.753971
2021-03-09,0.7592057
2021-03-10,0.7498914
2021-03-11,0.7952379
2021-03-12,0.7976363
2021-03-13,0.80661994
2021-03-14,0.80240154
2021-03-15,0.79933304
2021-03-16,0.7964019
2021-03-17,0.77465683
2021-03-18,0.77873397
2021-03-19,0.77832365
2021-03-20,0.77823603
2021-03-21,0.7865879
2021-03-22,0.7950968
2021-03-23,0.803408
2021-03-24,0.82128155
2021-03-25,0.7805715
2021-03-26,0.771841
2021-03-27,0.75914574
2021-03-28,0.718776
2021-03-29,0.68619156
2021-03-30,0.65788895
2021-03-31,0.6605682
2021-04-01,0.66623354
2021-04-02,0.668134
2021-04-03,0.6589145
2021-04-04,0.64987445
2021-04-05,0.63975227
2021-04-06,0.6306635
2021-04-07,0.61041605
2021-04-08,0.60334784
2021-04-09,0.5495274
2021-04-10,0.5605474
2021-04-11,0.56154716
2021-04-12,0.5545771
2021-04-13,0.54805547
2021-04-14,0.55525327
2021-04-15,0.5432442
2021-04-16,0.5372939
2021-04-17,0.54291064
2021-04-18,0.5376967
2021-04-19,0.529968
2021-04-20,0.5220349
2021-04-21,0.5314973
2021-04-22,0.53071034
2021-04-23,0.54982096
2021-04-24,0.5601983
2021-04-25,0.54760486
2021-04-26,0.53561383
2021-04-27,0.5220833
2021-04-28,0.5195995
2021-04-29,0.5146237
2021-04-30,0.55932677
2021-05-01,0.5416055
2021-05-02,0.540111
2021-05-03,0.5385758
2021-05-04,0.53558695
2021-05-05,0.5462138
2021-05-06,0.5523821
2021-05-07,0.5915741
2021-05-08,0.5788598
2021-05-09,0.5762668
2021-05-10,0.57530594
2021-05-11,0.5744579
2021-05-12,0.6135518
2021-05-13,0.6197636
2021-05-14,0.6535904
2021-05-15,0.6747253
2021-05-16,0.6708009
2021-05-17,0.670627
2021-05-18,0.67014414
2021-05-19,0.6497189
2021-05-20,0.6315581
2021-05-21,0.6148559
2021-05-22,0.5767497
2021-05-23,0.5811412
2021-05-24,0.58319086
2021-05-25,0.5818878
2021-05-26,0.58880365
2021-05-27,0.5872938
2021-05-28,0.5587519
2021-05-29,0.5498834
2021-05-30,0.55152416
2021-05-31,0.55159897
2021-06-01,0.5511005
2021-06-02,0.5511708
2021-06-03,0.5425387
2021-06-04,0.53369147
2021-06-05,0.5011537
2021-06-06,0.504372
2021-06-07,0.5062103
2021-06-08,0.5062137
2021-06-09,0.50650615
2021-06-10,0.4673118
2021-06-11,0.47417197
2021-06-12,0.4400525
2021-06-13,0.43422472
2021-06-14,0.42583334
2021-06-15,0.41695827
2021-06-16,0.41643417
2021-06-17,0.37720728
2021-06-18,0.5319489
2021-06-19,0.62528545
2021-06-20,0.63506603
2021-06-21,0.6439013
2021-06-22,0.65258116
2021-06-23,0.64558524
2021-06-24,0.62932646
2021-06-25,0.64680487
2021-06-26,0.64771044
2021-06-27,0.6486349
2021-06-28,0.6517143
2021-06-29,0.65371877
2021-06-30,0.6501657
2021-07-01,0.65377444
2021-07-02,0.65685546
2021-07-03,0.6560383
2021-07-04,0.66195756
2021-07-05,0.67012864
2021-07-06,0.67668295
2021-07-07,0.68328035
2021-07-08,0.6825962
2021-07-09,0.720655
2021-07-10,0.80064493
2021-07-11,0.7982546
2021-07-12,0.79875815
2021-07-13,0.7997229
2021-07-14,0.8000327
2021-07-15,0.80045295
2021-07-16,0.80010396
2021-07-17,0.72772187
2021-07-18,0.72966194
2021-07-19,0.7386272
2021-07-20,0.74675643
2021-07-21,0.773919
2021-07-22,0.80551785
2021-07-23,0.8164095
2021-07-24,0.7983813
2021-07-25,0.79367
2021-07-26,0.79063344
2021-07-27,0.7862427
2021-07-28,0.7799383
2021-07-29,0.7784395
2021-07-30,0.79022497
2021-07-31,0.7905334
2021-08-01,0.7900433
2021-08-02,0.7886191
2021-08-03,0.78779465
2021-08-04,0.77221996
2021-08-05,0.78284186
2021-08-06,0.7549126
2021-08-07,0.7029759
2021-08-08,0.7037704
2021-08-09,0.7050803
2021-08-10,0.70325965
2021-08-11,0.7027687
2021-08-12,0.7162596
2021-08-13,0.7153206
2021-08-14,0.69909155
2021-08-15,0.66490686
2021-08-16,0.6334346
2021-08-17,0.6032779
2021-08-18,0.5311044
2021-08-19,0.50350696
2021-08-20,0.49951577
2021-08-21,0.50711143
2021-08-22,0.5083604
2021-08-23,0.5053638
2021-08-24,0.5035217
2021-08-25,0.5083668
2021-08-26,0.53162986
2021-08-27,0.5147654
2021-08-28,0.5374118
2021-08-29,0.54972845
2021-08-30,0.55988294
2021-08-31,0.5658294
2021-09-01,0.5443941
2021-09-02,0.53751165
2021-09-03,0.51418716
2021-09-04,0.4526487
2021-09-05,0.4562654
2021-09-06,0.4591305
2021-09-07,0.4594408
2021-09-08,0.46106842
2021-09-09,0.44192335
2021-09-10,0.41982424
2021-09-11,0.4333814
2021-09-12,0.44012272
2021-09-13,0.443921
2021-09-14,0.4470484
2021-09-15,0.4817148
2021-09-16,0.486322
2021-09-17,0.4579737
2021-09-18,0.45363
2021-09-19,0.49888197
2021-09-20,0.5401199
2021-09-21,0.58122355
2021-09-22,0.5666867
2021-09-23,0.601581
2021-09-24,0.6658318
2021-09-25,0.6529101
2021-09-26,0.6490896
2021-09-27,0.6495297
2021-09-28,0.6501721
2021-09-29,0.6599567
2021-09-30,0.6586764
2021-10-01,0.689768
2021-10-02,0.716446
2021-10-03,0.7150847
2021-10-04,0.71727794
2021-10-05,0.7190391
2021-10-06,0.7582407
2021-10-07,0.75650764
2021-10-08,0.7573852
2021-10-09,0.75290895
2021-10-10,0.75141
2021-10-11,0.75248826
2021-10-12,0.75159097
2021-10-13,0.7320695
2021-10-14,0.7236403
2021-10-15,0.75422895
2021-10-16,0.7772093
2021-10-17,0.7480328
2021-10-18,0.7169573
2021-10-19,0.6813936
2021-10-20,0.7021113
2021-10-21,0.6722974
2021-10-22,0.58873284
2021-10-23,0.61685896
2021-10-24,0.6152837
2021-10-25,0.60656226
2021-10-26,0.59890467
2021-10-27,0.56120354
2021-10-28,0.60053235
2021-10-29,0.5887122
2021-10-30,0.55197597
2021-10-31,0.550629
2021-11-01,0.5503805
