,0
2021-01-01,0.5400113
2021-01-02,0.51939493
2021-01-03,0.51485807
2021-01-04,0.5060197
2021-01-05,0.5031495
2021-01-06,0.48098075
2021-01-07,0.47578692
2021-01-08,0.48725787
2021-01-09,0.4704832
2021-01-10,0.4596882
2021-01-11,0.46148273
2021-01-12,0.45920464
2021-01-13,0.48467246
2021-01-14,0.47564167
2021-01-15,0.4641086
2021-01-16,0.48234758
2021-01-17,0.4749622
2021-01-18,0.478306
2021-01-19,0.47851062
2021-01-20,0.48176533
2021-01-21,0.4969226
2021-01-22,0.48680085
2021-01-23,0.49351415
2021-01-24,0.4888233
2021-01-25,0.4954639
2021-01-26,0.506442
2021-01-27,0.5087127
2021-01-28,0.5205566
2021-01-29,0.53638333
2021-01-30,0.5419992
2021-01-31,0.5594084
2021-02-01,0.5500584
2021-02-02,0.57288045
2021-02-03,0.5813685
2021-02-04,0.5816706
2021-02-05,0.57263166
2021-02-06,0.5900114
2021-02-07,0.5825964
2021-02-08,0.59246194
2021-02-09,0.59570557
2021-02-10,0.6027805
2021-02-11,0.6136977
2021-02-12,0.597527
2021-02-13,0.5828517
2021-02-14,0.60730356
2021-02-15,0.609604
2021-02-16,0.616211
2021-02-17,0.60038686
2021-02-18,0.60387594
2021-02-19,0.61711776
2021-02-20,0.61483663
2021-02-21,0.6037569
2021-02-22,0.6039441
2021-02-23,0.6199128
2021-02-24,0.61356235
2021-02-25,0.6083425
2021-02-26,0.63572884
2021-02-27,0.6120968
2021-02-28,0.62292767
2021-03-01,0.61040115
2021-03-02,0.62226135
2021-03-03,0.60454756
2021-03-04,0.6046563
2021-03-05,0.61231655
2021-03-06,0.6201645
2021-03-07,0.6296109
2021-03-08,0.6116402
2021-03-09,0.61657494
2021-03-10,0.60786074
2021-03-11,0.61058146
2021-03-12,0.61161363
2021-03-13,0.6280679
2021-03-14,0.6281927
2021-03-15,0.62141716
2021-03-16,0.64373344
2021-03-17,0.6234141
2021-03-18,0.62750685
2021-03-19,0.6551964
2021-03-20,0.67717916
2021-03-21,0.65089136
2021-03-22,0.6576573
2021-03-23,0.6486154
2021-03-24,0.64933634
2021-03-25,0.66488266
2021-03-26,0.65190387
2021-03-27,0.6766486
2021-03-28,0.68967146
2021-03-29,0.69947034
2021-03-30,0.6703779
2021-03-31,0.69085616
2021-04-01,0.67855024
2021-04-02,0.69774276
2021-04-03,0.67754394
2021-04-04,0.6817717
2021-04-05,0.6837776
2021-04-06,0.6700082
2021-04-07,0.6653598
2021-04-08,0.6762798
2021-04-09,0.6597154
2021-04-10,0.67323875
2021-04-11,0.64705324
2021-04-12,0.6469815
2021-04-13,0.6232329
2021-04-14,0.63268447
2021-04-15,0.6276795
2021-04-16,0.630308
2021-04-17,0.6002322
2021-04-18,0.6204404
2021-04-19,0.5925417
2021-04-20,0.5796306
2021-04-21,0.57267547
2021-04-22,0.56113833
2021-04-23,0.5700623
2021-04-24,0.54988295
2021-04-25,0.53606045
2021-04-26,0.5201722
2021-04-27,0.51961446
2021-04-28,0.49742496
2021-04-29,0.49464276
2021-04-30,0.48203346
2021-05-01,0.48772407
2021-05-02,0.48023507
2021-05-03,0.45455098
2021-05-04,0.46092385
2021-05-05,0.44969368
2021-05-06,0.43916753
2021-05-07,0.4514175
2021-05-08,0.42417386
2021-05-09,0.43792972
2021-05-10,0.43157232
2021-05-11,0.419869
2021-05-12,0.4271603
2021-05-13,0.41667575
2021-05-14,0.42498958
2021-05-15,0.4153771
2021-05-16,0.42535976
2021-05-17,0.43778956
2021-05-18,0.4284453
2021-05-19,0.44532725
2021-05-20,0.45579013
2021-05-21,0.4551085
2021-05-22,0.4443268
2021-05-23,0.45548818
2021-05-24,0.47000763
2021-05-25,0.4453663
2021-05-26,0.47596264
2021-05-27,0.498905
2021-05-28,0.494398
2021-05-29,0.49652272
2021-05-30,0.50372905
2021-05-31,0.528328
2021-06-01,0.5200288
2021-06-02,0.5136654
2021-06-03,0.5295196
2021-06-04,0.53246325
2021-06-05,0.5522098
2021-06-06,0.5359713
2021-06-07,0.54594713
2021-06-08,0.5663526
2021-06-09,0.5717954
2021-06-10,0.57315606
2021-06-11,0.5711684
2021-06-12,0.5712358
2021-06-13,0.56201833
2021-06-14,0.5491267
2021-06-15,0.5313012
2021-06-16,0.5318083
2021-06-17,0.52739996
2021-06-18,0.5248455
2021-06-19,0.49639332
2021-06-20,0.50903696
2021-06-21,0.51010716
2021-06-22,0.4956597
2021-06-23,0.5002258
2021-06-24,0.48348677
2021-06-25,0.47029305
2021-06-26,0.4796544
2021-06-27,0.4669925
2021-06-28,0.4594003
2021-06-29,0.45750335
2021-06-30,0.44305512
2021-07-01,0.45286685
2021-07-02,0.4461246
2021-07-03,0.44101658
2021-07-04,0.43454197
2021-07-05,0.439976
2021-07-06,0.44155234
2021-07-07,0.4293788
2021-07-08,0.42873877
2021-07-09,0.4343237
2021-07-10,0.43314213
2021-07-11,0.42730096
2021-07-12,0.43594256
2021-07-13,0.42756554
2021-07-14,0.43039045
2021-07-15,0.4606157
2021-07-16,0.45139113
2021-07-17,0.46381336
