,0
2021-01-01,0.3890948
2021-01-02,0.41155082
2021-01-03,0.4364337
2021-01-04,0.4706384
2021-01-05,0.5043662
2021-01-06,0.5087919
2021-01-07,0.5612147
2021-01-08,0.5813039
2021-01-09,0.5846378
2021-01-10,0.5765217
2021-01-11,0.5713424
2021-01-12,0.56729996
2021-01-13,0.57307047
2021-01-14,0.5584793
2021-01-15,0.5374408
2021-01-16,0.54394376
2021-01-17,0.54618806
2021-01-18,0.54826087
2021-01-19,0.5475731
2021-01-20,0.55213577
2021-01-21,0.5521623
2021-01-22,0.5472524
2021-01-23,0.5443744
2021-01-24,0.5453167
2021-01-25,0.5472846
2021-01-26,0.54674643
2021-01-27,0.55711794
2021-01-28,0.6026478
2021-01-29,0.6340587
2021-01-30,0.67862177
2021-01-31,0.69510424
2021-02-01,0.6987254
2021-02-02,0.7006325
2021-02-03,0.6852135
2021-02-04,0.66675717
2021-02-05,0.62706673
2021-02-06,0.61244935
2021-02-07,0.6131449
2021-02-08,0.61649424
2021-02-09,0.6178458
2021-02-10,0.62061197
2021-02-11,0.6116837
2021-02-12,0.601287
2021-02-13,0.59877664
2021-02-14,0.5998433
2021-02-15,0.5957166
2021-02-16,0.58853394
2021-02-17,0.5850093
2021-02-18,0.5821735
2021-02-19,0.5824749
2021-02-20,0.60126424
2021-02-21,0.60777783
2021-02-22,0.6077793
2021-02-23,0.60390586
2021-02-24,0.59664845
2021-02-25,0.6191871
2021-02-26,0.6252177
2021-02-27,0.61601514
2021-02-28,0.62097985
2021-03-01,0.6272727
2021-03-02,0.63663834
2021-03-03,0.63105965
2021-03-04,0.5804412
2021-03-05,0.59171486
2021-03-06,0.6385519
2021-03-07,0.66020626
2021-03-08,0.6639679
2021-03-09,0.6633376
2021-03-10,0.66102076
2021-03-11,0.6787538
2021-03-12,0.6844211
2021-03-13,0.70094985
2021-03-14,0.7068881
2021-03-15,0.7069908
2021-03-16,0.70559
2021-03-17,0.7219936
2021-03-18,0.73965484
2021-03-19,0.73837495
2021-03-20,0.7175655
2021-03-21,0.713479
2021-03-22,0.7127968
2021-03-23,0.7130421
2021-03-24,0.7354851
2021-03-25,0.7173922
2021-03-26,0.7096213
2021-03-27,0.7185974
2021-03-28,0.7010279
2021-03-29,0.6760113
2021-03-30,0.65093505
2021-03-31,0.6481703
2021-04-01,0.6486406
2021-04-02,0.61692077
2021-04-03,0.59972495
2021-04-04,0.58923084
2021-04-05,0.57640225
2021-04-06,0.5654166
2021-04-07,0.5489995
2021-04-08,0.5461527
2021-04-09,0.52406365
2021-04-10,0.52532846
2021-04-11,0.5263002
2021-04-12,0.5185632
2021-04-13,0.5104974
2021-04-14,0.50199705
2021-04-15,0.47472167
2021-04-16,0.4557104
2021-04-17,0.4505966
2021-04-18,0.44777086
2021-04-19,0.44588444
2021-04-20,0.44312125
2021-04-21,0.4615161
2021-04-22,0.4519427
2021-04-23,0.44023874
2021-04-24,0.4186796
2021-04-25,0.40329963
2021-04-26,0.3827494
2021-04-27,0.3610848
2021-04-28,0.3667453
2021-04-29,0.37140024
2021-04-30,0.37975538
2021-05-01,0.38647258
2021-05-02,0.38640228
2021-05-03,0.3827677
2021-05-04,0.38089052
2021-05-05,0.38100675
2021-05-06,0.37993637
2021-05-07,0.38606226
2021-05-08,0.39028063
2021-05-09,0.39275208
2021-05-10,0.39014447
2021-05-11,0.39086643
2021-05-12,0.4213661
2021-05-13,0.51044816
2021-05-14,0.57450515
2021-05-15,0.6074123
2021-05-16,0.61100507
2021-05-17,0.6062941
2021-05-18,0.60495335
2021-05-19,0.6145395
2021-05-20,0.60348815
2021-05-21,0.59473485
2021-05-22,0.58183247
2021-05-23,0.57653177
2021-05-24,0.5748661
2021-05-25,0.57363385
2021-05-26,0.56616396
2021-05-27,0.56430125
2021-05-28,0.5794097
2021-05-29,0.5806258
2021-05-30,0.57839376
2021-05-31,0.5734225
2021-06-01,0.57039064
2021-06-02,0.56916404
2021-06-03,0.56873417
2021-06-04,0.56448084
2021-06-05,0.5597863
2021-06-06,0.55545247
2021-06-07,0.5514798
2021-06-08,0.5451466
2021-06-09,0.5382413
2021-06-10,0.5241171
2021-06-11,0.4539768
2021-06-12,0.38220775
2021-06-13,0.35559785
2021-06-14,0.34657946
2021-06-15,0.33857155
2021-06-16,0.337976
2021-06-17,0.31898183
2021-06-18,0.34885177
2021-06-19,0.38660508
2021-06-20,0.41279933
2021-06-21,0.43649313
2021-06-22,0.45849502
2021-06-23,0.4600927
2021-06-24,0.45600602
2021-06-25,0.46133772
2021-06-26,0.44022483
2021-06-27,0.43237826
2021-06-28,0.4315371
2021-06-29,0.43408552
2021-06-30,0.43192208
2021-07-01,0.43727523
2021-07-02,0.44195026
2021-07-03,0.4473032
2021-07-04,0.45081538
2021-07-05,0.45239818
2021-07-06,0.45507902
2021-07-07,0.45897678
2021-07-08,0.47897
2021-07-09,0.49989724
2021-07-10,0.52661866
2021-07-11,0.5289545
2021-07-12,0.5286267
2021-07-13,0.5256761
2021-07-14,0.53203285
2021-07-15,0.5312889
2021-07-16,0.5142708
2021-07-17,0.49064308
2021-07-18,0.4957682
2021-07-19,0.51170087
2021-07-20,0.5291668
2021-07-21,0.5806449
2021-07-22,0.60587233
2021-07-23,0.613179
2021-07-24,0.6062857
2021-07-25,0.6004316
2021-07-26,0.60041106
2021-07-27,0.60094064
2021-07-28,0.59974045
2021-07-29,0.5993108
2021-07-30,0.59933335
2021-07-31,0.5941133
2021-08-01,0.59104353
2021-08-02,0.591845
2021-08-03,0.59583366
2021-08-04,0.6025875
2021-08-05,0.61329037
2021-08-06,0.596426
2021-08-07,0.56707376
2021-08-08,0.5620018
2021-08-09,0.5619994
2021-08-10,0.5650091
2021-08-11,0.5670085
2021-08-12,0.58537525
2021-08-13,0.5917277
2021-08-14,0.5835558
2021-08-15,0.56010383
2021-08-16,0.53666127
2021-08-17,0.5127555
2021-08-18,0.42223644
2021-08-19,0.40178534
2021-08-20,0.40860102
2021-08-21,0.41553473
2021-08-22,0.41934562
2021-08-23,0.42206013
2021-08-24,0.42642027
2021-08-25,0.42919877
2021-08-26,0.43295023
2021-08-27,0.42919323
2021-08-28,0.4358434
2021-08-29,0.43689695
2021-08-30,0.43621746
2021-08-31,0.4288056
2021-09-01,0.40694013
2021-09-02,0.37122637
2021-09-03,0.37854633
2021-09-04,0.38452348
2021-09-05,0.39568603
2021-09-06,0.41236585
2021-09-07,0.4233881
2021-09-08,0.43711522
2021-09-09,0.43027228
2021-09-10,0.40757686
2021-09-11,0.4018507
2021-09-12,0.4038434
2021-09-13,0.40792638
2021-09-14,0.41097397
2021-09-15,0.42919323
2021-09-16,0.42767727
2021-09-17,0.416689
2021-09-18,0.42204845
2021-09-19,0.43378773
2021-09-20,0.44947147
2021-09-21,0.46364808
2021-09-22,0.45937434
2021-09-23,0.46336412
2021-09-24,0.49158674
2021-09-25,0.49718696
2021-09-26,0.49594566
2021-09-27,0.49112618
2021-09-28,0.49059358
2021-09-29,0.5076071
2021-09-30,0.5075233
2021-10-01,0.55254126
2021-10-02,0.578816
2021-10-03,0.5819644
2021-10-04,0.57774496
2021-10-05,0.5763218
2021-10-06,0.5592996
2021-10-07,0.5556914
2021-10-08,0.5561777
2021-10-09,0.5558666
2021-10-10,0.5572721
2021-10-11,0.55724233
2021-10-12,0.5586452
2021-10-13,0.5416777
2021-10-14,0.52805984
2021-10-15,0.55527246
2021-10-16,0.56395525
2021-10-17,0.5564821
2021-10-18,0.5438365
2021-10-19,0.53313684
2021-10-20,0.53196687
2021-10-21,0.5280896
2021-10-22,0.50075585
2021-10-23,0.49364513
2021-10-24,0.49199602
2021-10-25,0.49418214
2021-10-26,0.49330458
2021-10-27,0.47796345
2021-10-28,0.4921584
2021-10-29,0.4609196
2021-10-30,0.428985
2021-10-31,0.41710493
2021-11-01,0.4179694
2021-11-02,0.42098257
2021-11-03,0.40326285
2021-11-04,0.3925208
2021-11-05,0.3883893
2021-11-06,0.40038663
2021-11-07,0.40281525
2021-11-08,0.40243828
2021-11-09,0.40042874
2021-11-10,0.4021616
2021-11-11,0.4001892
2021-11-12,0.3452557
2021-11-13,0.3251653
2021-11-14,0.32232714
2021-11-15,0.32645738
2021-11-16,0.32617646
2021-11-17,0.3204116
2021-11-18,0.31893697
2021-11-19,0.31826702
2021-11-20,0.31753743
2021-11-21,0.32176396
2021-11-22,0.32422355
2021-11-23,0.32393184
2021-11-24,0.318579
2021-11-25,0.2872003
2021-11-26,0.336959
2021-11-27,0.40538383
2021-11-28,0.42622492
2021-11-29,0.42581385
2021-11-30,0.4214915
2021-12-01,0.50990534
2021-12-02,0.5601719
2021-12-03,0.65506613
2021-12-04,0.6824764
2021-12-05,0.69107205
2021-12-06,0.6914804
2021-12-07,0.69483507
2021-12-08,0.7023197
2021-12-09,0.709828
2021-12-10,0.706142
2021-12-11,0.6968151
2021-12-12,0.69543964
2021-12-13,0.6924939
2021-12-14,0.69755995
2021-12-15,0.69921297
2021-12-16,0.7126661
2021-12-17,0.7122799
2021-12-18,0.73725486
2021-12-19,0.7518036
2021-12-20,0.76465726
2021-12-21,0.7832223
2021-12-22,0.816766
2021-12-23,0.8222474
2021-12-24,0.824344
2021-12-25,0.81413376
2021-12-26,0.8016888
