,0
2021-01-01,0.38669732
2021-01-02,0.41480583
2021-01-03,0.4465188
2021-01-04,0.47400853
2021-01-05,0.492159
2021-01-06,0.4859307
2021-01-07,0.56389296
2021-01-08,0.56839186
2021-01-09,0.565653
2021-01-10,0.5611022
2021-01-11,0.55832565
2021-01-12,0.5550826
2021-01-13,0.5682028
2021-01-14,0.55575943
2021-01-15,0.52612925
2021-01-16,0.5487115
2021-01-17,0.54748607
2021-01-18,0.5463675
2021-01-19,0.544237
2021-01-20,0.5425275
2021-01-21,0.54964626
2021-01-22,0.5418571
2021-01-23,0.54450524
2021-01-24,0.54690975
2021-01-25,0.5497684
2021-01-26,0.54596347
2021-01-27,0.5634706
2021-01-28,0.61812025
2021-01-29,0.6421768
2021-01-30,0.7053393
2021-01-31,0.6971221
2021-02-01,0.70498586
2021-02-02,0.7005918
2021-02-03,0.6789269
2021-02-04,0.66595125
2021-02-05,0.6050362
2021-02-06,0.6099933
2021-02-07,0.6154488
2021-02-08,0.6186909
2021-02-09,0.62001747
2021-02-10,0.6221172
2021-02-11,0.6091639
2021-02-12,0.6018407
2021-02-13,0.6080263
2021-02-14,0.6051883
2021-02-15,0.6010258
2021-02-16,0.5919141
2021-02-17,0.58390945
2021-02-18,0.5827313
2021-02-19,0.5828214
2021-02-20,0.61356777
2021-02-21,0.61340314
2021-02-22,0.6133605
2021-02-23,0.6102099
2021-02-24,0.60287315
2021-02-25,0.63938546
2021-02-26,0.63384765
2021-02-27,0.62249494
2021-02-28,0.62931263
2021-03-01,0.63295704
2021-03-02,0.6381276
2021-03-03,0.6259723
2021-03-04,0.57136697
2021-03-05,0.6038474
2021-03-06,0.66084874
2021-03-07,0.66717577
2021-03-08,0.66734546
2021-03-09,0.6688396
2021-03-10,0.66182363
2021-03-11,0.6906452
2021-03-12,0.6874808
2021-03-13,0.7125956
2021-03-14,0.7067448
2021-03-15,0.7056774
2021-03-16,0.7066171
2021-03-17,0.7329317
2021-03-18,0.7476692
2021-03-19,0.74081635
2021-03-20,0.7160653
2021-03-21,0.7156138
2021-03-22,0.71715474
2021-03-23,0.71842235
2021-03-24,0.7502168
2021-03-25,0.71888703
2021-03-26,0.7030984
2021-03-27,0.72919965
2021-03-28,0.6995929
2021-03-29,0.6784495
2021-03-30,0.6469394
2021-03-31,0.6485177
2021-04-01,0.6491563
2021-04-02,0.6161341
2021-04-03,0.6046868
2021-04-04,0.5956185
2021-04-05,0.5852714
2021-04-06,0.5726184
2021-04-07,0.5586136
2021-04-08,0.55754876
2021-04-09,0.528784
2021-04-10,0.53783435
2021-04-11,0.5353828
2021-04-12,0.52485245
2021-04-13,0.5152613
2021-04-14,0.50890505
2021-04-15,0.47712567
2021-04-16,0.45865923
2021-04-17,0.46103537
2021-04-18,0.46052873
2021-04-19,0.4572109
2021-04-20,0.45234382
2021-04-21,0.4711261
2021-04-22,0.4512722
2021-04-23,0.44527787
2021-04-24,0.42489004
2021-04-25,0.40590644
2021-04-26,0.3829071
2021-04-27,0.36395654
2021-04-28,0.37723964
2021-04-29,0.37911803
2021-04-30,0.3869683
2021-05-01,0.39581636
2021-05-02,0.3887271
2021-05-03,0.38384402
2021-05-04,0.37709713
2021-05-05,0.38016337
2021-05-06,0.37877953
2021-05-07,0.3885765
2021-05-08,0.39410976
2021-05-09,0.39424127
2021-05-10,0.39283824
2021-05-11,0.38872176
2021-05-12,0.42790166
2021-05-13,0.5318743
2021-05-14,0.58306605
2021-05-15,0.6085312
2021-05-16,0.60124195
2021-05-17,0.59491086
2021-05-18,0.5933603
2021-05-19,0.6101812
2021-05-20,0.5864774
2021-05-21,0.58292544
2021-05-22,0.56785303
2021-05-23,0.567266
2021-05-24,0.5692444
2021-05-25,0.5726757
2021-05-26,0.5622184
2021-05-27,0.5656809
2021-05-28,0.5834416
2021-05-29,0.5762934
2021-05-30,0.5727199
2021-05-31,0.5722513
2021-06-01,0.56128633
2021-06-02,0.5542062
2021-06-03,0.5568042
2021-06-04,0.556871
2021-06-05,0.5543488
2021-06-06,0.5542918
2021-06-07,0.5529256
2021-06-08,0.547161
2021-06-09,0.5496212
2021-06-10,0.52971864
2021-06-11,0.48750687
2021-06-12,0.4304302
2021-06-13,0.38778335
2021-06-14,0.3720121
2021-06-15,0.36271662
2021-06-16,0.36120614
2021-06-17,0.33687288
2021-06-18,0.36874464
2021-06-19,0.41562894
2021-06-20,0.43218458
2021-06-21,0.4478197
2021-06-22,0.45968544
2021-06-23,0.45175907
2021-06-24,0.453229
2021-06-25,0.4650441
2021-06-26,0.4347392
2021-06-27,0.43935716
2021-06-28,0.44172814
2021-06-29,0.4361297
2021-06-30,0.43521172
2021-07-01,0.4429493
2021-07-02,0.44818914
2021-07-03,0.4486994
2021-07-04,0.4509932
2021-07-05,0.4522023
2021-07-06,0.45167673
2021-07-07,0.45442876
2021-07-08,0.4735846
2021-07-09,0.4886939
2021-07-10,0.5283536
2021-07-11,0.5234963
2021-07-12,0.5218478
2021-07-13,0.52338904
2021-07-14,0.53419125
2021-07-15,0.53174067
2021-07-16,0.5186844
2021-07-17,0.48907122
2021-07-18,0.5084551
2021-07-19,0.5237301
2021-07-20,0.5375417
2021-07-21,0.60420924
2021-07-22,0.6149281
2021-07-23,0.60651624
2021-07-24,0.5965015
2021-07-25,0.5956403
2021-07-26,0.5970146
2021-07-27,0.6002604
2021-07-28,0.60083824
2021-07-29,0.6000541
2021-07-30,0.6008025
2021-07-31,0.5940996
2021-08-01,0.59357655
2021-08-02,0.59629273
2021-08-03,0.5990391
2021-08-04,0.6103025
2021-08-05,0.62165517
2021-08-06,0.5941807
2021-08-07,0.5626543
2021-08-08,0.56954145
2021-08-09,0.57023865
2021-08-10,0.57020974
2021-08-11,0.5713981
