,0
2021-01-01,0.4848674
2021-01-02,0.4688813
2021-01-03,0.46620944
2021-01-04,0.46011883
2021-01-05,0.45299706
2021-01-06,0.46505806
2021-01-07,0.44009054
2021-01-08,0.46703383
2021-01-09,0.45157582
2021-01-10,0.46714398
2021-01-11,0.43644565
2021-01-12,0.4682806
2021-01-13,0.4652076
2021-01-14,0.48147225
2021-01-15,0.47279838
2021-01-16,0.49017066
2021-01-17,0.4740699
2021-01-18,0.4794802
2021-01-19,0.48592338
2021-01-20,0.47858062
2021-01-21,0.49753702
2021-01-22,0.5039183
2021-01-23,0.51197386
2021-01-24,0.5342141
2021-01-25,0.5505671
2021-01-26,0.52306455
2021-01-27,0.5513297
2021-01-28,0.5808256
2021-01-29,0.5787532
2021-01-30,0.5737831
2021-01-31,0.5776944
2021-02-01,0.5902867
2021-02-02,0.5892413
2021-02-03,0.62132955
2021-02-04,0.6165843
2021-02-05,0.6265057
2021-02-06,0.63665414
2021-02-07,0.6566934
2021-02-08,0.6391639
2021-02-09,0.6715587
2021-02-10,0.6781188
2021-02-11,0.6380503
2021-02-12,0.6504761
2021-02-13,0.67083573
2021-02-14,0.6781475
2021-02-15,0.6875526
2021-02-16,0.6993845
2021-02-17,0.6909981
2021-02-18,0.691603
2021-02-19,0.70911336
2021-02-20,0.7051181
2021-02-21,0.6670702
2021-02-22,0.716853
2021-02-23,0.68810487
2021-02-24,0.70004433
2021-02-25,0.68429375
2021-02-26,0.7167054
2021-02-27,0.71780413
2021-02-28,0.7337034
2021-03-01,0.7307643
2021-03-02,0.71315557
2021-03-03,0.7187503
2021-03-04,0.7369655
2021-03-05,0.7562507
2021-03-06,0.7223548
2021-03-07,0.7138535
2021-03-08,0.7525683
2021-03-09,0.76452446
2021-03-10,0.7822212
2021-03-11,0.75899285
2021-03-12,0.7394249
2021-03-13,0.7642649
2021-03-14,0.78743154
2021-03-15,0.8124802
2021-03-16,0.8402926
2021-03-17,0.8331692
2021-03-18,0.85062486
2021-03-19,0.8539283
2021-03-20,0.8632583
2021-03-21,0.9081519
2021-03-22,0.8889326
2021-03-23,0.9432349
2021-03-24,0.9254693
2021-03-25,0.9648805
2021-03-26,0.95687944
2021-03-27,0.98082316
2021-03-28,0.996976
2021-03-29,1.0146604
2021-03-30,1.0274343
2021-03-31,1.0123866
2021-04-01,0.9766494
2021-04-02,1.0165616
2021-04-03,1.0106782
2021-04-04,0.9995653
2021-04-05,1.0286888
2021-04-06,0.99233717
2021-04-07,1.0294845
2021-04-08,1.0011569
2021-04-09,0.9729919
2021-04-10,1.0199676
2021-04-11,1.0021852
2021-04-12,0.9667677
2021-04-13,0.9763865
2021-04-14,0.96475935
2021-04-15,0.958082
2021-04-16,0.92307997
2021-04-17,0.90990865
2021-04-18,0.88776475
2021-04-19,0.89381516
2021-04-20,0.85642207
2021-04-21,0.85189974
2021-04-22,0.8494173
2021-04-23,0.84435356
2021-04-24,0.8172425
2021-04-25,0.81360847
2021-04-26,0.8130867
2021-04-27,0.78393245
2021-04-28,0.787924
2021-04-29,0.7822988
2021-04-30,0.7520136
2021-05-01,0.78181285
2021-05-02,0.76455736
2021-05-03,0.7272795
2021-05-04,0.71268624
2021-05-05,0.68612474
2021-05-06,0.68552405
2021-05-07,0.6911946
2021-05-08,0.6713744
2021-05-09,0.6775586
2021-05-10,0.6516401
2021-05-11,0.6488184
2021-05-12,0.6294332
2021-05-13,0.64700216
2021-05-14,0.6479762
2021-05-15,0.6198513
2021-05-16,0.64194643
2021-05-17,0.6442211
2021-05-18,0.66105896
2021-05-19,0.6372824
2021-05-20,0.64703095
2021-05-21,0.63721865
2021-05-22,0.6460793
2021-05-23,0.63871515
2021-05-24,0.65709585
2021-05-25,0.66058993
2021-05-26,0.657444
2021-05-27,0.65424895
2021-05-28,0.683131
2021-05-29,0.6662287
2021-05-30,0.67128557
2021-05-31,0.67624736
