,0
2021-01-01,0.4522979
2021-01-02,0.4535816
2021-01-03,0.46373898
2021-01-04,0.47800586
2021-01-05,0.48991323
2021-01-06,0.48870033
2021-01-07,0.5233451
2021-01-08,0.6121918
2021-01-09,0.60602766
2021-01-10,0.59966993
2021-01-11,0.5941159
2021-01-12,0.5911517
2021-01-13,0.59195554
2021-01-14,0.59768134
2021-01-15,0.5789136
2021-01-16,0.5765112
2021-01-17,0.58009356
2021-01-18,0.58237344
2021-01-19,0.59046793
2021-01-20,0.59422606
2021-01-21,0.6285332
2021-01-22,0.66312665
2021-01-23,0.66475827
2021-01-24,0.6589553
2021-01-25,0.65895754
2021-01-26,0.65625316
2021-01-27,0.65102375
2021-01-28,0.6781393
2021-01-29,0.6823206
2021-01-30,0.7324917
2021-01-31,0.76602226
2021-02-01,0.7920421
2021-02-02,0.81550246
2021-02-03,0.80756897
2021-02-04,0.79570115
2021-02-05,0.7898223
2021-02-06,0.73258466
2021-02-07,0.7087022
2021-02-08,0.707967
2021-02-09,0.7126788
2021-02-10,0.71034896
2021-02-11,0.7133017
2021-02-12,0.71754974
2021-02-13,0.71304005
2021-02-14,0.7128959
2021-02-15,0.7082372
2021-02-16,0.7068007
2021-02-17,0.7020332
2021-02-18,0.6886618
2021-02-19,0.6601763
2021-02-20,0.6294871
2021-02-21,0.6366315
2021-02-22,0.661005
2021-02-23,0.68624204
2021-02-24,0.68920237
2021-02-25,0.7074566
2021-02-26,0.7851083
2021-02-27,0.8119772
2021-02-28,0.8289149
2021-03-01,0.841641
2021-03-02,0.8522806
2021-03-03,0.82483995
2021-03-04,0.85087353
2021-03-05,0.89920944
2021-03-06,0.9198137
2021-03-07,0.9354663
2021-03-08,0.9497826
2021-03-09,0.9669403
2021-03-10,1.0332717
2021-03-11,1.0523077
2021-03-12,1.0847214
2021-03-13,1.0869354
2021-03-14,1.0814525
2021-03-15,1.0797048
2021-03-16,1.081951
2021-03-17,1.0822967
2021-03-18,1.0802356
2021-03-19,1.1280276
2021-03-20,1.1389524
2021-03-21,1.1348685
2021-03-22,1.1320949
2021-03-23,1.1204954
2021-03-24,1.121638
2021-03-25,1.1123134
2021-03-26,1.0377985
2021-03-27,1.0494263
2021-03-28,1.0359918
2021-03-29,1.0143697
2021-03-30,0.99273413
2021-03-31,0.9761252
2021-04-01,0.94039834
2021-04-02,0.92524546
2021-04-03,0.93015283
2021-04-04,0.9307432
2021-04-05,0.93678576
2021-04-06,0.9371065
2021-04-07,0.8943173
2021-04-08,0.80734086
2021-04-09,0.7821993
2021-04-10,0.75862813
2021-04-11,0.7568023
2021-04-12,0.75756276
2021-04-13,0.76111
2021-04-14,0.76301134
2021-04-15,0.76117325
2021-04-16,0.7873554
2021-04-17,0.733464
2021-04-18,0.71586144
2021-04-19,0.70825315
2021-04-20,0.71141523
2021-04-21,0.7008545
2021-04-22,0.6978532
2021-04-23,0.7014494
2021-04-24,0.7168685
2021-04-25,0.70938814
2021-04-26,0.68721485
2021-04-27,0.66212505
2021-04-28,0.64813817
2021-04-29,0.6442634
2021-04-30,0.62537235
2021-05-01,0.59547526
2021-05-02,0.56697726
2021-05-03,0.54783934
2021-05-04,0.53137666
2021-05-05,0.56533754
2021-05-06,0.5806722
2021-05-07,0.56652355
2021-05-08,0.56245214
2021-05-09,0.5789024
2021-05-10,0.60993
2021-05-11,0.64180624
2021-05-12,0.6431281
2021-05-13,0.704304
2021-05-14,0.7186792
2021-05-15,0.7591022
2021-05-16,0.76671886
2021-05-17,0.76652795
2021-05-18,0.76025414
2021-05-19,0.7570895
2021-05-20,0.74864155
2021-05-21,0.7585975
2021-05-22,0.7503525
2021-05-23,0.755168
2021-05-24,0.76330566
2021-05-25,0.7767223
2021-05-26,0.7739597
2021-05-27,0.772437
2021-05-28,0.770246
2021-05-29,0.753585
2021-05-30,0.75229543
2021-05-31,0.75103587
2021-06-01,0.74892825
2021-06-02,0.7520542
2021-06-03,0.7284493
2021-06-04,0.7311341
2021-06-05,0.7506759
2021-06-06,0.75684917
2021-06-07,0.7578372
2021-06-08,0.7551866
2021-06-09,0.6943972
2021-06-10,0.66788524
2021-06-11,0.59078854
2021-06-12,0.5491828
2021-06-13,0.5303981
2021-06-14,0.51457983
2021-06-15,0.50005096
2021-06-16,0.4938191
2021-06-17,0.49123365
2021-06-18,0.5025186
2021-06-19,0.48053816
2021-06-20,0.46929836
2021-06-21,0.46822712
2021-06-22,0.47720072
2021-06-23,0.44368237
2021-06-24,0.43693873
2021-06-25,0.44133946
2021-06-26,0.43848747
2021-06-27,0.44621125
2021-06-28,0.45280078
2021-06-29,0.45815194
2021-06-30,0.46650854
2021-07-01,0.45761243
2021-07-02,0.44347018
2021-07-03,0.407164
2021-07-04,0.39628002
2021-07-05,0.39580947
2021-07-06,0.40202978
2021-07-07,0.40538082
2021-07-08,0.4119184
2021-07-09,0.43049306
2021-07-10,0.4355188
2021-07-11,0.43642697
2021-07-12,0.43576905
2021-07-13,0.4309431
2021-07-14,0.4149987
2021-07-15,0.41162163
2021-07-16,0.42051926
2021-07-17,0.41872045
2021-07-18,0.420472
2021-07-19,0.42881942
2021-07-20,0.43785828
2021-07-21,0.46012744
2021-07-22,0.4669914
2021-07-23,0.47472808
2021-07-24,0.4840069
2021-07-25,0.48487878
2021-07-26,0.48374644
2021-07-27,0.4832693
2021-07-28,0.47979674
2021-07-29,0.47227746
2021-07-30,0.47515354
2021-07-31,0.4745357
2021-08-01,0.4655661
2021-08-02,0.45716712
2021-08-03,0.44521722
2021-08-04,0.44637936
2021-08-05,0.44375154
2021-08-06,0.43430787
2021-08-07,0.4206561
2021-08-08,0.41625974
2021-08-09,0.4163391
2021-08-10,0.41941434
2021-08-11,0.42694098
2021-08-12,0.4202294
2021-08-13,0.41251802
2021-08-14,0.39961115
2021-08-15,0.38514686
2021-08-16,0.37180412
2021-08-17,0.35831627
2021-08-18,0.32829422
2021-08-19,0.3381654
2021-08-20,0.35191685
2021-08-21,0.36909053
2021-08-22,0.3847906
2021-08-23,0.3975632
2021-08-24,0.40871698
2021-08-25,0.39764366
2021-08-26,0.39207745
2021-08-27,0.39104357
2021-08-28,0.40722662
2021-08-29,0.41849327
2021-08-30,0.42628884
2021-08-31,0.43473062
2021-09-01,0.4303711
2021-09-02,0.42988196
2021-09-03,0.4254157
2021-09-04,0.4249063
2021-09-05,0.42399094
2021-09-06,0.423187
2021-09-07,0.42236537
2021-09-08,0.4214172
2021-09-09,0.41622972
2021-09-10,0.41701216
2021-09-11,0.42780274
2021-09-12,0.4304755
2021-09-13,0.43041992
2021-09-14,0.4289557
2021-09-15,0.42388365
2021-09-16,0.42071462
2021-09-17,0.39207414
2021-09-18,0.40498024
2021-09-19,0.42338705
2021-09-20,0.44231883
2021-09-21,0.46085405
2021-09-22,0.44368932
2021-09-23,0.4585506
2021-09-24,0.48554373
2021-09-25,0.4923658
2021-09-26,0.49219662
2021-09-27,0.49025255
2021-09-28,0.48854604
2021-09-29,0.57646763
2021-09-30,0.61177075
2021-10-01,0.6204966
2021-10-02,0.64105856
2021-10-03,0.6620256
2021-10-04,0.6797129
