,0
2021-01-01,0.44887742
2021-01-02,0.45884344
2021-01-03,0.47039434
2021-01-04,0.48087534
2021-01-05,0.48948312
2021-01-06,0.480432
2021-01-07,0.53909206
2021-01-08,0.60496604
2021-01-09,0.58886766
2021-01-10,0.5861937
2021-01-11,0.58580244
2021-01-12,0.5876185
2021-01-13,0.58888483
2021-01-14,0.5934935
2021-01-15,0.56232333
2021-01-16,0.57255745
2021-01-17,0.57693404
2021-01-18,0.58081734
2021-01-19,0.5849349
2021-01-20,0.58867085
2021-01-21,0.64436114
2021-01-22,0.66368836
2021-01-23,0.6489546
2021-01-24,0.64878553
2021-01-25,0.650183
2021-01-26,0.6459732
2021-01-27,0.6465331
2021-01-28,0.6769285
2021-01-29,0.6719952
2021-01-30,0.7572253
2021-01-31,0.7726036
2021-02-01,0.79857427
2021-02-02,0.804975
2021-02-03,0.7886983
2021-02-04,0.7810971
2021-02-05,0.77761054
2021-02-06,0.6970034
2021-02-07,0.70847046
2021-02-08,0.7123761
2021-02-09,0.7138714
2021-02-10,0.7055392
2021-02-11,0.70431966
2021-02-12,0.71355486
2021-02-13,0.70804906
2021-02-14,0.7081241
2021-02-15,0.70647216
2021-02-16,0.7050262
2021-02-17,0.7047275
2021-02-18,0.6935338
2021-02-19,0.6458956
2021-02-20,0.62350935
2021-02-21,0.64733326
2021-02-22,0.6691081
2021-02-23,0.68819666
2021-02-24,0.6785049
2021-02-25,0.71036506
2021-02-26,0.819602
2021-02-27,0.8039659
2021-02-28,0.819602
2021-03-01,0.839971
2021-03-02,0.8530619
2021-03-03,0.8099412
2021-03-04,0.8704851
2021-03-05,0.9151095
2021-03-06,0.9140234
2021-03-07,0.9306377
2021-03-08,0.9498224
2021-03-09,0.9671656
2021-03-10,1.074086
2021-03-11,1.0508765
2021-03-12,1.0823624
2021-03-13,1.0645552
2021-03-14,1.0651457
2021-03-15,1.0701375
2021-03-16,1.0707647
2021-03-17,1.0776772
2021-03-18,1.0686502
2021-03-19,1.1371017
2021-03-20,1.1274643
2021-03-21,1.1195321
2021-03-22,1.1139545
2021-03-23,1.1074615
2021-03-24,1.1124768
2021-03-25,1.110296
2021-03-26,1.0135782
2021-03-27,1.0733337
2021-03-28,1.0400475
2021-03-29,1.0131453
2021-03-30,0.981627
2021-03-31,0.96786964
2021-04-01,0.9327068
2021-04-02,0.9237268
2021-04-03,0.9287034
2021-04-04,0.93269897
2021-04-05,0.9344281
2021-04-06,0.9329535
2021-04-07,0.8737838
2021-04-08,0.7468699
2021-04-09,0.7812861
2021-04-10,0.75766385
2021-04-11,0.7610445
2021-04-12,0.76630336
2021-04-13,0.75812644
2021-04-14,0.7577604
2021-04-15,0.76466805
2021-04-16,0.79912984
2021-04-17,0.7144616
2021-04-18,0.7171987
2021-04-19,0.7227892
2021-04-20,0.7160971
2021-04-21,0.69321567
2021-04-22,0.7013319
2021-04-23,0.7013725
2021-04-24,0.72827244
2021-04-25,0.7056487
2021-04-26,0.6798897
2021-04-27,0.6504897
2021-04-28,0.6480218
2021-04-29,0.65039396
2021-04-30,0.6168218
2021-05-01,0.59303355
2021-05-02,0.56954706
2021-05-03,0.54963154
2021-05-04,0.5269205
2021-05-05,0.5735452
2021-05-06,0.5769796
2021-05-07,0.56173074
2021-05-08,0.55946314
2021-05-09,0.5888716
2021-05-10,0.6181895
2021-05-11,0.645778
2021-05-12,0.63600826
2021-05-13,0.7304688
2021-05-14,0.69951487
2021-05-15,0.77020216
2021-05-16,0.7572024
2021-05-17,0.7545833
2021-05-18,0.75087214
2021-05-19,0.7494752
2021-05-20,0.73605645
2021-05-21,0.76422477
2021-05-22,0.7397778
2021-05-23,0.75177956
2021-05-24,0.7612659
2021-05-25,0.7705843
2021-05-26,0.76993287
2021-05-27,0.76056474
2021-05-28,0.76284796
2021-05-29,0.74528104
2021-05-30,0.74896866
2021-05-31,0.7482564
2021-06-01,0.74573874
2021-06-02,0.7434417
2021-06-03,0.71392167
2021-06-04,0.7261107
2021-06-05,0.7565621
2021-06-06,0.74891907
2021-06-07,0.7457152
2021-06-08,0.74218184
2021-06-09,0.6561743
2021-06-10,0.656123
2021-06-11,0.60038304
