,0
2021-01-01,0.5131205
2021-01-02,0.5627622
2021-01-03,0.57108885
2021-01-04,0.5773658
2021-01-05,0.5891315
2021-01-06,0.6174104
2021-01-07,0.61495006
2021-01-08,0.62282896
2021-01-09,0.6447945
2021-01-10,0.6457813
2021-01-11,0.63239205
2021-01-12,0.64705217
2021-01-13,0.6346669
2021-01-14,0.6764287
2021-01-15,0.6796455
2021-01-16,0.7052211
2021-01-17,0.7083026
2021-01-18,0.71570784
2021-01-19,0.72935176
2021-01-20,0.72139376
2021-01-21,0.72771215
2021-01-22,0.704052
2021-01-23,0.67767
2021-01-24,0.68701553
2021-01-25,0.6912902
2021-01-26,0.672606
2021-01-27,0.7017939
2021-01-28,0.7327785
2021-01-29,0.6756018
2021-01-30,0.6913806
2021-01-31,0.7185705
2021-02-01,0.71692324
2021-02-02,0.76695335
2021-02-03,0.74442804
2021-02-04,0.7690073
2021-02-05,0.78337705
2021-02-06,0.77688
2021-02-07,0.79320955
2021-02-08,0.7837028
2021-02-09,0.8068189
2021-02-10,0.7854004
2021-02-11,0.76739424
2021-02-12,0.7468787
2021-02-13,0.7243145
2021-02-14,0.7371895
2021-02-15,0.7369311
2021-02-16,0.7044832
2021-02-17,0.71790636
2021-02-18,0.7547324
2021-02-19,0.7581288
2021-02-20,0.7534254
2021-02-21,0.75684416
2021-02-22,0.74586374
2021-02-23,0.76736456
2021-02-24,0.7307949
2021-02-25,0.7413151
2021-02-26,0.7451491
2021-02-27,0.7399993
2021-02-28,0.71957725
2021-03-01,0.70482713
2021-03-02,0.70614046
2021-03-03,0.69454795
2021-03-04,0.69771475
2021-03-05,0.7022519
2021-03-06,0.6944128
2021-03-07,0.68502706
2021-03-08,0.65540266
2021-03-09,0.6665875
2021-03-10,0.69493914
2021-03-11,0.6842275
2021-03-12,0.67829955
2021-03-13,0.71187705
2021-03-14,0.70264685
2021-03-15,0.6821692
2021-03-16,0.6911273
2021-03-17,0.70867914
2021-03-18,0.67729187
2021-03-19,0.69665235
2021-03-20,0.70396316
2021-03-21,0.6785226
2021-03-22,0.6716237
2021-03-23,0.6743708
2021-03-24,0.69210786
2021-03-25,0.68030876
2021-03-26,0.68921286
2021-03-27,0.7033279
2021-03-28,0.67524374
2021-03-29,0.7088373
2021-03-30,0.6854133
2021-03-31,0.70873696
2021-04-01,0.7311635
2021-04-02,0.70791084
2021-04-03,0.7125862
2021-04-04,0.73272187
2021-04-05,0.7345581
2021-04-06,0.7262549
2021-04-07,0.72133183
2021-04-08,0.7167573
2021-04-09,0.7059667
2021-04-10,0.6569474
2021-04-11,0.6660608
2021-04-12,0.67609286
2021-04-13,0.6865226
2021-04-14,0.66720855
2021-04-15,0.644577
2021-04-16,0.6541063
2021-04-17,0.6420605
2021-04-18,0.6488901
2021-04-19,0.6421176
2021-04-20,0.60062224
2021-04-21,0.62648195
2021-04-22,0.5985147
2021-04-23,0.59479654
2021-04-24,0.58383775
2021-04-25,0.5676423
2021-04-26,0.5620195
2021-04-27,0.55985755
2021-04-28,0.5258215
2021-04-29,0.55074143
2021-04-30,0.5370961
2021-05-01,0.53982127
2021-05-02,0.5457635
2021-05-03,0.55106926
2021-05-04,0.5526189
2021-05-05,0.54070246
2021-05-06,0.5570257
2021-05-07,0.5845906
2021-05-08,0.55115765
2021-05-09,0.5572749
2021-05-10,0.55467796
2021-05-11,0.55187136
2021-05-12,0.56474435
2021-05-13,0.5582638
2021-05-14,0.5616287
2021-05-15,0.5733929
2021-05-16,0.56943226
2021-05-17,0.5917307
2021-05-18,0.618265
2021-05-19,0.618118
2021-05-20,0.6027912
2021-05-21,0.6156195
2021-05-22,0.6174741
2021-05-23,0.6303157
2021-05-24,0.6280127
2021-05-25,0.60785055
2021-05-26,0.62536776
2021-05-27,0.6300814
2021-05-28,0.6296714
2021-05-29,0.6567876
2021-05-30,0.63954526
2021-05-31,0.63125443
2021-06-01,0.6366802
2021-06-02,0.65853286
2021-06-03,0.63333124
2021-06-04,0.64076614
2021-06-05,0.6456233
2021-06-06,0.5883136
2021-06-07,0.6525155
2021-06-08,0.64284194
2021-06-09,0.65008897
2021-06-10,0.6525677
2021-06-11,0.6244269
2021-06-12,0.6200694
2021-06-13,0.64709824
2021-06-14,0.63258684
2021-06-15,0.5964624
2021-06-16,0.594444
2021-06-17,0.6315225
2021-06-18,0.57291377
2021-06-19,0.56623876
2021-06-20,0.581844
2021-06-21,0.57101256
2021-06-22,0.57293844
2021-06-23,0.5700312
2021-06-24,0.5597395
2021-06-25,0.5730199
2021-06-26,0.56771827
2021-06-27,0.5584074
2021-06-28,0.5521534
2021-06-29,0.54560035
2021-06-30,0.55518115
2021-07-01,0.5443895
2021-07-02,0.5480065
2021-07-03,0.5534673
2021-07-04,0.5473039
2021-07-05,0.54156274
2021-07-06,0.53809184
2021-07-07,0.5378619
2021-07-08,0.53395236
2021-07-09,0.5438357
2021-07-10,0.54249036
2021-07-11,0.5407215
2021-07-12,0.53722835
2021-07-13,0.54823923
2021-07-14,0.56041723
2021-07-15,0.5660086
2021-07-16,0.5741301
2021-07-17,0.5586726
2021-07-18,0.56431556
2021-07-19,0.5623514
2021-07-20,0.57310915
2021-07-21,0.57289255
2021-07-22,0.5586266
2021-07-23,0.58037204
2021-07-24,0.57774097
2021-07-25,0.5715451
2021-07-26,0.54312766
2021-07-27,0.56242645
2021-07-28,0.58508337
2021-07-29,0.55347246
2021-07-30,0.5699335
2021-07-31,0.59644216
2021-08-01,0.58604383
2021-08-02,0.58432204
2021-08-03,0.58358324
2021-08-04,0.5776401
2021-08-05,0.57936263
2021-08-06,0.5995203
2021-08-07,0.5886176
2021-08-08,0.59926766
2021-08-09,0.5868031
2021-08-10,0.59713805
2021-08-11,0.5981854
2021-08-12,0.577871
2021-08-13,0.5889021
2021-08-14,0.59056926
2021-08-15,0.56313986
2021-08-16,0.57937396
2021-08-17,0.59469646
2021-08-18,0.57273024
2021-08-19,0.56844294
2021-08-20,0.5841789
2021-08-21,0.55352014
2021-08-22,0.5592032
2021-08-23,0.5655966
2021-08-24,0.56162715
2021-08-25,0.5296356
2021-08-26,0.5488994
2021-08-27,0.55908316
2021-08-28,0.53183687
2021-08-29,0.55222845
2021-08-30,0.524748
2021-08-31,0.5440774
2021-09-01,0.52067137
2021-09-02,0.52611995
2021-09-03,0.52517843
2021-09-04,0.49532372
2021-09-05,0.5126445
2021-09-06,0.5093188
2021-09-07,0.5126602
2021-09-08,0.5136181
2021-09-09,0.5028862
2021-09-10,0.48715
2021-09-11,0.4990331
2021-09-12,0.49157405
2021-09-13,0.46569854
2021-09-14,0.49716
2021-09-15,0.47973955
2021-09-16,0.4962553
2021-09-17,0.47954524
2021-09-18,0.46988237
2021-09-19,0.47894505
2021-09-20,0.48236215
2021-09-21,0.4752681
2021-09-22,0.48169747
2021-09-23,0.4848324
2021-09-24,0.46286947
2021-09-25,0.46154776
2021-09-26,0.49538693
2021-09-27,0.4780328
2021-09-28,0.5037764
2021-09-29,0.4935334
2021-09-30,0.5073249
2021-10-01,0.4951548
2021-10-02,0.4896206
2021-10-03,0.52243817
2021-10-04,0.50281847
2021-10-05,0.5075977
2021-10-06,0.50524145
2021-10-07,0.5261266
2021-10-08,0.5436473
2021-10-09,0.53649175
2021-10-10,0.5285691
2021-10-11,0.5594258
2021-10-12,0.55578667
2021-10-13,0.5813152
2021-10-14,0.577542
2021-10-15,0.58616436
2021-10-16,0.59999824
2021-10-17,0.6287965
2021-10-18,0.6370211
2021-10-19,0.62681717
2021-10-20,0.6077413
2021-10-21,0.60078496
2021-10-22,0.5993832
2021-10-23,0.62337756
2021-10-24,0.590764
2021-10-25,0.6236891
2021-10-26,0.6235094
2021-10-27,0.61190486
2021-10-28,0.61066574
2021-10-29,0.61797523
2021-10-30,0.60464495
2021-10-31,0.5948569
2021-11-01,0.5882499
2021-11-02,0.5700203
2021-11-03,0.560513
2021-11-04,0.5744332
2021-11-05,0.5722506
2021-11-06,0.5535713
2021-11-07,0.54774296
2021-11-08,0.55296755
2021-11-09,0.56167763
2021-11-10,0.5369827
2021-11-11,0.5223155
2021-11-12,0.5206646
2021-11-13,0.5070883
2021-11-14,0.49039918
2021-11-15,0.49753213
2021-11-16,0.4811449
2021-11-17,0.47298482
2021-11-18,0.4772836
2021-11-19,0.47986192
2021-11-20,0.48726028
2021-11-21,0.4801964
2021-11-22,0.45704335
2021-11-23,0.465658
2021-11-24,0.45586804
2021-11-25,0.44778493
2021-11-26,0.45316732
2021-11-27,0.45021388
2021-11-28,0.43265414
2021-11-29,0.44720337
2021-11-30,0.4538441
2021-12-01,0.4559837
2021-12-02,0.44666198
2021-12-03,0.44234788
2021-12-04,0.440036
2021-12-05,0.46122262
2021-12-06,0.45361054
2021-12-07,0.4721253
2021-12-08,0.46618506
2021-12-09,0.45923877
2021-12-10,0.4761318
2021-12-11,0.47732002
2021-12-12,0.48242927
2021-12-13,0.5006545
2021-12-14,0.49345994
2021-12-15,0.5005606
2021-12-16,0.51636195
2021-12-17,0.50876534
2021-12-18,0.5131595
2021-12-19,0.52867526
2021-12-20,0.52724266
2021-12-21,0.5511152
2021-12-22,0.5301159
2021-12-23,0.5043237
2021-12-24,0.50331616
2021-12-25,0.4803942
2021-12-26,0.49052915
2021-12-27,0.49863556
2021-12-28,0.51172656
