,0
2021-01-01,0.53500617
2021-01-02,0.52324927
2021-01-03,0.5157147
2021-01-04,0.5201262
2021-01-05,0.5281598
2021-01-06,0.5412011
2021-01-07,0.687858
2021-01-08,0.77044
2021-01-09,0.7736253
2021-01-10,0.7508316
2021-01-11,0.7385466
2021-01-12,0.7370516
2021-01-13,0.7511439
2021-01-14,0.7470294
2021-01-15,0.7141558
2021-01-16,0.7258819
2021-01-17,0.7292998
2021-01-18,0.7263909
2021-01-19,0.7221074
2021-01-20,0.72662705
2021-01-21,0.72762036
2021-01-22,0.7284515
2021-01-23,0.72535104
2021-01-24,0.7287476
2021-01-25,0.7266668
2021-01-26,0.73301697
2021-01-27,0.7555966
2021-01-28,0.8212745
2021-01-29,0.87230957
2021-01-30,0.8906016
2021-01-31,0.8945889
2021-02-01,0.889138
2021-02-02,0.8925906
2021-02-03,0.88055736
2021-02-04,0.8499947
2021-02-05,0.7277045
2021-02-06,0.6849002
2021-02-07,0.6995004
2021-02-08,0.71590674
2021-02-09,0.7231338
2021-02-10,0.7242022
2021-02-11,0.7140225
2021-02-12,0.70101345
2021-02-13,0.701275
2021-02-14,0.6980139
2021-02-15,0.6959561
2021-02-16,0.6930502
2021-02-17,0.69092715
2021-02-18,0.6820912
2021-02-19,0.68102485
2021-02-20,0.6968426
2021-02-21,0.70451146
2021-02-22,0.70007765
2021-02-23,0.6999974
2021-02-24,0.68292564
2021-02-25,0.6646636
2021-02-26,0.64360785
2021-02-27,0.62003183
2021-02-28,0.6255824
2021-03-01,0.63962686
2021-03-02,0.6552077
2021-03-03,0.6514163
2021-03-04,0.6534491
2021-03-05,0.67685866
2021-03-06,0.7241371
2021-03-07,0.7453613
2021-03-08,0.73674345
2021-03-09,0.72459644
2021-03-10,0.7200974
2021-03-11,0.7423724
2021-03-12,0.75165707
2021-03-13,0.74976563
2021-03-14,0.7489269
2021-03-15,0.74444544
2021-03-16,0.73889613
2021-03-17,0.74093205
2021-03-18,0.74630016
2021-03-19,0.75095737
2021-03-20,0.7292674
2021-03-21,0.7144915
2021-03-22,0.71335423
2021-03-23,0.7153278
2021-03-24,0.7536141
2021-03-25,0.77773523
2021-03-26,0.74878067
2021-03-27,0.7585921
2021-03-28,0.75485504
2021-03-29,0.73032063
2021-03-30,0.7101101
2021-03-31,0.7002721
2021-04-01,0.6870732
2021-04-02,0.65790474
2021-04-03,0.6379326
2021-04-04,0.6286205
2021-04-05,0.62189007
2021-04-06,0.61199355
2021-04-07,0.59114236
2021-04-08,0.6046747
2021-04-09,0.5924433
2021-04-10,0.5922773
2021-04-11,0.5917105
2021-04-12,0.5912601
2021-04-13,0.59653586
2021-04-14,0.59543157
2021-04-15,0.5912151
2021-04-16,0.6015991
2021-04-17,0.616345
2021-04-18,0.61733496
2021-04-19,0.61561847
2021-04-20,0.6109965
2021-04-21,0.61796874
2021-04-22,0.6192234
2021-04-23,0.6304987
2021-04-24,0.6451743
2021-04-25,0.63871926
2021-04-26,0.6074549
2021-04-27,0.5761006
2021-04-28,0.567484
2021-04-29,0.57266814
2021-04-30,0.5797462
2021-05-01,0.5798219
2021-05-02,0.5849503
2021-05-03,0.5877049
2021-05-04,0.5927359
2021-05-05,0.5994802
2021-05-06,0.59194535
2021-05-07,0.59589624
2021-05-08,0.5971158
2021-05-09,0.5969179
2021-05-10,0.5985457
2021-05-11,0.59910923
2021-05-12,0.59819144
2021-05-13,0.6575641
2021-05-14,0.692678
2021-05-15,0.694393
2021-05-16,0.69028723
2021-05-17,0.6870366
2021-05-18,0.6901243
2021-05-19,0.6996902
2021-05-20,0.6885384
2021-05-21,0.65441513
2021-05-22,0.6252686
2021-05-23,0.61586386
2021-05-24,0.62128985
2021-05-25,0.6247453
2021-05-26,0.62897503
2021-05-27,0.6329198
2021-05-28,0.6321271
2021-05-29,0.6211365
2021-05-30,0.6157148
2021-05-31,0.61288285
2021-06-01,0.61397594
2021-06-02,0.62100846
2021-06-03,0.6135965
2021-06-04,0.59069985
2021-06-05,0.57568526
2021-06-06,0.57739633
2021-06-07,0.5817357
2021-06-08,0.58623487
2021-06-09,0.57737184
2021-06-10,0.5779892
2021-06-11,0.5200759
2021-06-12,0.4616378
2021-06-13,0.44838336
2021-06-14,0.45662993
2021-06-15,0.46556222
2021-06-16,0.4599252
2021-06-17,0.4533937
2021-06-18,0.48834658
2021-06-19,0.5388525
2021-06-20,0.5594063
2021-06-21,0.56960875
2021-06-22,0.5771191
2021-06-23,0.5736811
2021-06-24,0.56808156
2021-06-25,0.5646072
2021-06-26,0.55814636
2021-06-27,0.55968493
2021-06-28,0.5595029
2021-06-29,0.55889004
2021-06-30,0.5368321
2021-07-01,0.51534414
2021-07-02,0.5178396
2021-07-03,0.52120167
2021-07-04,0.5251505
2021-07-05,0.5278648
2021-07-06,0.52909803
2021-07-07,0.53205156
2021-07-08,0.55779725
2021-07-09,0.5802586
2021-07-10,0.61063147
2021-07-11,0.6236646
2021-07-12,0.62127006
2021-07-13,0.6165273
2021-07-14,0.606446
2021-07-15,0.5983405
2021-07-16,0.5847314
2021-07-17,0.5516076
2021-07-18,0.54649335
2021-07-19,0.5603359
2021-07-20,0.57407105
2021-07-21,0.5671273
2021-07-22,0.5681357
2021-07-23,0.5676588
2021-07-24,0.57361275
2021-07-25,0.5769775
2021-07-26,0.5775107
2021-07-27,0.58463746
2021-07-28,0.58772284
2021-07-29,0.58682054
2021-07-30,0.5975188
2021-07-31,0.5994484
2021-08-01,0.60403293
2021-08-02,0.61059815
2021-08-03,0.61567336
2021-08-04,0.6049395
2021-08-05,0.5950807
2021-08-06,0.5699726
2021-08-07,0.54639524
2021-08-08,0.5448228
2021-08-09,0.54566073
2021-08-10,0.5469698
2021-08-11,0.5645729
2021-08-12,0.59132934
2021-08-13,0.6055774
2021-08-14,0.5780742
2021-08-15,0.54117113
2021-08-16,0.51419896
2021-08-17,0.49524662
2021-08-18,0.49109712
2021-08-19,0.49518517
2021-08-20,0.5069262
2021-08-21,0.51081717
2021-08-22,0.5113849
2021-08-23,0.5090013
2021-08-24,0.5080745
2021-08-25,0.5144648
2021-08-26,0.5157551
2021-08-27,0.50733215
2021-08-28,0.5211069
2021-08-29,0.52517235
2021-08-30,0.5178162
2021-08-31,0.51174784
2021-09-01,0.49847245
2021-09-02,0.48224506
2021-09-03,0.4838521
2021-09-04,0.46316907
2021-09-05,0.45152
2021-09-06,0.45583135
2021-09-07,0.4575726
2021-09-08,0.4597363
2021-09-09,0.4460479
2021-09-10,0.41177443
2021-09-11,0.4005302
2021-09-12,0.40183997
2021-09-13,0.40400553
2021-09-14,0.40538034
2021-09-15,0.4144262
2021-09-16,0.41622537
2021-09-17,0.41676384
2021-09-18,0.4604055
2021-09-19,0.5032029
2021-09-20,0.53571653
2021-09-21,0.56165993
2021-09-22,0.5587347
2021-09-23,0.5595341
2021-09-24,0.5783019
2021-09-25,0.5844679
2021-09-26,0.5800782
2021-09-27,0.57379997
2021-09-28,0.5657398
2021-09-29,0.58026415
2021-09-30,0.58712226
2021-10-01,0.61212784
