,0
2021-01-01,0.5097221
2021-01-02,0.51119465
2021-01-03,0.514325
2021-01-04,0.51759624
2021-01-05,0.51785445
2021-01-06,0.53204685
2021-01-07,0.7346216
2021-01-08,0.744327
2021-01-09,0.7357812
2021-01-10,0.72733444
2021-01-11,0.7258123
2021-01-12,0.7257644
2021-01-13,0.7373771
2021-01-14,0.7306785
2021-01-15,0.69591427
2021-01-16,0.71852857
2021-01-17,0.71492577
2021-01-18,0.71266377
2021-01-19,0.70631135
2021-01-20,0.70385826
2021-01-21,0.7047631
2021-01-22,0.7165718
2021-01-23,0.7166831
2021-01-24,0.719759
2021-01-25,0.7243305
2021-01-26,0.71937263
2021-01-27,0.74054897
2021-01-28,0.83134156
2021-01-29,0.86183137
2021-01-30,0.87577283
2021-01-31,0.8757318
2021-02-01,0.8802058
2021-02-02,0.87721777
2021-02-03,0.8692199
2021-02-04,0.7925683
2021-02-05,0.68963003
2021-02-06,0.70148945
2021-02-07,0.70583904
2021-02-08,0.70765144
2021-02-09,0.70868003
2021-02-10,0.7127982
2021-02-11,0.69596314
2021-02-12,0.6768206
2021-02-13,0.6915899
2021-02-14,0.68934846
2021-02-15,0.68507063
2021-02-16,0.6773366
2021-02-17,0.6688355
2021-02-18,0.6675559
2021-02-19,0.67072797
2021-02-20,0.687897
2021-02-21,0.6892012
2021-02-22,0.6901219
2021-02-23,0.69116735
2021-02-24,0.6852148
2021-02-25,0.6728438
2021-02-26,0.6328465
2021-02-27,0.62069315
2021-02-28,0.6325023
2021-03-01,0.64326406
2021-03-02,0.6474042
2021-03-03,0.63527995
2021-03-04,0.62852436
2021-03-05,0.672341
2021-03-06,0.7299148
2021-03-07,0.725396
2021-03-08,0.72122693
2021-03-09,0.71624684
2021-03-10,0.71296823
2021-03-11,0.7376711
2021-03-12,0.74048734
2021-03-13,0.73910815
2021-03-14,0.7344488
2021-03-15,0.73166037
2021-03-16,0.72880745
2021-03-17,0.7362167
2021-03-18,0.7452952
2021-03-19,0.74485195
2021-03-20,0.7134269
2021-03-21,0.71333444
2021-03-22,0.713218
2021-03-23,0.71281826
2021-03-24,0.75844735
2021-03-25,0.7556729
2021-03-26,0.7206857
2021-03-27,0.7635477
2021-03-28,0.7416914
2021-03-29,0.72392297
2021-03-30,0.70259625
2021-03-31,0.6968528
2021-04-01,0.65380466
2021-04-02,0.6225844
2021-04-03,0.6273981
2021-04-04,0.6296822
2021-04-05,0.6142389
2021-04-06,0.6004158
2021-04-07,0.57791656
2021-04-08,0.61177534
2021-04-09,0.57626915
2021-04-10,0.58611655
2021-04-11,0.58957326
2021-04-12,0.58891827
2021-04-13,0.58600724
2021-04-14,0.5867176
2021-04-15,0.58408415
2021-04-16,0.5952598
2021-04-17,0.6110419
2021-04-18,0.61117375
2021-04-19,0.6113874
2021-04-20,0.60719544
2021-04-21,0.6188479
