,0
2021-01-01,0.53160715
2021-01-02,0.5413804
2021-01-03,0.5634758
2021-01-04,0.5786989
2021-01-05,0.5878863
2021-01-06,0.6191107
2021-01-07,0.5968694
2021-01-08,0.61330587
2021-01-09,0.6084311
2021-01-10,0.599267
2021-01-11,0.6094193
2021-01-12,0.6309059
2021-01-13,0.65006006
2021-01-14,0.65753824
2021-01-15,0.66919625
2021-01-16,0.6971586
2021-01-17,0.6993479
2021-01-18,0.7102059
2021-01-19,0.764272
2021-01-20,0.7986921
2021-01-21,0.7906572
2021-01-22,0.70567375
2021-01-23,0.658671
2021-01-24,0.65027046
2021-01-25,0.66082054
2021-01-26,0.6773505
2021-01-27,0.68289155
2021-01-28,0.69379103
2021-01-29,0.6814638
2021-01-30,0.71979463
2021-01-31,0.7034668
2021-02-01,0.6874599
2021-02-02,0.69793373
2021-02-03,0.70145994
2021-02-04,0.69262403
2021-02-05,0.64215434
2021-02-06,0.62070996
2021-02-07,0.6294328
2021-02-08,0.6232196
2021-02-09,0.6472768
2021-02-10,0.6350869
2021-02-11,0.61383474
2021-02-12,0.63173354
2021-02-13,0.6118742
2021-02-14,0.60858256
2021-02-15,0.5983647
2021-02-16,0.59303993
2021-02-17,0.5895423
2021-02-18,0.58710223
2021-02-19,0.5700386
2021-02-20,0.57218546
2021-02-21,0.5618716
2021-02-22,0.56733966
2021-02-23,0.57091266
2021-02-24,0.56855917
2021-02-25,0.5767487
2021-02-26,0.57627606
2021-02-27,0.5970221
2021-02-28,0.6111173
2021-03-01,0.6146141
2021-03-02,0.62308383
2021-03-03,0.62400645
2021-03-04,0.6276205
2021-03-05,0.6263355
2021-03-06,0.6124904
2021-03-07,0.6067205
2021-03-08,0.5889117
2021-03-09,0.5907874
2021-03-10,0.59502554
2021-03-11,0.57202345
2021-03-12,0.54917145
2021-03-13,0.55291754
2021-03-14,0.4493464
2021-03-15,0.44106948
2021-03-16,0.47321334
2021-03-17,0.4683285
2021-03-18,0.45483276
2021-03-19,0.4549697
2021-03-20,0.47117278
2021-03-21,0.4815133
2021-03-22,0.4701437
2021-03-23,0.49333346
2021-03-24,0.4846064
2021-03-25,0.47462022
2021-03-26,0.49836722
2021-03-27,0.5217711
2021-03-28,0.5032909
2021-03-29,0.504521
2021-03-30,0.5234372
2021-03-31,0.51603824
2021-04-01,0.5192888
2021-04-02,0.5205854
2021-04-03,0.52308965
2021-04-04,0.5424443
2021-04-05,0.53441787
2021-04-06,0.55659795
2021-04-07,0.5578235
2021-04-08,0.575912
2021-04-09,0.5435571
2021-04-10,0.5317792
2021-04-11,0.52402186
2021-04-12,0.5357209
2021-04-13,0.53001326
2021-04-14,0.5338607
2021-04-15,0.52538526
2021-04-16,0.5163076
2021-04-17,0.5128206
2021-04-18,0.5214463
2021-04-19,0.53106076
2021-04-20,0.53222895
2021-04-21,0.537132
2021-04-22,0.5374503
2021-04-23,0.52301025
2021-04-24,0.5229176
2021-04-25,0.52359533
2021-04-26,0.5014223
2021-04-27,0.49957675
2021-04-28,0.4925658
2021-04-29,0.4922489
2021-04-30,0.50264
2021-05-01,0.4979892
2021-05-02,0.5030581
2021-05-03,0.5079729
2021-05-04,0.51033163
2021-05-05,0.50278777
2021-05-06,0.50698787
2021-05-07,0.50008416
2021-05-08,0.49652904
2021-05-09,0.42286855
2021-05-10,0.42379886
2021-05-11,0.43268314
2021-05-12,0.4355515
2021-05-13,0.44246018
2021-05-14,0.4393068
2021-05-15,0.44227
2021-05-16,0.44350865
2021-05-17,0.44564536
2021-05-18,0.44883668
2021-05-19,0.4430992
2021-05-20,0.46296105
2021-05-21,0.45858
2021-05-22,0.44308543
2021-05-23,0.4581735
2021-05-24,0.46143582
2021-05-25,0.45125186
2021-05-26,0.45472407
2021-05-27,0.4818867
2021-05-28,0.46342358
2021-05-29,0.4890105
2021-05-30,0.49718776
2021-05-31,0.4753637
2021-06-01,0.5030397
2021-06-02,0.48864117
2021-06-03,0.4975304
2021-06-04,0.5153014
2021-06-05,0.49042484
