,0
2021-01-01,0.5988689
2021-01-02,0.6172297
2021-01-03,0.64911616
2021-01-04,0.6875106
2021-01-05,0.727646
2021-01-06,0.7307577
2021-01-07,0.7138155
2021-01-08,0.70746726
2021-01-09,0.70923597
2021-01-10,0.7123919
2021-01-11,0.7163682
2021-01-12,0.72120047
2021-01-13,0.7245658
2021-01-14,0.7367514
2021-01-15,0.72126526
2021-01-16,0.7243843
2021-01-17,0.7313158
2021-01-18,0.735777
2021-01-19,0.7343682
2021-01-20,0.7313919
2021-01-21,0.7374672
2021-01-22,0.7106441
2021-01-23,0.6870699
2021-01-24,0.6771496
2021-01-25,0.6774994
2021-01-26,0.6760712
2021-01-27,0.6780009
2021-01-28,0.68682164
2021-01-29,0.6878797
2021-01-30,0.69134986
2021-01-31,0.7021003
2021-02-01,0.7176483
2021-02-02,0.73430616
2021-02-03,0.66772866
2021-02-04,0.62100184
2021-02-05,0.6062078
2021-02-06,0.60925066
2021-02-07,0.6022413
2021-02-08,0.59575665
2021-02-09,0.5955871
2021-02-10,0.57671046
2021-02-11,0.56813425
2021-02-12,0.5519899
2021-02-13,0.543238
2021-02-14,0.53526
2021-02-15,0.5351776
2021-02-16,0.53076696
2021-02-17,0.52430785
2021-02-18,0.5182564
2021-02-19,0.47370955
2021-02-20,0.4443701
2021-02-21,0.44111037
2021-02-22,0.44487578
2021-02-23,0.44411388
2021-02-24,0.43761188
2021-02-25,0.43232048
2021-02-26,0.43724352
2021-02-27,0.47063646
2021-02-28,0.48859307
2021-03-01,0.48923454
2021-03-02,0.48884398
2021-03-03,0.440015
2021-03-04,0.41566476
2021-03-05,0.41653356
2021-03-06,0.4330131
2021-03-07,0.43836164
2021-03-08,0.44080412
2021-03-09,0.44782233
2021-03-10,0.46241057
2021-03-11,0.47543532
2021-03-12,0.50134677
2021-03-13,0.5423265
2021-03-14,0.5649888
2021-03-15,0.57795703
2021-03-16,0.5790584
2021-03-17,0.569149
2021-03-18,0.5640319
2021-03-19,0.56228364
2021-03-20,0.5713883
2021-03-21,0.57955575
2021-03-22,0.57886535
2021-03-23,0.5786726
2021-03-24,0.5798067
2021-03-25,0.5802319
2021-03-26,0.5582976
2021-03-27,0.5718467
2021-03-28,0.5864935
2021-03-29,0.5946909
2021-03-30,0.5962775
2021-03-31,0.59184253
2021-04-01,0.5721383
2021-04-02,0.580709
2021-04-03,0.5853986
2021-04-04,0.5863895
2021-04-05,0.58191574
2021-04-06,0.5765215
2021-04-07,0.5744909
2021-04-08,0.561305
2021-04-09,0.5456693
2021-04-10,0.52173567
2021-04-11,0.5029113
2021-04-12,0.48754594
2021-04-13,0.47737893
2021-04-14,0.46042088
2021-04-15,0.45631936
2021-04-16,0.49159998
2021-04-17,0.51433206
2021-04-18,0.5143866
2021-04-19,0.50512576
2021-04-20,0.4970774
2021-04-21,0.50576955
2021-04-22,0.51301265
2021-04-23,0.512103
2021-04-24,0.5033951
2021-04-25,0.48243913
2021-04-26,0.44938853
2021-04-27,0.41384867
2021-04-28,0.39601845
2021-04-29,0.39087558
2021-04-30,0.3965591
2021-05-01,0.37889245
2021-05-02,0.3683104
2021-05-03,0.3645119
2021-05-04,0.3657729
2021-05-05,0.37223965
2021-05-06,0.40237638
2021-05-07,0.42150828
2021-05-08,0.4407311
2021-05-09,0.44818535
2021-05-10,0.4504214
2021-05-11,0.44798446
2021-05-12,0.45302615
2021-05-13,0.509565
2021-05-14,0.5287635
2021-05-15,0.538265
2021-05-16,0.5363138
2021-05-17,0.5399597
2021-05-18,0.53681266
2021-05-19,0.5242286
2021-05-20,0.5143102
2021-05-21,0.52557486
2021-05-22,0.53255385
2021-05-23,0.539783
2021-05-24,0.54312074
2021-05-25,0.5443018
2021-05-26,0.5474816
2021-05-27,0.5487573
2021-05-28,0.5451969
2021-05-29,0.5440459
2021-05-30,0.5440982
2021-05-31,0.55163455
2021-06-01,0.5622324
2021-06-02,0.56818336
2021-06-03,0.58417356
2021-06-04,0.5734009
2021-06-05,0.56483513
2021-06-06,0.5605732
2021-06-07,0.5583445
2021-06-08,0.551712
2021-06-09,0.5465741
2021-06-10,0.5376273
2021-06-11,0.48668578
2021-06-12,0.43808126
2021-06-13,0.42127126
2021-06-14,0.41934282
2021-06-15,0.41650635
2021-06-16,0.42551798
2021-06-17,0.4410557
2021-06-18,0.45211366
2021-06-19,0.46606344
2021-06-20,0.47793865
2021-06-21,0.48908633
2021-06-22,0.49901256
2021-06-23,0.49537808
2021-06-24,0.489375
2021-06-25,0.4851602
2021-06-26,0.48839504
2021-06-27,0.4874481
2021-06-28,0.4844199
2021-06-29,0.48259562
2021-06-30,0.45320868
2021-07-01,0.42212108
2021-07-02,0.4122649
2021-07-03,0.41657782
2021-07-04,0.4179117
2021-07-05,0.41696924
2021-07-06,0.4175033
2021-07-07,0.42096975
2021-07-08,0.42459917
2021-07-09,0.4238002
2021-07-10,0.42751938
2021-07-11,0.4324508
2021-07-12,0.43660423
2021-07-13,0.43718025
2021-07-14,0.45049044
2021-07-15,0.45939678
2021-07-16,0.45148703
2021-07-17,0.44204757
2021-07-18,0.44081438
2021-07-19,0.4416236
2021-07-20,0.44157165
2021-07-21,0.45661223
2021-07-22,0.46623757
2021-07-23,0.47355685
2021-07-24,0.48097745
2021-07-25,0.4848712
2021-07-26,0.4835353
2021-07-27,0.48221523
2021-07-28,0.48793015
