,0
2021-01-01,0.60408884
2021-01-02,0.6317604
2021-01-03,0.6665336
2021-01-04,0.71140975
2021-01-05,0.7494821
2021-01-06,0.7080662
2021-01-07,0.691758
2021-01-08,0.69003934
2021-01-09,0.6948745
2021-01-10,0.7049526
2021-01-11,0.7159221
2021-01-12,0.72771305
2021-01-13,0.7244533
2021-01-14,0.74043536
2021-01-15,0.70686126
2021-01-16,0.730019
2021-01-17,0.7295275
2021-01-18,0.72853047
2021-01-19,0.73039764
2021-01-20,0.72952646
2021-01-21,0.7407781
2021-01-22,0.69035965
2021-01-23,0.684213
2021-01-24,0.6835023
2021-01-25,0.6829345
2021-01-26,0.6830242
2021-01-27,0.6841846
2021-01-28,0.69490224
2021-01-29,0.6854786
2021-01-30,0.6942744
2021-01-31,0.70811117
2021-02-01,0.7217967
2021-02-02,0.7367577
2021-02-03,0.60909235
2021-02-04,0.5948353
2021-02-05,0.6100694
2021-02-06,0.6173391
2021-02-07,0.611568
2021-02-08,0.6035272
2021-02-09,0.5980532
2021-02-10,0.55326414
2021-02-11,0.5610627
2021-02-12,0.5412434
2021-02-13,0.53781706
2021-02-14,0.5399113
2021-02-15,0.53424484
2021-02-16,0.52591
2021-02-17,0.5179337
2021-02-18,0.508853
2021-02-19,0.42862266
2021-02-20,0.43561983
2021-02-21,0.45398265
2021-02-22,0.4558595
2021-02-23,0.45180377
2021-02-24,0.43231195
2021-02-25,0.41303754
2021-02-26,0.44293702
2021-02-27,0.49942815
2021-02-28,0.49068975
2021-03-01,0.48473117
2021-03-02,0.4800065
2021-03-03,0.38361305
2021-03-04,0.4123261
2021-03-05,0.43035382
2021-03-06,0.44944644
2021-03-07,0.4483267
2021-03-08,0.4478548
2021-03-09,0.4483041
2021-03-10,0.4688716
2021-03-11,0.4815938
2021-03-12,0.5064078
2021-03-13,0.55418706
2021-03-14,0.56089157
2021-03-15,0.5670067
2021-03-16,0.57249886
2021-03-17,0.54938805
2021-03-18,0.5500246
2021-03-19,0.5560905
2021-03-20,0.58655334
2021-03-21,0.5793625
2021-03-22,0.57602984
2021-03-23,0.5765541
2021-03-24,0.57727754
2021-03-25,0.57615864
2021-03-26,0.54856485
2021-03-27,0.5848293
2021-03-28,0.5835083
2021-03-29,0.5846999
2021-03-30,0.5881006
2021-03-31,0.5851511
2021-04-01,0.5670132
2021-04-02,0.5903202
2021-04-03,0.58650315
2021-04-04,0.5838884
2021-04-05,0.5808776
2021-04-06,0.5787031
2021-04-07,0.57506573
2021-04-08,0.55623674
2021-04-09,0.544382
2021-04-10,0.50910854
2021-04-11,0.49888793
2021-04-12,0.48860526
2021-04-13,0.47285965
2021-04-14,0.4542703
2021-04-15,0.45759013
2021-04-16,0.5253969
2021-04-17,0.5195086
2021-04-18,0.50908244
2021-04-19,0.49927363
2021-04-20,0.48851126
2021-04-21,0.51120293
2021-04-22,0.5115251
2021-04-23,0.5102875
2021-04-24,0.5039365
2021-04-25,0.46889466
2021-04-26,0.42810994
2021-04-27,0.39001155
2021-04-28,0.39339668
2021-04-29,0.3979687
2021-04-30,0.40847933
2021-05-01,0.3670192
2021-05-02,0.3662794
2021-05-03,0.3722644
2021-05-04,0.37064227
2021-05-05,0.3744766
2021-05-06,0.4211133
2021-05-07,0.41797906
2021-05-08,0.44235826
2021-05-09,0.44095927
2021-05-10,0.4404047
2021-05-11,0.44231212
2021-05-12,0.46159288
2021-05-13,0.55762285
2021-05-14,0.514946
2021-05-15,0.5290347
2021-05-16,0.52828574
2021-05-17,0.5283581
2021-05-18,0.53109
2021-05-19,0.5140612
2021-05-20,0.5130156
2021-05-21,0.53046405
2021-05-22,0.5255427
2021-05-23,0.5306995
2021-05-24,0.5368763
2021-05-25,0.5443916
2021-05-26,0.54527813
2021-05-27,0.5439044
2021-05-28,0.5342217
2021-05-29,0.5351472
2021-05-30,0.54335123
2021-05-31,0.5525278
2021-06-01,0.56456506
2021-06-02,0.57120615
2021-06-03,0.5910777
2021-06-04,0.5610022
2021-06-05,0.5586242
2021-06-06,0.55802804
2021-06-07,0.5555989
2021-06-08,0.55385655
2021-06-09,0.5532574
2021-06-10,0.5321595
2021-06-11,0.44989803
2021-06-12,0.42513895
2021-06-13,0.43031347
2021-06-14,0.42680717
2021-06-15,0.41883773
2021-06-16,0.4358487
2021-06-17,0.4527894
2021-06-18,0.4510709
2021-06-19,0.4727973
2021-06-20,0.48115733
2021-06-21,0.488791
2021-06-22,0.49839732
2021-06-23,0.48355436
2021-06-24,0.48287812
2021-06-25,0.48463124
2021-06-26,0.49221683
2021-06-27,0.48964575
2021-06-28,0.4879395
2021-06-29,0.48746923
2021-06-30,0.4363654
2021-07-01,0.4092559
2021-07-02,0.41406742
2021-07-03,0.42376068
2021-07-04,0.4233687
2021-07-05,0.42216456
2021-07-06,0.42098144
2021-07-07,0.41995913
2021-07-08,0.41858074
2021-07-09,0.4183305
2021-07-10,0.4311341
2021-07-11,0.43262678
2021-07-12,0.43446666
2021-07-13,0.43749875
2021-07-14,0.46180883
2021-07-15,0.45981967
2021-07-16,0.4446739
2021-07-17,0.44273552
2021-07-18,0.44257087
2021-07-19,0.4426736
2021-07-20,0.44339794
2021-07-21,0.46809238
2021-07-22,0.46533498
2021-07-23,0.4714244
2021-07-24,0.48149735
2021-07-25,0.47796342
2021-07-26,0.47523683
2021-07-27,0.4737396
2021-07-28,0.48510188
2021-07-29,0.4920938
2021-07-30,0.47969696
2021-07-31,0.47905403
2021-08-01,0.47862044
2021-08-02,0.47789964
2021-08-03,0.47821835
2021-08-04,0.4685089
2021-08-05,0.46561828
2021-08-06,0.47383082
2021-08-07,0.4443547
2021-08-08,0.4423858
2021-08-09,0.4387402
2021-08-10,0.43399984
2021-08-11,0.4198145
2021-08-12,0.40871274
2021-08-13,0.41450787
2021-08-14,0.42846417
2021-08-15,0.40789866
2021-08-16,0.3849815
2021-08-17,0.36878097
2021-08-18,0.29881352
2021-08-19,0.31409556
2021-08-20,0.33250505
2021-08-21,0.32252517
2021-08-22,0.3226873
2021-08-23,0.32481384
2021-08-24,0.32474536
2021-08-25,0.3196954
2021-08-26,0.30730557
2021-08-27,0.30743033
2021-08-28,0.3296956
2021-08-29,0.34177238
2021-08-30,0.3512018
2021-08-31,0.3615713
2021-09-01,0.3666507
2021-09-02,0.42110062
2021-09-03,0.41129893
2021-09-04,0.4117716
2021-09-05,0.41587037
2021-09-06,0.42076793
2021-09-07,0.42777637
2021-09-08,0.43223053
2021-09-09,0.41640866
2021-09-10,0.5145006
2021-09-11,0.5405978
2021-09-12,0.5216435
2021-09-13,0.51347464
2021-09-14,0.51254654
2021-09-15,0.51226485
2021-09-16,0.51360095
2021-09-17,0.49406335
2021-09-18,0.49775127
2021-09-19,0.50527567
2021-09-20,0.51320434
2021-09-21,0.52345914
2021-09-22,0.5206842
2021-09-23,0.5215372
2021-09-24,0.5218915
2021-09-25,0.54030305
2021-09-26,0.550139
2021-09-27,0.56133664
2021-09-28,0.5743338
2021-09-29,0.5565646
2021-09-30,0.5556144
2021-10-01,0.5545386
2021-10-02,0.56752896
2021-10-03,0.5666521
2021-10-04,0.5670108
2021-10-05,0.5684986
2021-10-06,0.5597364
2021-10-07,0.56490546
2021-10-08,0.49331212
2021-10-09,0.49040374
2021-10-10,0.49179196
2021-10-11,0.48988515
2021-10-12,0.48687717
2021-10-13,0.5177561
2021-10-14,0.51866716
2021-10-15,0.54604423
2021-10-16,0.53416675
2021-10-17,0.52656186
2021-10-18,0.519762
2021-10-19,0.5123264
2021-10-20,0.51568943
2021-10-21,0.53949773
2021-10-22,0.5362087
2021-10-23,0.52426803
2021-10-24,0.5109427
2021-10-25,0.49562562
2021-10-26,0.47778487
2021-10-27,0.47578496
2021-10-28,0.47963443
2021-10-29,0.47114947
2021-10-30,0.47973704
2021-10-31,0.48168635
2021-11-01,0.48225155
2021-11-02,0.48173067
2021-11-03,0.4860467
2021-11-04,0.47392085
2021-11-05,0.49586052
2021-11-06,0.47604486
2021-11-07,0.47682434
2021-11-08,0.47736114
2021-11-09,0.47693425
2021-11-10,0.4396088
2021-11-11,0.4386219
2021-11-12,0.40213385
2021-11-13,0.40731782
2021-11-14,0.41548055
2021-11-15,0.418195
2021-11-16,0.41749534
2021-11-17,0.41953135
2021-11-18,0.37021846
2021-11-19,0.37108636
2021-11-20,0.37722898
2021-11-21,0.3812626
2021-11-22,0.38138077
2021-11-23,0.38041466
2021-11-24,0.4015294
2021-11-25,0.42425114
2021-11-26,0.4668176
2021-11-27,0.5153114
2021-11-28,0.51356655
2021-11-29,0.5131796
2021-11-30,0.51535696
2021-12-01,0.6010975
2021-12-02,0.6047884
2021-12-03,0.68992686
2021-12-04,0.6782075
2021-12-05,0.6750994
2021-12-06,0.6837052
2021-12-07,0.6940776
2021-12-08,0.7384685
2021-12-09,0.72613204
2021-12-10,0.73870456
2021-12-11,0.74081373
2021-12-12,0.7457404
2021-12-13,0.7527072
2021-12-14,0.7658247
2021-12-15,0.7748116
2021-12-16,0.7927503
2021-12-17,0.78378135
2021-12-18,0.78533256
2021-12-19,0.79110295
2021-12-20,0.79840696
2021-12-21,0.8093979
2021-12-22,0.80715114
2021-12-23,0.80404717
2021-12-24,0.7844028
2021-12-25,0.7792483
2021-12-26,0.77266455
2021-12-27,0.7643126
2021-12-28,0.7579337
