,0
2021-01-01,0.3503813
2021-01-02,0.3517658
2021-01-03,0.35606465
2021-01-04,0.36344117
2021-01-05,0.33860967
2021-01-06,0.37115788
2021-01-07,0.36087155
2021-01-08,0.36636886
2021-01-09,0.3889207
2021-01-10,0.37200993
2021-01-11,0.35483646
2021-01-12,0.41581157
2021-01-13,0.414838
2021-01-14,0.39179084
2021-01-15,0.4195581
2021-01-16,0.429904
2021-01-17,0.42865375
2021-01-18,0.44647723
2021-01-19,0.4367974
2021-01-20,0.44129086
2021-01-21,0.45892307
2021-01-22,0.45400605
2021-01-23,0.47219163
2021-01-24,0.48181388
2021-01-25,0.49442822
2021-01-26,0.48869962
2021-01-27,0.49347705
2021-01-28,0.5126899
2021-01-29,0.51560354
2021-01-30,0.53510237
2021-01-31,0.5396169
2021-02-01,0.5656596
2021-02-02,0.5955786
2021-02-03,0.62793773
2021-02-04,0.6245246
2021-02-05,0.64140683
2021-02-06,0.65478265
2021-02-07,0.6702613
2021-02-08,0.6584696
2021-02-09,0.66526014
2021-02-10,0.6338717
2021-02-11,0.6419709
2021-02-12,0.63830924
2021-02-13,0.637991
2021-02-14,0.6272276
2021-02-15,0.5972159
2021-02-16,0.57870054
2021-02-17,0.5838764
2021-02-18,0.5776598
2021-02-19,0.5594362
2021-02-20,0.5502655
2021-02-21,0.5337879
2021-02-22,0.5275761
2021-02-23,0.5650611
2021-02-24,0.57131034
2021-02-25,0.59152675
2021-02-26,0.60587156
2021-02-27,0.6081911
2021-02-28,0.64198786
2021-03-01,0.6391819
2021-03-02,0.67933154
2021-03-03,0.71962494
2021-03-04,0.7311834
2021-03-05,0.75146985
2021-03-06,0.7638346
2021-03-07,0.77363175
2021-03-08,0.7877296
2021-03-09,0.8237468
2021-03-10,0.8064166
2021-03-11,0.7786701
2021-03-12,0.7622664
2021-03-13,0.6977605
2021-03-14,0.6653091
2021-03-15,0.71540475
2021-03-16,0.6972942
2021-03-17,0.714238
2021-03-18,0.66316885
2021-03-19,0.6663533
2021-03-20,0.7008749
2021-03-21,0.6900915
2021-03-22,0.662189
2021-03-23,0.7148803
2021-03-24,0.69646055
2021-03-25,0.70855314
2021-03-26,0.6796186
2021-03-27,0.6732372
2021-03-28,0.6984173
2021-03-29,0.68768084
2021-03-30,0.6660572
2021-03-31,0.6933979
2021-04-01,0.6894019
2021-04-02,0.6874232
2021-04-03,0.6971136
2021-04-04,0.70891565
2021-04-05,0.69263786
2021-04-06,0.66805106
2021-04-07,0.68709105
2021-04-08,0.6830449
2021-04-09,0.68593895
2021-04-10,0.72905487
2021-04-11,0.68975884
2021-04-12,0.6944313
2021-04-13,0.6655428
2021-04-14,0.6570704
2021-04-15,0.64391387
2021-04-16,0.61681616
2021-04-17,0.61696
2021-04-18,0.6232175
2021-04-19,0.61133885
2021-04-20,0.6312397
2021-04-21,0.6186934
2021-04-22,0.63443846
2021-04-23,0.62492764
2021-04-24,0.6000325
2021-04-25,0.58863294
2021-04-26,0.5993051
2021-04-27,0.5901688
2021-04-28,0.5812217
2021-04-29,0.58625424
2021-04-30,0.5837609
2021-05-01,0.57771254
2021-05-02,0.5680657
2021-05-03,0.594841
2021-05-04,0.5553636
2021-05-05,0.5624005
2021-05-06,0.5521164
2021-05-07,0.5502924
2021-05-08,0.54543525
2021-05-09,0.5461654
2021-05-10,0.5670438
2021-05-11,0.57170767
2021-05-12,0.5813523
2021-05-13,0.5505828
2021-05-14,0.5284585
2021-05-15,0.5555467
2021-05-16,0.57486755
2021-05-17,0.54352975
2021-05-18,0.55556124
2021-05-19,0.5421854
2021-05-20,0.5891211
2021-05-21,0.58502626
2021-05-22,0.5821627
2021-05-23,0.58833975
2021-05-24,0.5818165
2021-05-25,0.587322
2021-05-26,0.6119666
2021-05-27,0.61532706
2021-05-28,0.62962747
2021-05-29,0.6520122
2021-05-30,0.63163614
2021-05-31,0.66130525
2021-06-01,0.6272309
2021-06-02,0.63881415
2021-06-03,0.62118375
2021-06-04,0.6144292
2021-06-05,0.6133177
2021-06-06,0.6166762
2021-06-07,0.63463694
2021-06-08,0.6351796
2021-06-09,0.63646007
2021-06-10,0.6281905
2021-06-11,0.6215487
2021-06-12,0.6159806
2021-06-13,0.62428826
2021-06-14,0.6080895
