,0
2021-01-01,0.40942696
2021-01-02,0.39524186
2021-01-03,0.40256637
2021-01-04,0.41735044
2021-01-05,0.43041953
2021-01-06,0.43467677
2021-01-07,0.43070036
2021-01-08,0.45153582
2021-01-09,0.4491845
2021-01-10,0.45454058
2021-01-11,0.4715264
2021-01-12,0.48936194
2021-01-13,0.52017134
2021-01-14,0.53527457
2021-01-15,0.5372967
2021-01-16,0.5321949
2021-01-17,0.53351814
2021-01-18,0.549158
2021-01-19,0.5571618
2021-01-20,0.57073
2021-01-21,0.66476774
2021-01-22,0.6939163
2021-01-23,0.6958374
2021-01-24,0.6814364
2021-01-25,0.6738233
2021-01-26,0.67447364
2021-01-27,0.69353944
2021-01-28,0.7617994
2021-01-29,0.7833308
2021-01-30,0.811844
2021-01-31,0.8251566
2021-02-01,0.8328664
2021-02-02,0.8401556
2021-02-03,0.8401421
2021-02-04,0.85098714
2021-02-05,0.85769606
2021-02-06,0.85573715
2021-02-07,0.8566973
2021-02-08,0.849315
2021-02-09,0.85154486
2021-02-10,0.8327202
2021-02-11,0.80632496
2021-02-12,0.7943808
2021-02-13,0.79095805
2021-02-14,0.79787624
2021-02-15,0.79436594
2021-02-16,0.80092365
2021-02-17,0.79541147
2021-02-18,0.7670029
2021-02-19,0.6942835
2021-02-20,0.66099226
2021-02-21,0.654607
2021-02-22,0.66415095
2021-02-23,0.67217076
2021-02-24,0.66761243
2021-02-25,0.653435
2021-02-26,0.59929854
2021-02-27,0.57337594
2021-02-28,0.5794889
2021-03-01,0.5951538
2021-03-02,0.6143293
2021-03-03,0.59455365
2021-03-04,0.58104473
2021-03-05,0.5565611
2021-03-06,0.59474427
2021-03-07,0.62209976
2021-03-08,0.62622035
2021-03-09,0.63063604
2021-03-10,0.6315869
2021-03-11,0.6371501
2021-03-12,0.66568553
2021-03-13,0.67802346
2021-03-14,0.68131065
2021-03-15,0.67705625
2021-03-16,0.679977
2021-03-17,0.6853621
2021-03-18,0.6901876
2021-03-19,0.71766454
2021-03-20,0.71722215
2021-03-21,0.72280717
2021-03-22,0.7164825
2021-03-23,0.71698195
2021-03-24,0.7157608
2021-03-25,0.7708349
2021-03-26,0.76348066
2021-03-27,0.7542666
2021-03-28,0.72995925
2021-03-29,0.7101447
2021-03-30,0.6943614
2021-03-31,0.6801103
2021-04-01,0.6643405
2021-04-02,0.67457473
2021-04-03,0.67841554
2021-04-04,0.68644047
2021-04-05,0.684014
2021-04-06,0.6755278
2021-04-07,0.6631295
2021-04-08,0.6501527
2021-04-09,0.64406705
2021-04-10,0.61116344
2021-04-11,0.6020715
2021-04-12,0.59340155
2021-04-13,0.60139066
2021-04-14,0.5983909
2021-04-15,0.5913696
2021-04-16,0.60531
2021-04-17,0.59136647
2021-04-18,0.5797201
2021-04-19,0.5760064
2021-04-20,0.5740271
2021-04-21,0.5723062
2021-04-22,0.56793857
2021-04-23,0.5095557
2021-04-24,0.48567787
2021-04-25,0.47887835
2021-04-26,0.48344594
2021-04-27,0.47777894
2021-04-28,0.46516415
2021-04-29,0.46954057
2021-04-30,0.5427889
2021-05-01,0.57743734
2021-05-02,0.5739132
2021-05-03,0.5440456
2021-05-04,0.5133793
2021-05-05,0.52208984
2021-05-06,0.5159765
2021-05-07,0.53162503
2021-05-08,0.5417143
2021-05-09,0.5567892
2021-05-10,0.57385135
2021-05-11,0.59460825
2021-05-12,0.59715766
2021-05-13,0.61959
2021-05-14,0.6289123
2021-05-15,0.6667332
2021-05-16,0.67257285
2021-05-17,0.67943126
2021-05-18,0.6766634
2021-05-19,0.6823352
2021-05-20,0.69406503
2021-05-21,0.704658
2021-05-22,0.69430584
2021-05-23,0.7024177
2021-05-24,0.7144134
2021-05-25,0.7277346
2021-05-26,0.73435104
2021-05-27,0.7219908
2021-05-28,0.65868014
2021-05-29,0.6197474
2021-05-30,0.6044347
2021-05-31,0.60189635
2021-06-01,0.6080134
2021-06-02,0.602922
2021-06-03,0.5966983
2021-06-04,0.59595287
2021-06-05,0.60348076
2021-06-06,0.60603267
2021-06-07,0.60716224
2021-06-08,0.60483223
2021-06-09,0.57170033
2021-06-10,0.5547938
2021-06-11,0.5114085
2021-06-12,0.48705372
2021-06-13,0.47555688
2021-06-14,0.45526809
2021-06-15,0.44049183
2021-06-16,0.42613164
2021-06-17,0.41932485
2021-06-18,0.42587855
2021-06-19,0.41399086
2021-06-20,0.4072518
2021-06-21,0.4060333
2021-06-22,0.41161096
2021-06-23,0.38007018
2021-06-24,0.36614695
2021-06-25,0.3717671
2021-06-26,0.36574826
2021-06-27,0.37725964
2021-06-28,0.37993133
2021-06-29,0.38932788
2021-06-30,0.39646706
2021-07-01,0.39890355
2021-07-02,0.40142125
2021-07-03,0.3787569
2021-07-04,0.3673514
2021-07-05,0.3643926
2021-07-06,0.3663981
2021-07-07,0.36882964
2021-07-08,0.36269236
2021-07-09,0.38296616
2021-07-10,0.39459506
2021-07-11,0.40675896
2021-07-12,0.40915865
2021-07-13,0.4068554
2021-07-14,0.40588197
2021-07-15,0.40002546
2021-07-16,0.39325216
2021-07-17,0.3940345
2021-07-18,0.3963898
2021-07-19,0.40438655
2021-07-20,0.41261366
2021-07-21,0.42538717
2021-07-22,0.4233312
2021-07-23,0.42481694
2021-07-24,0.4879981
2021-07-25,0.516947
2021-07-26,0.52923137
2021-07-27,0.5248485
2021-07-28,0.5226562
2021-07-29,0.5292719
2021-07-30,0.54152477
2021-07-31,0.5441024
2021-08-01,0.53822136
2021-08-02,0.53155863
2021-08-03,0.52943957
2021-08-04,0.5312044
2021-08-05,0.5301358
2021-08-06,0.5257789
2021-08-07,0.5173632
2021-08-08,0.51231164
2021-08-09,0.5061193
2021-08-10,0.5075435
2021-08-11,0.5031724
2021-08-12,0.50618804
2021-08-13,0.5030978
2021-08-14,0.49104717
2021-08-15,0.47593486
2021-08-16,0.4638115
2021-08-17,0.44965404
2021-08-18,0.43822074
2021-08-19,0.4363659
2021-08-20,0.4292391
2021-08-21,0.35374975
2021-08-22,0.3320609
2021-08-23,0.33019015
2021-08-24,0.34663275
2021-08-25,0.3373746
2021-08-26,0.3140081
2021-08-27,0.2994297
2021-08-28,0.3344241
2021-08-29,0.35817045
2021-08-30,0.37060612
2021-08-31,0.3691178
2021-09-01,0.36424968
2021-09-02,0.3692582
2021-09-03,0.3652511
2021-09-04,0.36213106
2021-09-05,0.3572998
2021-09-06,0.36108407
2021-09-07,0.35963053
2021-09-08,0.36409727
2021-09-09,0.3620707
2021-09-10,0.36536652
2021-09-11,0.3790122
2021-09-12,0.38867
2021-09-13,0.3849558
2021-09-14,0.38366956
2021-09-15,0.39256713
2021-09-16,0.39262405
2021-09-17,0.39038375
2021-09-18,0.40073448
2021-09-19,0.4143491
2021-09-20,0.44363627
2021-09-21,0.47401088
2021-09-22,0.46855274
2021-09-23,0.4593561
2021-09-24,0.46219426
2021-09-25,0.46518987
2021-09-26,0.46270183
2021-09-27,0.44394225
2021-09-28,0.42668873
2021-09-29,0.4868084
2021-09-30,0.51722014
2021-10-01,0.5278492
2021-10-02,0.54543966
2021-10-03,0.56413776
2021-10-04,0.59466875
2021-10-05,0.6183542
2021-10-06,0.64284223
2021-10-07,0.64806193
2021-10-08,0.6477003
2021-10-09,0.6447088
2021-10-10,0.6482289
2021-10-11,0.65348864
2021-10-12,0.6597428
2021-10-13,0.66588235
2021-10-14,0.67144567
2021-10-15,0.6798033
2021-10-16,0.6773685
2021-10-17,0.66077566
2021-10-18,0.6429908
2021-10-19,0.62825716
2021-10-20,0.6258089
2021-10-21,0.6241666
2021-10-22,0.6196915
2021-10-23,0.6520297
2021-10-24,0.66354376
2021-10-25,0.6736762
2021-10-26,0.66681194
2021-10-27,0.6120083
2021-10-28,0.59919053
2021-10-29,0.58985305
2021-10-30,0.56862116
2021-10-31,0.5442545
2021-11-01,0.51403534
2021-11-02,0.4892227
2021-11-03,0.45938596
2021-11-04,0.45169142
2021-11-05,0.45047072
2021-11-06,0.45681182
2021-11-07,0.45441467
2021-11-08,0.4435562
2021-11-09,0.43347412
2021-11-10,0.41539308
2021-11-11,0.4237518
2021-11-12,0.40962082
2021-11-13,0.425477
2021-11-14,0.43208477
2021-11-15,0.43179643
2021-11-16,0.42672256
2021-11-17,0.41923258
2021-11-18,0.42267236
2021-11-19,0.4252273
2021-11-20,0.3631936
2021-11-21,0.34880927
2021-11-22,0.34396988
2021-11-23,0.36382952
2021-11-24,0.36683378
2021-11-25,0.35351783
2021-11-26,0.37606415
2021-11-27,0.40727666
2021-11-28,0.4300472
2021-11-29,0.43468294
2021-11-30,0.4383273
2021-12-01,0.54746526
2021-12-02,0.6485864
2021-12-03,0.71489
2021-12-04,0.7219636
2021-12-05,0.7119466
2021-12-06,0.72022414
2021-12-07,0.7241068
2021-12-08,0.73752415
2021-12-09,0.737829
2021-12-10,0.72851384
2021-12-11,0.7277544
2021-12-12,0.7277256
2021-12-13,0.7166337
2021-12-14,0.70481503
2021-12-15,0.70299274
2021-12-16,0.7115156
2021-12-17,0.71228194
2021-12-18,0.7139929
2021-12-19,0.7007124
2021-12-20,0.70705724
2021-12-21,0.71659815
2021-12-22,0.72897524
2021-12-23,0.72603875
2021-12-24,0.72880256
2021-12-25,0.7288583
2021-12-26,0.7242103
2021-12-27,0.71823245
2021-12-28,0.7029675
