,0
2021-01-01,0.39794296
2021-01-02,0.40773708
2021-01-03,0.41453367
2021-01-04,0.42299172
2021-01-05,0.4310464
2021-01-06,0.43429735
2021-01-07,0.4313625
2021-01-08,0.46329466
2021-01-09,0.43936902
2021-01-10,0.45843714
2021-01-11,0.4764455
2021-01-12,0.5038196
2021-01-13,0.5438471
2021-01-14,0.53774154
2021-01-15,0.52658105
2021-01-16,0.52707267
2021-01-17,0.54505444
2021-01-18,0.5571512
2021-01-19,0.5683665
2021-01-20,0.5807795
2021-01-21,0.7063999
2021-01-22,0.6987475
2021-01-23,0.6752018
2021-01-24,0.6711172
2021-01-25,0.67023057
2021-01-26,0.66914755
2021-01-27,0.6993944
2021-01-28,0.8240794
2021-01-29,0.79268956
2021-01-30,0.8290707
2021-01-31,0.82784164
2021-02-01,0.83084786
2021-02-02,0.8374043
2021-02-03,0.840338
2021-02-04,0.8572718
2021-02-05,0.8536619
2021-02-06,0.8516581
2021-02-07,0.85062623
2021-02-08,0.8487644
2021-02-09,0.848145
2021-02-10,0.8178471
2021-02-11,0.80062664
2021-02-12,0.80005676
2021-02-13,0.79892963
2021-02-14,0.79975843
2021-02-15,0.7971997
2021-02-16,0.7959118
2021-02-17,0.780614
2021-02-18,0.72933775
2021-02-19,0.6662841
2021-02-20,0.679671
2021-02-21,0.6800623
2021-02-22,0.6777061
2021-02-23,0.6769556
2021-02-24,0.6790075
2021-02-25,0.6234784
2021-02-26,0.563182
2021-02-27,0.58074594
2021-02-28,0.6000878
2021-03-01,0.6104902
2021-03-02,0.62235147
2021-03-03,0.5828602
2021-03-04,0.5845648
2021-03-05,0.55985767
2021-03-06,0.62664145
2021-03-07,0.6246
2021-03-08,0.6255399
2021-03-09,0.6234513
2021-03-10,0.6389657
2021-03-11,0.64067143
2021-03-12,0.67356193
2021-03-13,0.6748234
2021-03-14,0.6772426
2021-03-15,0.67696357
2021-03-16,0.676342
2021-03-17,0.68833494
2021-03-18,0.68883514
2021-03-19,0.7207582
2021-03-20,0.7149052
2021-03-21,0.71488297
2021-03-22,0.7155471
2021-03-23,0.7165338
2021-03-24,0.7167838
2021-03-25,0.8171735
2021-03-26,0.7372823
2021-03-27,0.7476742
2021-03-28,0.729155
2021-03-29,0.7086791
2021-03-30,0.68681085
2021-03-31,0.68186146
2021-04-01,0.6599273
2021-04-02,0.686074
2021-04-03,0.66994655
2021-04-04,0.6887189
2021-04-05,0.68514776
2021-04-06,0.6796926
2021-04-07,0.66042
2021-04-08,0.6535958
2021-04-09,0.6401351
2021-04-10,0.5908046
2021-04-11,0.6027232
2021-04-12,0.6067441
2021-04-13,0.6084888
2021-04-14,0.60112715
2021-04-15,0.60222733
2021-04-16,0.6230191
2021-04-17,0.5800897
2021-04-18,0.5820485
2021-04-19,0.5814363
2021-04-20,0.5796627
2021-04-21,0.57873523
2021-04-22,0.5720614
2021-04-23,0.46241075
2021-04-24,0.4984157
2021-04-25,0.495336
2021-04-26,0.48427892
2021-04-27,0.4807233
2021-04-28,0.46389484
2021-04-29,0.4833058
2021-04-30,0.5850525
2021-05-01,0.57192814
2021-05-02,0.5541381
2021-05-03,0.5337672
2021-05-04,0.5130969
2021-05-05,0.5253332
2021-05-06,0.51732427
2021-05-07,0.5390543
2021-05-08,0.54757077
2021-05-09,0.56320304
2021-05-10,0.5787231
2021-05-11,0.596709
2021-05-12,0.5975308
2021-05-13,0.64094347
2021-05-14,0.61986756
2021-05-15,0.68813527
2021-05-16,0.6766654
2021-05-17,0.6707016
2021-05-18,0.67029804
2021-05-19,0.6836101
2021-05-20,0.68068343
2021-05-21,0.71626425
2021-05-22,0.69178057
2021-05-23,0.70439875
2021-05-24,0.7170633
2021-05-25,0.7298734
2021-05-26,0.72753215
2021-05-27,0.72108924
2021-05-28,0.597844
2021-05-29,0.6159586
2021-05-30,0.6163908
2021-05-31,0.614059
2021-06-01,0.6086242
2021-06-02,0.607902
2021-06-03,0.59858614
2021-06-04,0.605981
2021-06-05,0.6147344
2021-06-06,0.6126154
2021-06-07,0.6100354
2021-06-08,0.60349643
2021-06-09,0.54903483
2021-06-10,0.5450535
2021-06-11,0.48990464
2021-06-12,0.4899873
2021-06-13,0.47624576
2021-06-14,0.45166916
2021-06-15,0.4363991
2021-06-16,0.4355662
2021-06-17,0.4331891
2021-06-18,0.43689883
2021-06-19,0.4035855
2021-06-20,0.40989396
2021-06-21,0.4136514
2021-06-22,0.41743958
2021-06-23,0.36155263
2021-06-24,0.3687132
2021-06-25,0.38080868
2021-06-26,0.3733157
2021-06-27,0.38016272
2021-06-28,0.3873234
2021-06-29,0.39255
2021-06-30,0.39876798
2021-07-01,0.39927608
2021-07-02,0.40133318
2021-07-03,0.36988503
2021-07-04,0.37119663
2021-07-05,0.3682123
2021-07-06,0.36503077
2021-07-07,0.36565194
2021-07-08,0.36510304
2021-07-09,0.39108515
2021-07-10,0.40048832
2021-07-11,0.4039637
2021-07-12,0.40620306
2021-07-13,0.4087973
2021-07-14,0.40153563
2021-07-15,0.3958077
2021-07-16,0.39082655
2021-07-17,0.39561525
2021-07-18,0.40150487
2021-07-19,0.40748686
2021-07-20,0.41369888
2021-07-21,0.4294588
2021-07-22,0.4260193
2021-07-23,0.42785752
2021-07-24,0.49636748
2021-07-25,0.5165318
2021-07-26,0.5166187
2021-07-27,0.5171755
2021-07-28,0.52117664
2021-07-29,0.52729106
2021-07-30,0.55019367
2021-07-31,0.5353709
2021-08-01,0.5316284
2021-08-02,0.5316048
2021-08-03,0.5302631
2021-08-04,0.5326597
2021-08-05,0.53257954
2021-08-06,0.5246448
2021-08-07,0.51440364
2021-08-08,0.5118743
2021-08-09,0.5079241
2021-08-10,0.50516963
2021-08-11,0.50428885
2021-08-12,0.5058876
2021-08-13,0.49900255
2021-08-14,0.49394807
2021-08-15,0.4818457
2021-08-16,0.4672249
2021-08-17,0.45315653
2021-08-18,0.4442327
2021-08-19,0.44227338
2021-08-20,0.4332357
2021-08-21,0.32575315
2021-08-22,0.33409998
2021-08-23,0.34764153
2021-08-24,0.36087945
2021-08-25,0.3210711
2021-08-26,0.31056762
2021-08-27,0.30260074
2021-08-28,0.36434752
2021-08-29,0.36230153
2021-08-30,0.36470342
2021-08-31,0.3665926
2021-09-01,0.36467755
2021-09-02,0.36955893
2021-09-03,0.362796
2021-09-04,0.36441886
2021-09-05,0.36487788
2021-09-06,0.3639326
2021-09-07,0.36139908
2021-09-08,0.36266476
2021-09-09,0.36918986
2021-09-10,0.37497887
2021-09-11,0.38344222
2021-09-12,0.3839833
2021-09-13,0.38294885
2021-09-14,0.381789
2021-09-15,0.3982827
2021-09-16,0.38831928
2021-09-17,0.37716687
2021-09-18,0.40377057
2021-09-19,0.4374269
2021-09-20,0.4578915
2021-09-21,0.4779265
2021-09-22,0.45343444
2021-09-23,0.4487232
2021-09-24,0.4758492
2021-09-25,0.45678732
2021-09-26,0.45046356
2021-09-27,0.43893117
2021-09-28,0.42392293
2021-09-29,0.5438996
2021-09-30,0.5220989
2021-10-01,0.51314
2021-10-02,0.5674598
2021-10-03,0.5879298
2021-10-04,0.60675746
2021-10-05,0.62489456
2021-10-06,0.6576696
2021-10-07,0.6425449
2021-10-08,0.63740957
2021-10-09,0.63411814
2021-10-10,0.6445594
2021-10-11,0.6565615
2021-10-12,0.66635555
2021-10-13,0.66523826
2021-10-14,0.66466624
2021-10-15,0.6876048
2021-10-16,0.67133766
2021-10-17,0.6549573
2021-10-18,0.6378566
2021-10-19,0.6183901
2021-10-20,0.63050675
2021-10-21,0.63073856
2021-10-22,0.6194073
2021-10-23,0.6697769
2021-10-24,0.6679036
2021-10-25,0.6680733
2021-10-26,0.6540052
2021-10-27,0.6017757
2021-10-28,0.6057273
2021-10-29,0.60341966
2021-10-30,0.5642648
2021-10-31,0.5354876
2021-11-01,0.50663
2021-11-02,0.48261565
2021-11-03,0.45782053
2021-11-04,0.46426654
2021-11-05,0.46464506
2021-11-06,0.47029653
2021-11-07,0.45363355
2021-11-08,0.43815464
2021-11-09,0.43035164
2021-11-10,0.41694063
2021-11-11,0.44093084
2021-11-12,0.39997497
2021-11-13,0.44332653
2021-11-14,0.4373898
2021-11-15,0.43256107
2021-11-16,0.42818013
2021-11-17,0.42339116
2021-11-18,0.42563564
2021-11-19,0.43549004
2021-11-20,0.33355492
2021-11-21,0.35638678
2021-11-22,0.3656802
2021-11-23,0.3724402
2021-11-24,0.357349
2021-11-25,0.3568469
2021-11-26,0.39017224
2021-11-27,0.4238812
2021-11-28,0.42760473
2021-11-29,0.43056622
2021-11-30,0.432884
2021-12-01,0.5956279
2021-12-02,0.6508486
2021-12-03,0.6921729
2021-12-04,0.6941697
2021-12-05,0.701326
2021-12-06,0.7139735
2021-12-07,0.71943855
2021-12-08,0.7331823
2021-12-09,0.732513
2021-12-10,0.7228155
2021-12-11,0.72105914
2021-12-12,0.7134279
2021-12-13,0.7105303
2021-12-14,0.70346665
2021-12-15,0.70405555
2021-12-16,0.7112336
2021-12-17,0.71013653
2021-12-18,0.70561004
2021-12-19,0.7074806
2021-12-20,0.7071543
2021-12-21,0.708247
2021-12-22,0.73306876
2021-12-23,0.73178136
2021-12-24,0.7417603
2021-12-25,0.7351883
2021-12-26,0.7281762
2021-12-27,0.7164366
2021-12-28,0.6499486
