,0
2021-01-01,0.5664652
2021-01-02,0.5443161
2021-01-03,0.5484148
2021-01-04,0.56436807
2021-01-05,0.52787
2021-01-06,0.5343357
2021-01-07,0.54078317
2021-01-08,0.5524726
2021-01-09,0.56044984
2021-01-10,0.5560069
2021-01-11,0.5497881
2021-01-12,0.560641
2021-01-13,0.5746811
2021-01-14,0.5782786
2021-01-15,0.56985694
2021-01-16,0.5973749
2021-01-17,0.6010082
2021-01-18,0.6001708
2021-01-19,0.62247854
2021-01-20,0.6068898
2021-01-21,0.59784347
2021-01-22,0.6054701
2021-01-23,0.6203374
2021-01-24,0.61637545
2021-01-25,0.62172663
2021-01-26,0.62758535
2021-01-27,0.64528525
2021-01-28,0.636054
2021-01-29,0.65916896
2021-01-30,0.6559271
2021-01-31,0.65751874
2021-02-01,0.6831507
2021-02-02,0.6959601
2021-02-03,0.71191376
2021-02-04,0.6825496
2021-02-05,0.68941516
2021-02-06,0.68975085
2021-02-07,0.67713934
2021-02-08,0.67913973
2021-02-09,0.68197775
2021-02-10,0.67473364
2021-02-11,0.665045
2021-02-12,0.6696832
2021-02-13,0.65658075
2021-02-14,0.64319885
2021-02-15,0.6494543
2021-02-16,0.65113807
2021-02-17,0.6672228
2021-02-18,0.64351916
2021-02-19,0.6247045
2021-02-20,0.63977057
2021-02-21,0.63663554
2021-02-22,0.6478855
2021-02-23,0.6322619
2021-02-24,0.634652
2021-02-25,0.6264622
2021-02-26,0.6312404
2021-02-27,0.602168
2021-02-28,0.61970955
2021-03-01,0.61988765
2021-03-02,0.60006195
2021-03-03,0.57881606
2021-03-04,0.5838331
2021-03-05,0.59070975
2021-03-06,0.587666
2021-03-07,0.5757824
2021-03-08,0.59243345
2021-03-09,0.58177114
2021-03-10,0.5845831
2021-03-11,0.5887505
2021-03-12,0.5981498
2021-03-13,0.5904459
2021-03-14,0.5967277
2021-03-15,0.58654684
2021-03-16,0.59777117
2021-03-17,0.59766084
2021-03-18,0.6079628
2021-03-19,0.62750494
2021-03-20,0.6258293
2021-03-21,0.64238435
2021-03-22,0.642644
2021-03-23,0.6448386
2021-03-24,0.63397306
2021-03-25,0.648462
2021-03-26,0.5843381
2021-03-27,0.64358765
2021-03-28,0.6501125
2021-03-29,0.64328074
2021-03-30,0.6431861
2021-03-31,0.63629645
2021-04-01,0.64644754
2021-04-02,0.6467964
2021-04-03,0.6438504
2021-04-04,0.6402321
2021-04-05,0.6287533
2021-04-06,0.6247789
2021-04-07,0.63985777
2021-04-08,0.6341053
2021-04-09,0.61315465
2021-04-10,0.61130816
2021-04-11,0.60525995
2021-04-12,0.5966224
2021-04-13,0.600071
2021-04-14,0.5856023
2021-04-15,0.5611228
2021-04-16,0.5569122
2021-04-17,0.55878556
2021-04-18,0.5468711
2021-04-19,0.5011094
2021-04-20,0.52870643
2021-04-21,0.52478254
2021-04-22,0.51109225
2021-04-23,0.5072956
2021-04-24,0.47585586
2021-04-25,0.49353084
2021-04-26,0.47491008
2021-04-27,0.48574245
2021-04-28,0.4789629
2021-04-29,0.4594968
2021-04-30,0.46073383
2021-05-01,0.45248008
2021-05-02,0.45370445
2021-05-03,0.4379026
2021-05-04,0.44044095
2021-05-05,0.4210122
2021-05-06,0.42941424
2021-05-07,0.42665672
2021-05-08,0.41903213
2021-05-09,0.42531344
2021-05-10,0.42299458
2021-05-11,0.42561772
2021-05-12,0.41839418
2021-05-13,0.4229349
2021-05-14,0.43670958
2021-05-15,0.43837762
2021-05-16,0.43756053
2021-05-17,0.44145656
2021-05-18,0.45790932
2021-05-19,0.44975078
2021-05-20,0.45997304
2021-05-21,0.46333957
2021-05-22,0.46822286
2021-05-23,0.46404135
2021-05-24,0.4759222
2021-05-25,0.48353443
2021-05-26,0.46617162
2021-05-27,0.49139756
2021-05-28,0.5032048
2021-05-29,0.5029723
2021-05-30,0.52159536
2021-05-31,0.51318145
2021-06-01,0.51993257
2021-06-02,0.50080377
2021-06-03,0.5279284
2021-06-04,0.54053974
2021-06-05,0.5279723
2021-06-06,0.5515961
2021-06-07,0.5391951
2021-06-08,0.52822065
2021-06-09,0.5468805
2021-06-10,0.54652816
2021-06-11,0.5333394
2021-06-12,0.5301906
2021-06-13,0.5378196
2021-06-14,0.5333042
2021-06-15,0.51104796
2021-06-16,0.51150924
2021-06-17,0.50680465
2021-06-18,0.49121216
2021-06-19,0.48882896
2021-06-20,0.49825698
2021-06-21,0.4897819
2021-06-22,0.48094437
2021-06-23,0.4747274
2021-06-24,0.4692349
2021-06-25,0.489636
2021-06-26,0.48420638
2021-06-27,0.46707225
2021-06-28,0.47268707
2021-06-29,0.47331282
2021-06-30,0.45984948
2021-07-01,0.4677087
2021-07-02,0.46259242
2021-07-03,0.45629817
2021-07-04,0.47142863
2021-07-05,0.47557667
2021-07-06,0.4625438
2021-07-07,0.4608093
2021-07-08,0.48355487
2021-07-09,0.4788715
2021-07-10,0.46581948
2021-07-11,0.490331
2021-07-12,0.484927
2021-07-13,0.49195993
2021-07-14,0.48731002
2021-07-15,0.50017756
2021-07-16,0.5156592
2021-07-17,0.52176625
2021-07-18,0.52838296
2021-07-19,0.5303164
2021-07-20,0.5196827
2021-07-21,0.5115322
2021-07-22,0.5253001
2021-07-23,0.51106316
2021-07-24,0.5253641
2021-07-25,0.5131456
2021-07-26,0.51874167
2021-07-27,0.5251467
2021-07-28,0.5232596
2021-07-29,0.51675165
2021-07-30,0.50796765
2021-07-31,0.5335236
2021-08-01,0.49636933
2021-08-02,0.5123786
2021-08-03,0.5105321
2021-08-04,0.5025028
2021-08-05,0.502172
2021-08-06,0.5085384
2021-08-07,0.5034545
2021-08-08,0.5061833
2021-08-09,0.49576667
2021-08-10,0.4858936
2021-08-11,0.49831325
2021-08-12,0.5067013
2021-08-13,0.48515442
2021-08-14,0.47878125
2021-08-15,0.4803775
2021-08-16,0.49076852
2021-08-17,0.46587002
2021-08-18,0.47736973
2021-08-19,0.47808713
2021-08-20,0.47577983
2021-08-21,0.48277158
2021-08-22,0.4753114
2021-08-23,0.47095
2021-08-24,0.44999528
2021-08-25,0.45156696
2021-08-26,0.45904255
2021-08-27,0.45756862
2021-08-28,0.45351067
2021-08-29,0.45154956
2021-08-30,0.43994567
2021-08-31,0.43306705
2021-09-01,0.4347824
2021-09-02,0.41541064
2021-09-03,0.41694888
2021-09-04,0.41800344
2021-09-05,0.4123088
2021-09-06,0.40925542
2021-09-07,0.41497234
2021-09-08,0.3963458
2021-09-09,0.41153476
2021-09-10,0.40155113
2021-09-11,0.4091682
2021-09-12,0.40590754
2021-09-13,0.41551778
2021-09-14,0.4019239
2021-09-15,0.40479797
2021-09-16,0.41474658
2021-09-17,0.4186848
2021-09-18,0.40964004
2021-09-19,0.4150335
2021-09-20,0.4227818
2021-09-21,0.42666435
2021-09-22,0.4259592
2021-09-23,0.43305373
2021-09-24,0.43932095
2021-09-25,0.4394747
2021-09-26,0.44391882
2021-09-27,0.43871045
2021-09-28,0.44532284
2021-09-29,0.4599073
2021-09-30,0.4718659
2021-10-01,0.47798076
2021-10-02,0.471615
2021-10-03,0.4883603
2021-10-04,0.49734566
2021-10-05,0.49958146
2021-10-06,0.50932455
2021-10-07,0.4920398
2021-10-08,0.49595973
2021-10-09,0.49780264
2021-10-10,0.52341694
2021-10-11,0.513609
2021-10-12,0.49991047
2021-10-13,0.5002483
2021-10-14,0.49915436
2021-10-15,0.5055393
2021-10-16,0.5078826
2021-10-17,0.51462334
2021-10-18,0.51458186
2021-10-19,0.5125882
2021-10-20,0.5103842
2021-10-21,0.51141787
2021-10-22,0.5201208
2021-10-23,0.52160555
2021-10-24,0.5337018
2021-10-25,0.5269585
2021-10-26,0.5337598
2021-10-27,0.555931
