,0
2021-01-01,0.51136285
2021-01-02,0.53535014
2021-01-03,0.55923074
2021-01-04,0.58296704
2021-01-05,0.6056413
2021-01-06,0.6003044
2021-01-07,0.6460214
2021-01-08,0.68844295
2021-01-09,0.7051165
2021-01-10,0.7056521
2021-01-11,0.7066719
2021-01-12,0.70241207
2021-01-13,0.7047071
2021-01-14,0.7395754
2021-01-15,0.7235311
2021-01-16,0.7020567
2021-01-17,0.69335306
2021-01-18,0.6902135
2021-01-19,0.69102323
2021-01-20,0.69345254
2021-01-21,0.69329566
2021-01-22,0.6539096
2021-01-23,0.63773525
2021-01-24,0.64479625
2021-01-25,0.6627839
2021-01-26,0.6858014
2021-01-27,0.69848794
2021-01-28,0.7525003
2021-01-29,0.78487486
2021-01-30,0.799393
2021-01-31,0.79125106
2021-02-01,0.78413695
2021-02-02,0.7731845
2021-02-03,0.7218545
2021-02-04,0.6991215
2021-02-05,0.65427786
2021-02-06,0.619808
2021-02-07,0.60676986
2021-02-08,0.6117385
2021-02-09,0.61147165
2021-02-10,0.6008224
2021-02-11,0.6020577
2021-02-12,0.57201403
2021-02-13,0.5565029
2021-02-14,0.5554633
2021-02-15,0.5612381
2021-02-16,0.5674156
2021-02-17,0.5684071
2021-02-18,0.56911933
2021-02-19,0.56488883
2021-02-20,0.5827113
2021-02-21,0.60160303
2021-02-22,0.6217871
2021-02-23,0.64124656
2021-02-24,0.61547726
2021-02-25,0.60239077
2021-02-26,0.53636736
2021-02-27,0.52866524
2021-02-28,0.54423666
2021-03-01,0.57746226
2021-03-02,0.60330224
2021-03-03,0.6140018
2021-03-04,0.6173074
2021-03-05,0.6180078
2021-03-06,0.63149756
2021-03-07,0.64563423
2021-03-08,0.655914
2021-03-09,0.6652526
2021-03-10,0.67472965
2021-03-11,0.68828934
2021-03-12,0.68379503
2021-03-13,0.6941039
2021-03-14,0.7003882
2021-03-15,0.70591
2021-03-16,0.7090059
2021-03-17,0.70043516
2021-03-18,0.717159
2021-03-19,0.7245901
2021-03-20,0.7082309
2021-03-21,0.6864765
2021-03-22,0.6744426
2021-03-23,0.66001976
2021-03-24,0.6713654
2021-03-25,0.6705195
2021-03-26,0.6688375
2021-03-27,0.6304753
2021-03-28,0.6053241
2021-03-29,0.58452624
2021-03-30,0.5693051
2021-03-31,0.5705039
2021-04-01,0.5696611
2021-04-02,0.5671322
2021-04-03,0.56135464
2021-04-04,0.5568645
2021-04-05,0.5515087
2021-04-06,0.54559314
2021-04-07,0.5289765
2021-04-08,0.49891075
2021-04-09,0.4843565
2021-04-10,0.47987032
2021-04-11,0.47436887
2021-04-12,0.46614873
2021-04-13,0.45643294
2021-04-14,0.44773802
2021-04-15,0.44584882
2021-04-16,0.43381912
2021-04-17,0.43344805
2021-04-18,0.4363062
2021-04-19,0.4385596
2021-04-20,0.43993914
2021-04-21,0.4507486
2021-04-22,0.4383089
2021-04-23,0.43672004
2021-04-24,0.42465824
2021-04-25,0.41918746
2021-04-26,0.41695604
2021-04-27,0.4196148
2021-04-28,0.4132171
2021-04-29,0.40138176
2021-04-30,0.39540106
2021-05-01,0.40575248
2021-05-02,0.4051798
2021-05-03,0.4006121
2021-05-04,0.3918519
2021-05-05,0.3883543
2021-05-06,0.42233437
2021-05-07,0.45248768
2021-05-08,0.4608467
2021-05-09,0.46552193
2021-05-10,0.47022182
2021-05-11,0.47247374
2021-05-12,0.47574815
2021-05-13,0.538135
2021-05-14,0.591744
2021-05-15,0.6041113
2021-05-16,0.60386676
2021-05-17,0.60018367
2021-05-18,0.59642166
2021-05-19,0.5804061
2021-05-20,0.57228535
2021-05-21,0.5675841
2021-05-22,0.56921804
2021-05-23,0.5684868
2021-05-24,0.56883895
2021-05-25,0.5691454
2021-05-26,0.57370293
2021-05-27,0.57653636
2021-05-28,0.5743047
2021-05-29,0.57161474
2021-05-30,0.569553
2021-05-31,0.5708022
2021-06-01,0.5750791
2021-06-02,0.5729463
2021-06-03,0.56969726
2021-06-04,0.5475331
2021-06-05,0.5317086
2021-06-06,0.5235533
2021-06-07,0.5234572
2021-06-08,0.52355075
2021-06-09,0.520535
2021-06-10,0.50892454
2021-06-11,0.44569737
2021-06-12,0.3618019
2021-06-13,0.33298567
2021-06-14,0.32829884
2021-06-15,0.33132398
2021-06-16,0.3258566
2021-06-17,0.36053813
2021-06-18,0.37778255
2021-06-19,0.4613513
2021-06-20,0.5032859
2021-06-21,0.51431215
2021-06-22,0.506649
2021-06-23,0.50772035
2021-06-24,0.5048273
2021-06-25,0.5057924
2021-06-26,0.5120904
2021-06-27,0.5152762
2021-06-28,0.5137886
2021-06-29,0.5149973
2021-06-30,0.53275216
2021-07-01,0.5464552
2021-07-02,0.55655235
2021-07-03,0.5648262
2021-07-04,0.559282
2021-07-05,0.5594903
2021-07-06,0.5603839
2021-07-07,0.5637827
2021-07-08,0.56520563
2021-07-09,0.5582228
2021-07-10,0.54250395
2021-07-11,0.53504014
2021-07-12,0.5387028
2021-07-13,0.53555626
2021-07-14,0.5423388
2021-07-15,0.548605
2021-07-16,0.540413
2021-07-17,0.54011804
2021-07-18,0.53460866
2021-07-19,0.51195025
2021-07-20,0.48468378
2021-07-21,0.4749875
2021-07-22,0.48429447
2021-07-23,0.47771293
2021-07-24,0.49140042
2021-07-25,0.49687093
2021-07-26,0.49099025
2021-07-27,0.48077092
2021-07-28,0.5065297
2021-07-29,0.50030357
2021-07-30,0.4917372
2021-07-31,0.4857966
2021-08-01,0.48542508
2021-08-02,0.48608637
2021-08-03,0.49144173
2021-08-04,0.49471098
2021-08-05,0.4926583
2021-08-06,0.49991152
2021-08-07,0.5063973
2021-08-08,0.5059607
2021-08-09,0.50793153
2021-08-10,0.5042096
2021-08-11,0.49897784
2021-08-12,0.49560723
2021-08-13,0.48437652
2021-08-14,0.4686792
2021-08-15,0.45781842
2021-08-16,0.44619027
2021-08-17,0.42853972
2021-08-18,0.41939512
2021-08-19,0.40646535
2021-08-20,0.40373623
2021-08-21,0.40007722
2021-08-22,0.41233906
2021-08-23,0.42208165
2021-08-24,0.4342427
2021-08-25,0.40573663
2021-08-26,0.38448367
2021-08-27,0.3719084
2021-08-28,0.36238936
2021-08-29,0.3543023
2021-08-30,0.35207358
2021-08-31,0.34784997
2021-09-01,0.34046587
2021-09-02,0.3622624
2021-09-03,0.37181142
2021-09-04,0.38270175
2021-09-05,0.39311865
2021-09-06,0.4042908
2021-09-07,0.4139214
2021-09-08,0.42268768
2021-09-09,0.4668259
2021-09-10,0.48106137
2021-09-11,0.503
2021-09-12,0.51033604
2021-09-13,0.5063649
2021-09-14,0.49991518
2021-09-15,0.49669665
2021-09-16,0.49593377
2021-09-17,0.4967072
2021-09-18,0.5256568
2021-09-19,0.5348057
2021-09-20,0.53334796
2021-09-21,0.53226846
2021-09-22,0.5111127
2021-09-23,0.493974
2021-09-24,0.49183378
2021-09-25,0.4975475
2021-09-26,0.5001104
2021-09-27,0.51076734
2021-09-28,0.51908916
2021-09-29,0.53485274
2021-09-30,0.5586261
2021-10-01,0.5601585
2021-10-02,0.5468996
2021-10-03,0.54297817
2021-10-04,0.5490358
2021-10-05,0.5540458
2021-10-06,0.5389699
2021-10-07,0.5228393
2021-10-08,0.51526946
2021-10-09,0.49577585
2021-10-10,0.49820045
2021-10-11,0.50858945
2021-10-12,0.5203277
2021-10-13,0.5287915
2021-10-14,0.54557055
2021-10-15,0.55777276
2021-10-16,0.53843176
2021-10-17,0.528292
2021-10-18,0.52635217
2021-10-19,0.52899474
2021-10-20,0.5429784
2021-10-21,0.5753325
2021-10-22,0.5886639
2021-10-23,0.5890816
2021-10-24,0.5826703
2021-10-25,0.574521
2021-10-26,0.5655932
2021-10-27,0.55101687
2021-10-28,0.5341452
2021-10-29,0.52708936
