,0
2021-01-01,0.5189556
2021-01-02,0.5367871
2021-01-03,0.55652916
2021-01-04,0.5766373
2021-01-05,0.5948926
2021-01-06,0.581095
2021-01-07,0.6546869
2021-01-08,0.681419
2021-01-09,0.6971725
2021-01-10,0.69779617
2021-01-11,0.69895273
2021-01-12,0.7000467
2021-01-13,0.6998604
2021-01-14,0.74423814
2021-01-15,0.69320995
2021-01-16,0.68716437
2021-01-17,0.6856071
2021-01-18,0.6853952
2021-01-19,0.6833323
2021-01-20,0.6827189
2021-01-21,0.6742864
2021-01-22,0.62357897
2021-01-23,0.62899894
2021-01-24,0.6462205
2021-01-25,0.66201115
2021-01-26,0.6737322
2021-01-27,0.68072355
2021-01-28,0.7670699
2021-01-29,0.7787605
2021-01-30,0.779068
2021-01-31,0.7701869
2021-02-01,0.7649421
2021-02-02,0.75917274
2021-02-03,0.6909223
2021-02-04,0.69360316
2021-02-05,0.6233078
2021-02-06,0.60845363
2021-02-07,0.608328
2021-02-08,0.6093514
2021-02-09,0.60270196
2021-02-10,0.59334254
2021-02-11,0.59025073
2021-02-12,0.5502799
2021-02-13,0.55203074
2021-02-14,0.5553773
2021-02-15,0.5572598
2021-02-16,0.5530482
2021-02-17,0.5517543
2021-02-18,0.54843163
2021-02-19,0.5504881
2021-02-20,0.5860033
2021-02-21,0.60338944
2021-02-22,0.62025553
2021-02-23,0.6320206
2021-02-24,0.5862115
2021-02-25,0.595988
2021-02-26,0.5005808
2021-02-27,0.53590894
2021-02-28,0.5595742
2021-03-01,0.5809004
2021-03-02,0.59601825
2021-03-03,0.59392625
2021-03-04,0.6049083
2021-03-05,0.6031939
2021-03-06,0.6303306
2021-03-07,0.63672537
2021-03-08,0.64645886
2021-03-09,0.654961
2021-03-10,0.6703304
2021-03-11,0.6752035
2021-03-12,0.67127204
2021-03-13,0.6898511
2021-03-14,0.6931957
2021-03-15,0.698785
2021-03-16,0.702935
2021-03-17,0.6844348
2021-03-18,0.71924263
2021-03-19,0.712362
2021-03-20,0.6870996
2021-03-21,0.676
2021-03-22,0.66288406
2021-03-23,0.6468704
2021-03-24,0.6673091
2021-03-25,0.64678156
2021-03-26,0.652527
2021-03-27,0.6086626
2021-03-28,0.591363
2021-03-29,0.5645696
2021-03-30,0.5435935
2021-03-31,0.5630453
2021-04-01,0.5513583
2021-04-02,0.5534986
2021-04-03,0.5524501
2021-04-04,0.5503409
2021-04-05,0.5463691
2021-04-06,0.53514373
2021-04-07,0.51001865
2021-04-08,0.4805054
2021-04-09,0.47084367
2021-04-10,0.47723484
2021-04-11,0.46873966
2021-04-12,0.45926058
2021-04-13,0.4442826
2021-04-14,0.43734846
2021-04-15,0.44115967
2021-04-16,0.41943297
2021-04-17,0.4299
2021-04-18,0.4315289
2021-04-19,0.43340293
2021-04-20,0.4300413
2021-04-21,0.44642755
2021-04-22,0.41574934
2021-04-23,0.4288451
2021-04-24,0.40933973
2021-04-25,0.41070032
2021-04-26,0.41248864
2021-04-27,0.41168445
2021-04-28,0.399166
2021-04-29,0.3854293
2021-04-30,0.39171514
2021-05-01,0.40819755
2021-05-02,0.39709434
2021-05-03,0.38992894
2021-05-04,0.38042343
2021-05-05,0.37838313
2021-05-06,0.43691024
2021-05-07,0.4458994
2021-05-08,0.44721678
2021-05-09,0.4534055
2021-05-10,0.45961514
2021-05-11,0.46669385
2021-05-12,0.46924692
2021-05-13,0.5366307
2021-05-14,0.5758618
2021-05-15,0.59852636
2021-05-16,0.59570074
2021-05-17,0.59335285
2021-05-18,0.5935251
2021-05-19,0.5653548
2021-05-20,0.55462265
2021-05-21,0.5571998
2021-05-22,0.56008565
2021-05-23,0.55895686
2021-05-24,0.5587553
2021-05-25,0.55641794
2021-05-26,0.5675883
2021-05-27,0.5661329
2021-05-28,0.561206
2021-05-29,0.5580608
2021-05-30,0.55985385
2021-05-31,0.56139684
2021-06-01,0.56171715
2021-06-02,0.5609508
2021-06-03,0.5633922
2021-06-04,0.5231979
2021-06-05,0.5179131
2021-06-06,0.5183302
2021-06-07,0.5180753
2021-06-08,0.51440746
2021-06-09,0.48703247
2021-06-10,0.48107764
2021-06-11,0.4556008
2021-06-12,0.3984055
2021-06-13,0.35828432
