공시일,종목코드,종목명,시장구분,직접/신탁,취득/처분,취득(처분)예정기간_시작일,취득(처분)예정기간_종료일,신고내역_수량,신고내역_금액,체결내역(누계)_수량,체결내역(누계)_체결수량비율,체결내역(누계)_금액
2018/05/30,003000,부광약품,KOSPI,직접,처분,2018/05/31,2018/05/31,1510786,42851934104,1510786.0,100.0,42851934104.0
2018/05/31,182690,테라셈,KOSDAQ,직접,처분,2018/06/01,2018/07/31,470309,832446930,470309.0,100.0,934335885.0
2018/06/01,232140,와이씨,KOSDAQ,신탁,취득,2018/06/01,2019/05/31,0,2000000000,437256.0,0.0,1993198785.0
2018/06/01,170030,현대공업,KOSDAQ,신탁,취득,2018/06/01,2021/05/31,0,1000000000,45200.0,0.0,199984125.0
2018/06/01,170030,현대공업,KOSDAQ,신탁,취득,2018/06/01,2020/05/31,0,1000000000,16800.0,0.0,38690580.0
2018/06/01,080220,제주반도체,KOSDAQ,직접,취득,2018/06/04,2018/09/01,100000,472000000,100000.0,100.0,505969795.0
2018/06/01,170030,현대공업,KOSDAQ,신탁,취득,2018/06/01,2019/05/31,0,1000000000,51500.0,0.0,155690930.0
2018/06/04,000050,경방,KOSPI,직접,취득,2018/06/05,2018/09/04,230000,3036000000,230000.0,100.0,3159665150.0
2018/06/04,032620,유비케어,KOSDAQ,신탁,취득,2018/06/12,2019/06/11,0,5000000000,1031564.0,0.0,5015712150.0
2018/06/07,143210,핸즈코퍼레이션,KOSPI,신탁,취득,2018/06/07,2018/12/06,0,3000000000,382042.0,0.0,2998019090.0
2018/06/08,036810,에프에스티,KOSDAQ,신탁,취득,2018/06/08,2018/12/08,0,1000000000,172544.0,0.0,987236690.0
2018/06/11,064960,SNT모티브,KOSPI,신탁,취득,2018/06/11,2018/12/10,0,15000000000,461042.0,0.0,14798024550.0
2018/06/12,033340,좋은사람들,KOSDAQ,직접,처분,2018/06/14,2018/09/12,1106218,7776712540,684753.0,61.9,3611666260.0
2018/06/12,023450,동남합성,KOSPI,직접,처분,2018/06/14,2018/09/13,10974,658347000,10974.0,100.0,654687400.0
2018/06/12,036490,SK머티리얼즈,KOSDAQ,직접,취득,2018/06/14,2018/09/12,530000,91160000000,530000.0,100.0,93594164500.0
2018/06/12,044450,KSS해운,KOSPI,직접,취득,2018/06/13,2018/09/12,250000,1975000000,250000.0,100.0,1849864160.0
2018/06/14,032080,아즈텍WB,KOSDAQ,신탁,취득,2018/06/14,2018/12/14,0,1000000000,500000.0,0.0,951989340.0
2018/06/14,064260,다날,KOSDAQ,직접,취득,2018/06/18,2018/09/14,2130000,9861900000,2130000.0,100.0,10065812900.0
2018/06/15,108230,톱텍,KOSDAQ,직접,취득,2018/06/18,2018/09/14,405679,10000000000,405679.0,100.0,9108435150.0
2018/06/18,038290,마크로젠,KOSDAQ,직접,취득,2018/06/19,2018/09/18,254777,10000000000,254777.0,100.0,9133847450.0
