price_1month,price_3month,price_6month,종목코드,공시일
15581,16961,18139,003000,2018-05-30
2320,2230,1100,182690,2018-05-31
3835,4355,3065,232140,2018-06-01
3685,3135,2550,170030,2018-06-01
4580,4810,4240,080220,2018-06-01
13800,13500,11100,000050,2018-06-04
4275,4860,4680,032620,2018-06-04
8640,7930,6590,143210,2018-06-07
5640,5770,3890,036810,2018-06-08
31650,32300,26500,064960,2018-06-11
6327,10344,7130,033340,2018-06-12
21740,22140,22140,023450,2018-06-12
181000,189100,153500,036490,2018-06-12
7550,7150,7000,044450,2018-06-12
2050,1910,1765,032080,2018-06-14
4338,4115,3590,064260,2018-06-14
25500,14000,7670,108230,2018-06-15
35350,40550,27850,038290,2018-06-18
10150,9770,7720,036670,2018-06-18
13500,15700,11100,194370,2018-06-19
7392,7291,4643,089030,2018-06-20
12750,13350,10950,136540,2018-06-20
4500,4260,3170,065350,2018-06-20
6353,6480,7076,003570,2018-06-21
10010,9900,5875,083640,2018-06-21
11791,16157,12479,112610,2018-06-22
12900,13600,12400,036530,2018-06-22
22700,25900,20400,265520,2018-06-25
5120,5420,4075,054620,2018-06-25
24700,25100,23600,080160,2018-06-26
8339,9093,7352,187870,2018-06-26
23800,16950,12200,095610,2018-06-27
7400,7450,7300,045660,2018-06-27
17850,12350,8750,039440,2018-06-27
7150,6730,5850,083930,2018-06-28
4101,5546,3480,149980,2018-07-02
16721,13339,12071,053610,2018-07-02
6604,8023,7203,006730,2018-07-02
8520,8320,6550,211270,2018-07-03
27400,29240,23000,003800,2018-07-04
135316,124943,120000,001040,2018-07-05
3970,3840,3960,101490,2018-07-05
2685,2840,2580,203450,2018-07-05
5400,6400,9500,078070,2018-07-05
3855,4060,3220,095500,2018-07-06
20009,19224,14271,102460,2018-07-06
5610,4995,4255,102120,2018-07-09
6250,5900,5380,149950,2018-07-09
20528,27404,27271,140410,2018-07-09
20528,27404,27271,140410,2018-07-09
21374,20876,17131,054950,2018-07-10
36926,35752,36853,002840,2018-07-11
2505,2150,3235,078150,2018-07-11
8260,8250,7600,069640,2018-07-12
7944,6356,7111,060250,2018-07-13
2060,1395,1516,900140,2018-07-16
16039,12629,19474,112040,2018-07-17
17450,19000,18850,214430,2018-07-20
7090,6710,7590,122900,2018-07-23
3880,3955,6700,104460,2018-07-23
5458,3639,5076,094170,2018-07-23
23150,23200,30000,009140,2018-07-23
25385,18326,21463,272290,2018-07-24
3058,2804,2877,042500,2018-07-24
1800,2315,1100,102210,2018-07-24
3490,2735,3365,024800,2018-07-25
7696,5164,4759,089030,2018-07-26
10400,6520,9040,040910,2018-07-27
83500,66800,71800,000660,2018-07-27
8050,8820,9150,091700,2018-08-01
8050,8820,9150,091700,2018-08-01
28900,28800,28650,030200,2018-08-02
26670,29975,31710,140410,2018-08-06
26670,29975,31710,140410,2018-08-06
3860,3150,3315,151860,2018-08-09
38950,41200,45900,056190,2018-08-13
435000,447000,433000,036570,2018-08-13
6170,5360,5670,012700,2018-08-14
19000,11700,14900,237880,2018-08-16
10600,8480,11200,039830,2018-08-16
13400,13600,13500,004650,2018-08-17
14165,10521,10490,216050,2018-08-17
14165,10521,10490,216050,2018-08-17
5520,3720,3825,062860,2018-08-17
10859,11034,12886,099190,2018-08-20
1375,1380,1550,023460,2018-08-20
4160,4350,4270,069920,2018-08-20
11553,8504,8793,260660,2018-08-20
1775,1790,1600,226440,2018-08-21
1383,1209,1386,177350,2018-08-23
10113,7629,8169,083310,2018-08-29
11200,11400,12350,003380,2018-08-31
5930,5500,6620,023150,2018-09-04
18050,18000,21250,069080,2018-09-04
45850,42250,42750,055550,2018-09-05
129756,123549,133507,145020,2018-09-05
11425,11136,13495,260930,2018-09-05
8260,7970,9420,241790,2018-09-10
8650,6720,10800,122640,2018-09-10
26150,28950,28200,084670,2018-09-10
33805,35136,37048,001060,2018-09-12
38550,34700,37150,004700,2018-09-14
11350,9270,14350,052790,2018-09-17
4445,3735,4155,091340,2018-09-17
12650,7670,10500,108230,2018-09-19
12532,10019,11652,216050,2018-09-19
12532,10019,11652,216050,2018-09-19
6310,4625,4835,031310,2018-09-19
6970,7160,8140,250000,2018-09-19
19600,19150,20050,026960,2018-09-20
7680,7350,7990,049430,2018-09-20
7920,8210,11450,091700,2018-09-20
7920,8210,11450,091700,2018-09-20
2240,2180,2510,070590,2018-09-20
2545,2425,3955,065450,2018-09-21
3640,4015,5550,041930,2018-09-21
25915,21153,24125,016250,2018-09-21
15900,16600,19900,090460,2018-10-01
15900,16600,19900,090460,2018-10-01
1826,2238,2575,099410,2018-10-02
16400,16600,20250,090460,2018-10-02
16400,16600,20250,090460,2018-10-02
6963,6800,7901,080010,2018-10-02
5960,6350,7150,073110,2018-10-02
3170,2820,3460,099440,2018-10-04
2925,2199,3855,219750,2018-10-05
24900,27500,20900,050540,2018-10-05
39300,45600,43150,060980,2018-10-05
5139,4451,6658,089030,2018-10-08
9740,8420,12700,039440,2018-10-08
9383,10067,10500,082920,2018-10-10
14087,16713,9300,069540,2018-10-10
20924,18201,27042,272290,2018-10-10
4830,4605,6060,033290,2018-10-10
4830,4605,6060,033290,2018-10-10
8975,7825,9750,251370,2018-10-10
4140,4530,6760,082210,2018-10-10
9330,9890,13200,100030,2018-10-11
2804,3455,3114,255220,2018-10-11
6820,6380,7070,044450,2018-10-11
3525,3450,4330,008370,2018-10-12
3635,3025,1815,112240,2018-10-12
25150,29400,43350,064960,2018-10-12
7960,6850,8800,050120,2018-10-12
8790,9190,8980,171090,2018-10-15
9130,8360,9290,088130,2018-10-15
6910,7460,10400,110990,2018-10-16
2845,2075,2000,058970,2018-10-16
20000,20750,23800,214180,2018-10-17
54000,55000,54000,001725,2018-10-17
58900,61000,59100,001720,2018-10-17
36192,36559,43202,002840,2018-10-17
2365,1895,2385,049080,2018-10-18
11550,12675,12100,035080,2018-10-19
24463,24463,25230,036830,2018-10-19
8840,8550,9300,036580,2018-10-19
7240,7600,6700,219420,2018-10-19
19418,21337,23313,008500,2018-10-22
4680,4535,4535,019685,2018-10-22
6780,6390,6260,019680,2018-10-22
2450,3125,3000,122350,2018-10-23
6330,6000,6110,093190,2018-10-24
8180,7840,8550,092070,2018-10-24
8440,6100,8650,155650,2018-10-24
4777,5649,7052,101240,2018-10-24
3940,4960,4850,119850,2018-10-24
32650,34600,37550,029780,2018-10-25
41900,43400,64000,002170,2018-10-25
3240,3020,3200,085810,2018-10-25
2450,2280,2560,258830,2018-10-25
2450,2280,2560,258830,2018-10-25
117138,116729,138861,145020,2018-10-25
1310,1440,1930,002700,2018-10-26
2600,2845,2795,005360,2018-10-26
4720,5490,5180,046110,2018-10-29
8350,8770,8560,033160,2018-10-29
9490,8380,8280,018290,2018-10-29
3180,3200,2965,059210,2018-10-29
2953,2861,3489,042500,2018-10-29
4200,4404,4303,171120,2018-10-29
11150,11100,11150,000050,2018-10-29
29577,30933,42931,181710,2018-10-29
1380,1990,1930,004270,2018-10-30
130500,110000,127500,251270,2018-10-30
5490,6450,6520,084010,2018-10-30
1950,2025,1990,001520,2018-10-30
14419,7910,8861,219550,2018-10-30
6550,7280,7420,094840,2018-10-30
2008,1918,2251,136510,2018-10-30
7285,8046,8782,290740,2018-10-30
2585,3460,3395,024800,2018-10-30
4480,4400,4800,067920,2018-10-30
8300,8900,7180,088390,2018-10-30
10300,10550,11200,094280,2018-10-30
7000,9800,7200,058730,2018-10-31
2031,2236,2232,005880,2018-10-31
3495,3700,4120,095500,2018-10-31
8670,8290,9100,213090,2018-10-31
4750,5910,5060,010960,2018-10-31
1455,1495,2085,046390,2018-10-31
6200,6760,6360,020710,2018-10-31
449400,470600,490100,048260,2018-10-31
4585,4897,7218,005670,2018-10-31
9590,9670,10350,003200,2018-10-31
1750,2035,2190,047400,2018-10-31
1421,1547,1350,046070,2018-10-31
1699,1624,1803,068330,2018-10-31
5770,5720,5890,015890,2018-11-01
6700,7110,8580,047560,2018-11-01
1790,1860,2055,096630,2018-11-01
7830,9170,10250,040910,2018-11-01
69077,64491,65637,091990,2018-11-01
6820,7040,6150,000390,2018-11-01
8830,13850,9800,002150,2018-11-01
14350,13850,15300,001070,2018-11-01
14250,14600,15900,066620,2018-11-01
209531,190215,183564,068270,2018-11-01
3525,3420,4495,038950,2018-11-02
4355,5950,6075,265560,2018-11-02
49900,58100,47900,267270,2018-11-02
19700,19600,21700,036800,2018-11-05
3895,4300,6350,039340,2018-11-05
1905,1945,2220,002450,2018-11-05
15800,16000,,123100,2018-11-05
8764,10157,13301,187870,2018-11-05
11936,11248,12240,214370,2018-11-06
27379,25352,30820,089590,2018-11-06
16000,19500,20500,255440,2018-11-08
5200,5310,6330,108790,2018-11-09
18150,20540,24443,119610,2018-11-09
5110,7820,16600,179900,2018-11-12
4280,4980,4270,019990,2018-11-12
2105,2330,2175,131370,2018-11-12
28750,33900,42550,215200,2018-11-12
4390,6730,5410,092780,2018-11-12
20785,24942,29993,016250,2018-11-12
5800,6050,6950,023150,2018-11-12
7095,7971,7541,060250,2018-11-13
17020,16600,18020,098460,2018-11-13
3850,4000,3510,053260,2018-11-13
8500,11350,10200,126700,2018-11-14
123800,122400,98500,078340,2018-11-14
11461,17661,20385,053610,2018-11-14
10630,10589,12126,032960,2018-11-14
10630,10589,12126,032960,2018-11-14
2710,2550,3130,225190,2018-11-15
1145,1190,1365,002360,2018-11-15
20703,24032,22938,293480,2018-11-15
20703,24032,22938,293480,2018-11-15
2640,3195,3435,066900,2018-11-15
2995,3575,3490,081580,2018-11-15
3060,3350,3670,187270,2018-11-15
6737,9230,11655,069410,2018-11-15
9150,9300,8750,025770,2018-11-16
5489,6659,5603,059120,2018-11-16
2980,3225,2915,140070,2018-11-16
13800,18700,14100,241770,2018-11-19
78200,77500,81000,003650,2018-11-19
12600,15850,20950,097520,2018-11-19
3949,5199,5935,142210,2018-11-19
5200,6240,8030,089890,2018-11-19
4450,4640,7400,033290,2018-11-21
4450,4640,7400,033290,2018-11-21
3950,4680,7120,011280,2018-11-22
4270,4590,5220,024880,2018-11-22
7780,7940,5600,069640,2018-11-23
4555,5250,5780,006890,2018-11-26
7680,8800,8970,160980,2018-11-27
5700,5530,5580,089970,2018-11-28
68600,73700,77900,005385,2018-11-30
64600,69700,73900,005389,2018-11-30
73600,80400,84800,005387,2018-11-30
114000,126500,135500,005380,2018-11-30
45950,44350,44650,105560,2018-11-30
4420,4955,4405,005750,2018-12-03
47150,46000,45550,004450,2018-12-03
,,,002005,2018-12-03
,,,002000,2018-12-03
2320,2480,2170,258830,2018-12-04
2320,2480,2170,258830,2018-12-04
6760,7500,7090,009290,2018-12-06
3165,3695,4380,006580,2018-12-10
2510,2320,2230,003610,2018-12-10
17602,18047,22841,054950,2018-12-11
7190,8000,7310,014570,2018-12-11
2590,2540,3145,007980,2018-12-11
10506,12083,12126,032960,2018-12-12
10506,12083,12126,032960,2018-12-12
3105,2881,2818,015230,2018-12-12
27338,40890,39221,140410,2018-12-13
10900,11350,12500,024090,2018-12-13
13700,22600,22150,045520,2018-12-14
3815,5020,4505,197140,2018-12-14
168315,175275,87915,033180,2018-12-14
1990,2085,2135,131180,2018-12-17
11950,13350,13600,036530,2018-12-17
13799,15518,15852,002810,2018-12-17
3900,4405,4075,051390,2018-12-19
10976,14027,9500,031980,2018-12-19
23100,27000,32600,003800,2018-12-19
12000,14300,13150,300720,2018-12-19
20202,23485,23531,293480,2018-12-21
20202,23485,23531,293480,2018-12-21
22450,22250,26050,041830,2018-12-21
2600,2570,2550,003460,2018-12-21
4031,3195,3195,043590,2018-12-21
2520,2530,2560,003465,2018-12-21
26400,13400,14950,025980,2018-12-27
5310,5690,5520,012700,2018-12-27
4060,4195,3890,042700,2019-01-04
11248,12240,12240,214370,2019-01-07
2145,4770,5968,215100,2019-01-07
17100,19800,13050,166090,2019-01-08
6111,7589,10268,238490,2019-01-09
34200,36100,29800,038290,2019-01-11
5760,4775,4670,091970,2019-01-15
8620,7120,5860,095190,2019-01-16
8910,8090,7160,011320,2019-01-17
8270,8780,10950,018290,2019-01-17
7530,6190,5550,126870,2019-01-18
12750,14600,13500,136540,2019-01-22
1990,1930,2340,058970,2019-01-24
6500,5240,4150,010040,2019-01-28
6500,5240,4150,010040,2019-01-28
22100,23500,19450,000060,2019-01-28
133000,119500,138500,035420,2019-01-30
8740,9190,7950,065680,2019-02-07
33700,35550,40000,039840,2019-02-11
35700,34450,25900,079440,2019-02-11
2600,2610,1720,187790,2019-02-11
8640,7810,5920,094850,2019-02-11
5870,5200,5510,026040,2019-02-11
150151,96823,61598,025620,2019-02-12
4510,7220,7480,038680,2019-02-12
9400,10900,11400,122900,2019-02-12
12550,9900,8670,206640,2019-02-12
41050,38900,34100,005090,2019-02-12
24300,22400,15150,080160,2019-02-13
