stock_code,thstrm_amount_당기순이익,thstrm_amount_매출액,thstrm_amount_영업이익,thstrm_amount_유동자산,frmtrm_amount_당기순이익,frmtrm_amount_매출액,frmtrm_amount_영업이익,frmtrm_amount_유동자산,사업연도,직전분기코드,종목명
003000,"4,063,475,583","35,152,927,119","2,113,707,872","118,980,796,170","6,016,108,379","33,871,151,935","3,275,331,761","124,241,376,017",2018,11013,부광약품
182690,"-1,071,487,418",,"-1,030,819,223","9,464,333,214","-1,097,272,944",,"-986,377,633","5,721,553,302",2018,11013,테라셈
232140,"9,260,812,198","62,437,348,924","8,895,294,963","156,305,718,032","1,423,155,755","32,781,657,113","3,004,303,664","86,884,365,940",2018,11013,와이씨
170030,"201,449,871","29,765,993,472","-104,408,039","67,986,881,495","709,227,193","33,506,272,809","1,602,888,208","56,587,164,126",2018,11013,현대공업
080220,"4,172,278,819","40,889,138,018","4,440,301,114","80,751,005,194","-47,104,679","20,430,085,391","1,398,539,972","78,950,549,023",2018,11013,제주반도체
000050,"6,304,011,048","66,751,216,872","9,763,835,032","77,171,429,694","6,188,736,653","75,985,164,929","10,758,061,845","71,472,590,490",2018,11013,경방
032620,"1,634,386,694","20,567,387,861","1,522,150,203","41,881,491,473","2,004,931,149","17,525,237,253","1,695,755,807","49,793,024,444",2018,11013,유비케어
143210,"1,336,115,996","127,027,990,846","675,678,496","266,426,189,227","8,326,000,263","140,619,905,776","4,444,807,556","243,665,986,610",2018,11013,핸즈코퍼레이션
036810,"3,284,639,703","54,836,192,779","6,741,168,972","56,760,555,374","1,708,621,560","43,541,912,650","2,932,983,903","51,766,519,209",2018,11013,에프에스티
064960,"7,207,529,645","177,943,526,798","8,526,929,618","452,977,367,462","5,948,654,017","215,115,558,024","23,031,399,129","478,854,775,785",2018,11013,SNT모티브
033340,"-541,250,843","30,899,180,134","-681,980,328","68,160,892,114","-347,096,226","30,461,048,646","-463,519,068","77,477,420,561",2018,11013,좋은사람들
023450,"1,389,290,617","35,728,214,213","1,976,849,521","34,477,928,816","-285,466,916","38,426,898,318","169,436,668","31,281,611,243",2018,11013,동남합성
036490,"19,690,293,089","101,698,637,408","23,724,982,716","149,765,752,269","20,297,101,250","86,260,982,912","25,811,123,975","127,122,835,328",2018,11013,SK머티리얼즈
044450,"4,046,967,163","48,023,733,696","11,441,201,725","62,955,440,760","2,283,497,449","38,043,642,417","6,822,361,507","66,287,525,169",2018,11013,KSS해운
032080,"1,478,220,375","8,815,967,500","640,447,802","64,786,542,694","264,860,385","4,232,261,665","-83,826,396","63,769,258,371",2018,11013,아즈텍WB
064260,"4,320,559,802",,"5,213,500,368","379,194,966,287","4,138,874,036",,"4,993,198,859","354,025,286,096",2018,11013,다날
108230,"11,164,419,439","111,704,677,336","11,521,919,007","356,577,218,850","25,744,518,429","305,555,512,660","44,411,169,139","353,368,618,319",2018,11013,톱텍
038290,"1,730,215,967","17,269,193,796","976,267,942","117,418,238,805","-2,223,812,367","16,851,786,271","14,414,051","114,929,175,391",2018,11013,마크로젠
036670,"1,919,460,054","14,098,260,224","2,002,793,091","33,080,047,861","900,103,767","11,787,975,636","1,187,989,402","31,957,771,897",2018,11013,KCI
194370,"1,835,588,577","41,846,142,608","3,754,099,866","105,685,601,477","-1,047,895,403","44,485,228,778","3,649,529,537","111,115,254,445",2018,11013,제이에스코퍼레이션
089030,"5,997,015,185","38,624,811,227","6,614,525,415","164,475,332,502","12,685,645,367","28,653,057,077","3,393,798,320","170,474,875,036",2018,11013,테크윙
136540,"1,623,571,776","10,541,872,799","405,615,131","65,624,283,459","591,726,671","10,257,187,565","667,785,961","69,343,244,200",2018,11013,윈스
065350,"746,825,499","40,671,725,526","2,123,429,502","57,736,030,164","1,274,587,072","42,254,304,752","1,789,622,656","38,874,532,962",2018,11013,신성델타테크
003570,"-1,947,783,726","72,453,594,276","-4,782,670,753","395,211,367,485","2,580,869,603","98,253,901,752","6,562,826,053","379,882,313,061",2018,11013,SNT다이내믹스
